year (AD),depth (cm),dD (permil),dD (permil)
1666,6.9,-180.9,-171.3
848,25.5,-183.4,-172.7
544,32.4,-208.8,-183.8
272,38.6,-189,-169.1
118,42.1,-173,NA
-63,46.2,-167.1,-155.5
-487,55.9,-148.3,-143.6
-701,60.7,-175,-156.1
-1155,71,NA,-171.8
-1519,79.3,-199.1,NA
-1731,84.1,-193.8,-176
