year (AD),depth (cm),d18O (permil)
1975.13,0.25,-0.219
1971.26,0.5,-0.029
1967.39,0.75,0.054
1963.52,1,0.26
1959.65,1.25,-0.19
1955.78,1.5,0.134
1951.91,1.75,0.025
1948.04,2,-0.156
1944.17,2.25,0.188
1940.3,2.5,-0.147
1936.43,2.75,-0.333
1932.56,3,-0.22
1928.69,3.25,-0.098
1924.82,3.5,-0.027
1920.95,3.75,-0.096
1917.08,4,-0.084
1913.21,4.25,0.155
1909.34,4.5,0.094
1905.47,4.75,0.446
1901.6,5,0.138
1897.73,5.25,0.17
1893.86,5.5,0.305
1889.99,5.75,0.438
1886.12,6,0.174
1882.25,6.25,0.304
1878.38,6.5,0.438
1874.51,6.75,0.571
1870.64,7,0.52
1866.77,7.25,0.405
1862.9,7.5,0.228
1859.03,7.75,0.254
1855.16,8,0.522
1851.29,8.25,0.193
1847.42,8.5,1.03
1843.55,8.75,0.452
1839.68,9,0.164
1835.81,9.25,0.258
1831.94,9.5,0.444
1828.07,9.75,0.644
1824.2,10,0.214
1820.33,10.25,0.689
1816.46,10.5,0.746
1812.59,10.75,0.322
1808.72,11,0.255
1804.85,11.25,0.831
1800.98,11.5,0.633
1797.11,11.75,0.486
1793.24,12,0.336
1789.37,12.25,0.394
1785.5,12.5,0.787
1781.63,12.75,0.373
1777.76,13,0.181
1773.89,13.25,0.7
1770.02,13.5,0.405
1766.15,13.75,0.721
1762.28,14,0.499
1758.41,14.25,0.578
1754.54,14.5,0.779
1750.67,14.75,0.161
1746.8,15,0.476
1742.93,15.25,0.594
1739.06,15.5,0.419
1735.19,15.75,0.281
1731.32,16,0.555
1727.45,16.25,0.363
1723.58,16.5,0.531
1719.71,16.75,0.638
1715.84,17,0.53
1711.97,17.25,0.215
1708.1,17.5,0.633
1704.23,17.75,0.59
1700.36,18,0.652
1696.49,18.25,0.726
1692.62,18.5,0.8
1688.75,18.75,0.123
1684.88,19,0.707
1681.01,19.25,0.475
1677.14,19.5,0.113
1673.27,19.75,0.692
1669.4,20,0.546
1665.53,20.25,0.361
1661.66,20.5,0.615
1657.79,20.75,0.502
1653.92,21,0.255
1650.05,21.25,0.627
1646.18,21.5,0.232
1642.31,21.75,0.072
1638.44,22,0.626
1634.57,22.25,0.372
1630.7,22.5,0.719
1626.83,22.75,0.505
1622.96,23,0.22
1619.09,23.25,0.497
1615.22,23.5,0.774
1611.35,23.75,0.243
1607.48,24,0.123
1603.61,24.25,0.565
1599.74,24.5,0.408
1595.87,24.75,0.196
1592,25,0.5
1588.13,25.25,0.397
1584.26,25.5,0.665
1580.39,25.75,0.409
1576.52,26,0.118
1572.65,26.25,0.459
1568.78,26.5,0.093
1564.91,26.75,0.102
1561.04,27,0.668
1557.17,27.25,0.299
1553.3,27.5,0.447
1549.43,27.75,0.33
1545.56,28,0.378
1541.69,28.25,0.268
1537.82,28.5,0.516
1533.95,28.75,0.451
1530.08,29,0.27
1526.21,29.25,0.666
1522.34,29.5,0.571
1518.47,29.75,0.165
1514.6,30,0.976
1510.73,30.25,0.109
1506.86,30.5,0.473
1502.99,30.75,0.73
1499.12,31,0.301
1495.25,31.25,0.247
1491.38,31.5,0.267
1487.51,31.75,0.298
1483.64,32,0.278
1479.77,32.25,0.644
1475.9,32.5,0.236
1472.03,32.75,0.263
1468.16,33,0.289
1464.29,33.25,0.216
1460.42,33.5,0.419
1456.55,33.75,0.633
1452.68,34,0.525
1448.81,34.25,0.328
1444.94,34.5,0.366
1441.07,34.75,0.492
1437.2,35,0.395
1433.33,35.25,0.379
1429.46,35.5,0.374
1425.59,35.75,0.295
1421.72,36,0.431
1417.85,36.25,0.627
1413.98,36.5,0.398
1410.11,36.75,0.472
1406.24,37,0.461
1402.37,37.25,0.288
1398.5,37.5,0.437
1394.63,37.75,0.012
1390.76,38,0.199
1386.89,38.25,0.389
1383.02,38.5,0.292
1379.15,38.75,0.199
1375.28,39,0.177
1371.41,39.25,0.376
1367.54,39.5,0.304
