year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1]
1882,-4.477,1905,-4.556
1883,-4.221,1906,-4.39
1884,-4.426,1907,-4.405
1885,-4.488,1908,-4.214
1886,-4.421,1909,-4.242
1887,-4.47,1910,-4.488
1888,-4.567,1911,-4.58
1889,-4.467,1912,-4.644
1890,-4.656,1913,-4.305
1891,-4.534,1914,-4.352
1892,-4.739,1915,-4.619
1893,-4.489,1916,-4.175
1894,-4.516,1917,-4.521
1895,-4.325,1918,-4.449
1896,-4.391,1919,-4.619
1897,-4.551,1920,-4.443
1898,-4.407,1921,-4.605
1899,-4.415,1922,-4.431
1900,-4.501,1923,-4.583
1901,-4.513,1924,-4.359
1902,-4.388,1925,-4.445
1903,-4.34,1926,-4.439
1904,-4.378,1927,-4.357
1905,-4.323,1928,-4.615
1906,-4.608,1929,-4.604
1907,-4.334,1930,-4.26
1908,-4.426,1931,-4.39
1909,-4.367,1932,-4.346
1910,-4.321,1933,-4.148
1911,-4.466,1934,-4.471
1912,-4.439,1935,-4.083
1913,-4.375,1936,-4.571
1914,-4.603,1937,-4.31
1915,-4.181,1938,-4.345
1916,-4.286,1939,-4.699
1917,-4.325,1940,-4.613
1918,-4.424,1941,-4.402
1919,-4.375,1942,-4.537
1920,-4.28,1943,-4.504
1921,-4.551,1944,-4.42
1922,-4.363,1945,-4.336
1923,-4.419,1946,-4.49
1924,-4.373,1947,-4.587
1925,-4.567,1948,-4.603
1926,-4.432,1949,-4.552
1927,-4.607,1950,-4.533
1928,-4.353,1951,-4.4427
1929,-4.428,1952,-4.795
1930,-4.366,1953,-4.605
1931,-4.427,1954,-4.516
1932,-4.423,1955,-4.358
1933,-4.306,1956,-4.48
1934,-4.256,1957,-4.6685
1935,-4.333,1958,-4.478
1936,-4.611,1959,-4.588
1937,-4.585,1960,-4.667
1938,-4.506,1961,-4.471
1939,-4.497,1962,-4.548
1940,-4.689,1963,-4.466
1941,-4.588,1964,-4.295
1942,-4.458,1965,-4.605
1943,-4.76,1966,-4.6615
1944,-4.639,1967,-4.71
1945,-4.343,1968,-4.503
1946,-4.433,1969,-4.557
1947,-4.368,1970,-4.446
1948,-4.608,1971,-4.552
1949,-4.6415,1972,-4.6235
1950,-4.675,1973,-4.618
1951,-4.477,1974,-4.544
1952,-4.456,1975,-4.541
1953,-4.607,1976,-4.423
1954,-4.214,1977,-4.552
1955,-4.592,1978,-4.516
1956,-3.984,1979,-4.617
1957,-4.466,1980,-4.499
1958,-4.675,1981,-4.535
1959,-4.625,1982,-4.747
1960,-4.48,1983,-4.584
1961,-4.407,1984,-4.533
1962,-4.516,1985,-4.635
1963,-4.676,1986,-4.773
1964,-4.555,1987,-4.534
1965,-4.479,1988,-4.7583
1966,-4.464,1989,-4.72
1967,-4.452,1990,-4.64
1968,-4.378,1991,-4.694
1969,-4.385,1992,-4.711
1970,-4.393,1993,-4.9225
1971,-4.693,1994,-4.6355
1972,-4.719,NA,NA
1973,-4.746,NA,NA
1974,-4.491,NA,NA
1975,-4.215,NA,NA
1976,-4.164,NA,NA
1977,-4.483,NA,NA
1978,-4.667,NA,NA
1979,-4.61,NA,NA
1980,-4.938,NA,NA
1981,-4.431,NA,NA
1982,-4.738,NA,NA
1983,-4.633,NA,NA
1984,-4.458,NA,NA
1985,-4.76,NA,NA
1986,-4.725,NA,NA
1987,-4.727,NA,NA
1988,-4.676,NA,NA
1989,-4.695,NA,NA
1990,-4.641,NA,NA
1991,-4.769,NA,NA
1992,-4.783,NA,NA
1993,-4.702,NA,NA
1994,-4.793,NA,NA
