year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],d18O (permil) [1-1],temperature (degC) [1-1],year (AD) [2-1],temperature (degC) [2-1],year (AD) [3-1],temperature (degC) [3-1]
1826.8421,18,0.4,NA,NA,1650,14.67,1929.4737,14.17
1792.6316,23,0.49,NA,NA,1572,14.91,1861.0526,14.58
1758.42105,28,0.57,NA,NA,1494,14.62,1792.6316,14.7
1724.2105,33,0.39,NA,NA,1416,14.81,1724.2105,14.53
1687.5308,38,0.37,NA,NA,1338,14.89,1650.8511,14.67
1650.8511,43,0.39,NA,NA,1260,15.03,1572.5532,14.91
1611.70215,48,0.49,NA,NA,1182,14.97,1494.2553,14.62
1572.5532,53,0.41,NA,NA,1104,15.34,1415.9574,14.81
1533.40425,58,0.32,NA,NA,1026,15.33,1337.6596,14.89
1494.2553,63,0.43,NA,NA,948,15.2,1259.3617,15.03
1455.10635,68,0.53,NA,NA,870,15.03,1181.0638,14.97
1415.9574,73,0.48,NA,NA,792,15.16,1102.766,15.34
1376.8085,78,0.18,NA,NA,717,15.17,1024.4681,15.33
1337.6596,83,0.49,NA,NA,679,15.14,946.17021,15.2
1298.51065,88,0.49,NA,NA,642,15.14,867.87234,15.03
1259.3617,93,0.49,NA,NA,567,15.35,789.57447,15.16
1220.21275,98,0.35,NA,NA,491,15.29,714.18605,15.17
1181.0638,103,0.07,NA,NA,416,15.59,676.97674,15.14
1141.9149,108,0.58,NA,NA,379,15.56,639.76744,15.14
1102.766,113,0.54,NA,NA,341,15.44,565.34884,15.35
1063.61705,118,0.5,NA,NA,266,15.28,490.93023,15.29
1024.4681,123,0.37,NA,NA,191,15.18,416.51163,15.59
985.319155,128,0.28,NA,NA,154,15.08,379.30233,15.56
946.17021,133,0.45,NA,NA,79,15.04,342.09302,15.44
907.021275,138,0.43,NA,NA,4,15.01,267.67442,15.28
867.87234,143,0.48,NA,NA,NA,NA,193.25581,15.18
828.723405,148,0.3,NA,NA,NA,NA,156.04651,15.08
789.57447,153,0.12,NA,NA,NA,NA,81.627907,15.04
751.88026,158,0.47,NA,NA,NA,NA,7.2093023,15.01
714.18605,163,0.37,NA,NA,NA,NA,-94.561404,15.45
676.97674,168,0.46,NA,NA,NA,NA,-223.68421,15.05
639.76744,173,0.18,NA,NA,NA,NA,-352.80702,15.01
602.55814,178,0.51,NA,NA,NA,NA,-481.92982,15.11
565.34884,183,0.42,NA,NA,NA,NA,-611.05263,14.9
528.139535,188,0.42,NA,NA,NA,NA,-740.17544,15.33
490.93023,193,0.39,NA,NA,NA,NA,-869.29825,15.07
453.72093,198,0.47,NA,NA,NA,NA,-998.42105,15.1
416.51163,203,0.41,NA,NA,NA,NA,-1127.5439,15.32
379.30233,208,0.24,NA,NA,NA,NA,-1256.6667,15.29
342.09302,213,0.32,NA,NA,NA,NA,-1321.2281,15.29
304.88372,218,0.27,NA,NA,NA,NA,-1385.7895,15.23
267.67442,223,0.28,NA,NA,NA,NA,-1514.9123,15.17
230.465115,228,0.33,NA,NA,NA,NA,-1644.0351,15.35
193.25581,233,0.48,NA,NA,NA,NA,-1773.1579,15.54
156.04651,238,0.52,NA,NA,NA,NA,-1899.7561,15.73
118.8372085,243,0.58,NA,NA,NA,NA,-2018.7805,15.76
81.627907,248,0.34,NA,NA,NA,NA,-2137.8049,15.39
44.41860465,253,0.53,NA,NA,NA,NA,-2256.8293,15.33
7.2093023,258,0.21,NA,NA,NA,NA,-2375.8537,15.58
-43.67605085,263,0.47,NA,NA,NA,NA,-2494.878,15.46
-94.561404,268,0.49,NA,NA,NA,NA,-2613.9024,15.43
-159.122807,273,0.47,NA,NA,NA,NA,-2732.9268,15.31
-223.68421,278,0.49,NA,NA,NA,NA,-2851.9512,15.53
-288.245615,283,0.01,NA,NA,NA,NA,-2970.9756,15.41
-352.80702,288,0.37,NA,NA,NA,NA,-3090,15.53
-417.36842,293,0.32,NA,NA,NA,NA,-3133.1373,15.39
-481.92982,298,0.35,NA,NA,NA,NA,-3176.2745,15.51
-546.491225,303,0.48,NA,NA,NA,NA,-3219.4118,15.58
-611.05263,308,0.43,NA,NA,NA,NA,-3262.549,15.55
-675.614035,313,0.7,NA,NA,NA,NA,-3305.6863,15.74
-740.17544,318,0.68,NA,NA,NA,NA,-3348.8235,15.81
-804.736845,323,0.57,NA,NA,NA,NA,-3391.9608,15.9
-869.29825,328,0.54,NA,NA,NA,NA,-3435.098,15.86
-933.85965,333,0.46,NA,NA,NA,NA,-3478.2353,16.19
-998.42105,338,0.31,NA,NA,NA,NA,-3521.3725,16.1
-1062.982475,343,0.36,NA,NA,NA,NA,-3564.5098,16.03
-1127.5439,348,0.58,NA,NA,NA,NA,-3607.6471,16.15
-1192.1053,353,0.51,NA,NA,NA,NA,-3671.25,15.84
-1256.6667,358,0.5,NA,NA,NA,NA,-3796.25,16.03
-1321.2281,363,0.54,NA,NA,NA,NA,-3921.25,15.77
-1385.7895,368,0.31,NA,NA,NA,NA,-4046.25,15.51
-1450.3509,373,0.31,NA,NA,NA,NA,-4171.25,15.65
-1514.9123,378,0.29,NA,NA,NA,NA,-4296.25,15.56
-1579.4737,383,0.53,NA,NA,NA,NA,-4421.25,15.33
-1644.0351,388,0.29,NA,NA,NA,NA,-4546.25,15.63
-1708.5965,393,0.49,NA,NA,NA,NA,-4671.25,15.52
-1773.1579,398,0.46,NA,NA,NA,NA,-4796.25,15.44
-1836.457,403,0.3,NA,NA,NA,NA,-4921.25,15.47
-1899.7561,408,0.5,NA,NA,NA,NA,-5046.25,15.16
-1959.2683,413,0.29,NA,NA,NA,NA,-5171.25,15.27
-2018.7805,418,0.54,NA,NA,NA,NA,-5296.25,15.5
-2078.2927,423,0.53,NA,NA,NA,NA,-5421.25,15.32
-2137.8049,428,0.51,NA,NA,NA,NA,-5546.25,15.41
-2197.3171,433,0.4,NA,NA,NA,NA,-5671.25,15.49
-2256.8293,438,0.38,NA,NA,NA,NA,-5721.25,15.15
-2316.3415,443,0.31,NA,NA,NA,NA,NA,NA
-2375.8537,448,0.23,NA,NA,NA,NA,NA,NA
-2435.36585,453,0.32,NA,NA,NA,NA,NA,NA
-2494.878,458,0.4,NA,NA,NA,NA,NA,NA
-2554.3902,463,0.28,NA,NA,NA,NA,NA,NA
-2613.9024,468,0.31,NA,NA,NA,NA,NA,NA
-2673.4146,473,0.29,NA,NA,NA,NA,NA,NA
-2732.9268,478,0.16,NA,NA,NA,NA,NA,NA
-2792.439,483,0.4,NA,NA,NA,NA,NA,NA
-2851.9512,488,0.53,NA,NA,NA,NA,NA,NA
-2911.4634,493,0.31,NA,NA,NA,NA,NA,NA
-2970.9756,498,0.28,NA,NA,NA,NA,NA,NA
-3030.4878,503,0.37,NA,NA,NA,NA,NA,NA
-3090,508,0.43,NA,NA,NA,NA,NA,NA
-3111.56865,513,0.49,NA,NA,NA,NA,NA,NA
-3133.1373,518,0.43,NA,NA,NA,NA,NA,NA
-3154.7059,523,0.56,NA,NA,NA,NA,NA,NA
-3176.2745,528,0.49,NA,NA,NA,NA,NA,NA
-3197.84315,533,0.49,NA,NA,NA,NA,NA,NA
-3219.4118,538,0.49,NA,NA,NA,NA,NA,NA
-3240.9804,543,0.48,NA,NA,NA,NA,NA,NA
-3262.549,548,0.48,NA,NA,NA,NA,NA,NA
-3284.11765,553,0.49,NA,NA,NA,NA,NA,NA
-3305.6863,558,0.39,NA,NA,NA,NA,NA,NA
-3327.2549,563,0.43,NA,NA,NA,NA,NA,NA
-3348.8235,568,0.37,NA,NA,NA,NA,NA,NA
-3370.39215,573,0.31,NA,NA,NA,NA,NA,NA
-3391.9608,578,0.52,NA,NA,NA,NA,NA,NA
-3413.5294,583,0.5,NA,NA,NA,NA,NA,NA
-3435.098,588,0.56,NA,NA,NA,NA,NA,NA
-3456.66665,593,0.32,NA,NA,NA,NA,NA,NA
-3478.2353,598,0.45,NA,NA,NA,NA,NA,NA
-3499.8039,603,0.42,NA,NA,NA,NA,NA,NA
-3521.3725,608,0.61,NA,NA,NA,NA,NA,NA
-3542.94115,613,0.36,NA,NA,NA,NA,NA,NA
-3564.5098,618,0.21,NA,NA,NA,NA,NA,NA
-3586.07845,623,0.53,NA,NA,NA,NA,NA,NA
-3607.6471,628,0.5,NA,NA,NA,NA,NA,NA
-3639.44855,633,0.48,NA,NA,NA,NA,NA,NA
-3671.25,638,0.48,NA,NA,NA,NA,NA,NA
-3733.75,643,0.33,NA,NA,NA,NA,NA,NA
-3796.25,648,0.41,NA,NA,NA,NA,NA,NA
-3858.75,653,0.44,NA,NA,NA,NA,NA,NA
-3921.25,658,0.39,NA,NA,NA,NA,NA,NA
-3983.75,663,0.34,NA,NA,NA,NA,NA,NA
-4046.25,668,0.48,NA,NA,NA,NA,NA,NA
-4108.75,673,0.42,NA,NA,NA,NA,NA,NA
-4171.25,678,0.25,NA,NA,NA,NA,NA,NA
