year (AD),d18O (permil)
1778,22.41
1779,26
1780,22.56
1781,23.86
1782,26.07
1783,27.74
1784,28.15
1785,23.3
1786,23.07
1787,22.56
1788,26.5
1789,22.9
1790,23.95
1791,24.94
1792,23.6
1793,27.74
1794,25.13
1795,21.93
1796,21.38
1797,24.02
1798,23.07
1799,23.13
1800,23.1
1801,21.84
1802,23.75
1803,26.38
1804,26.09
1805,25.57
1806,22.93
1807,24.46
1808,24.71
1809,24.65
1810,22.88
1811,24.16
1812,23.68
1813,28.77
1814,25.43
1815,25.07
1816,25.53
1817,22.83
1818,21.71
1819,25.88
1820,22.28
1821,26.61
1822,21.49
1823,21.74
1824,23.14
1825,24.48
1826,27.41
1827,26.2
1828,23.01
1829,22.93
1830,22.79
1831,25.36
1832,22.51
1833,25.95
1834,24.38
1835,23.95
1836,24.65
1837,25.37
1838,22.9
1839,25.16
1840,25.17
1841,25.58
1842,25.55
1843,27.28
1844,24.39
1845,27.45
1846,23.06
1847,25.28
1848,27.78
1849,28.78
1850,25.93
1851,24.34
1852,23.86
1853,25.52
1854,24.59
1855,22.62
1856,25.32
1857,25.31
1858,25.44
1859,26.18
1860,26.84
1861,25.11
1862,22.43
1863,22.88
1864,25.47
1865,28.94
1866,25.36
1867,24.06
1868,28.16
1869,23.25
1870,24.72
1871,21.65
1872,24.01
1873,27.05
1874,26.35
1875,25.68
1876,28.18
1877,26.54
1878,24.32
1879,25.65
1880,27.75
1881,25.47
1882,26.14
1883,28.45
1884,25.98
1885,24.36
1886,26.18
1887,25.61
1888,26.15
1889,25.55
1890,22.75
1891,26.18
1892,26.21
1893,23.21
1894,22.43
1895,23.31
1896,25.43
1897,22.25
1898,26.4
1899,25.35
1900,24.76
1901,25.74
1902,26.69
1903,26.31
1904,23.61
1905,24.93
1906,26.55
1907,27.1
1908,27.43
1909,23.94
1910,24.46
1911,26.62
1912,26.21
1913,25.6
1914,23.28
1915,27.09
1916,25.71
1917,22.38
1918,28.5
1919,25.77
1920,25.3
1921,27.84
1922,24.2
1923,25.89
1924,24.19
1925,23
1926,25.16
1927,23.6
1928,24.83
1929,25.17
1930,25.13
1931,25.84
1932,25.48
1933,23.64
1934,24.1
1935,24.4
1936,23.3
1937,24.9
1938,23.6
1939,24.5
1940,27.2
1941,27.6
1942,25.2
1943,24.2
1944,24
1945,26.2
1946,26.4
1947,26.7
1948,25.4
1949,25
1950,25.9
1951,26.13
1952,24.31
1953,25.77
1954,26.47
1955,24.92
1956,25.21
1957,25.68
1958,25.99
1959,25.93
1960,25.88
1961,23.73
1962,24.92
1963,25.63
1964,25.59
1965,28.74
1966,27.42
1967,25.48
1968,25.61
1969,25.99
1970,25.33
1971,23.98
1972,26.08
1973,27.38
1974,26.92
1975,22.29
1976,26.16
1977,24.42
1978,25.16
1979,28.28
1980,25.51
1981,25.59
1982,25.44
1983,24.74
1984,25.05
1985,26.36
1986,25.67
1987,28.53
1988,27.72
1989,26.7
1990,25.89
1991,26.22
1992,26.08
1993,26.73
1994,27.19
1995,26.82
1996,25.61
1997,26.8
1998,26.15
1999,27.3
2000,25.72
