year (AD),depth (cm),d18O (permil),Mg_Ca (mmol/mol),temperature (degC),d18O (permil)
1793.38,1.25,NA,NA,NA,1.86
1787.17,1.75,-0.12,1.24,6.09,1.79
1780.96,2.25,-0.16,1.17,5.49,1.97
1774.76,2.75,-0.01,1.24,6.06,1.99
1768.55,3.25,NA,NA,NA,2.01
1762.34,3.75,0,1.19,5.63,2.1
1756.13,4.25,1.3,2.19,11.77,1.98
1749.92,4.75,0.59,1.64,8.86,1.93
1743.72,5.25,0.24,1.45,7.62,1.87
1737.51,5.75,0.49,1.51,8.02,2.02
1731.3,6.25,-0.01,1.25,6.19,1.95
1725.09,6.75,0.14,1.24,6.09,2.13
1718.88,7.25,-0.23,1.23,6,1.78
1712.68,7.75,0.2,1.4,7.28,1.91
1706.47,8.25,NA,NA,NA,2.09
1700.26,8.75,-0.1,1.24,6.07,1.89
1694.05,9.25,0,1.19,5.63,2.09
1687.84,9.75,0.77,1.57,8.46,2.2
1681.64,10.25,0.3,1.37,7.09,2.05
1675.43,10.75,0.09,1.3,6.55,1.97
1669.22,11.25,0.04,1.25,6.14,2.01
1663.01,11.75,0.2,1.44,7.56,1.84
1656.8,12.25,NA,1.66,8.99,NA
1650.6,12.75,NA,NA,NA,1.98
1644.39,13.25,0.61,1.67,9.03,1.91
1638.18,13.75,0.03,1.29,6.45,1.93
1631.97,14.25,-0.02,1.3,6.59,1.85
1625.76,14.75,0.11,1.36,6.97,1.89
1619.56,15.25,0,1.32,6.74,1.83
1613.35,15.75,0.63,1.56,8.4,2.08
1607.14,16.25,0.22,1.38,7.13,1.97
1600.93,16.75,0.32,1.45,7.64,1.94
1594.72,17.25,0.49,1.53,8.16,1.99
1588.52,17.75,0.67,1.69,9.16,1.94
1582.31,18.25,0.19,1.32,6.73,2.03
1576.1,18.75,0.05,1.33,6.77,1.88
1569.89,19.25,0.49,1.45,7.66,2.11
1563.68,19.75,NA,1.43,7.48,NA
1557.48,20.25,-0.03,1.28,6.42,1.88
1551.27,20.75,0.47,1.6,8.63,1.86
1545.06,21.25,NA,NA,NA,2.05
1538.85,21.75,0.02,1.28,6.42,1.93
1532.64,22.25,0.4,1.5,7.98,1.95
1526.44,22.75,-0.3,1.09,4.78,2
1520.23,23.25,0.15,1.41,7.4,1.83
1514.02,23.75,NA,NA,NA,2.01
1507.81,24.25,NA,NA,NA,1.8
1504.71,24.5,NA,1.04,NA,NA
1501.6,24.75,0.23,1.34,6.85,2.03
1495.4,25.25,0,1.26,6.27,1.95
1489.19,25.75,-0.22,1.14,5.2,1.98
1482.98,26.25,0.12,1.23,6.01,2.12
1476.77,26.75,0.11,1.28,6.44,2.01
1470.56,27.25,NA,NA,NA,1.94
1464.36,27.75,-0.08,1.22,5.91,1.95
1458.15,28.25,0.55,1.6,8.64,1.94
1451.94,28.75,0.6,1.6,8.62,2
1445.73,29.25,0.39,1.53,8.17,1.89
1439.52,29.75,0.87,1.8,9.83,1.99
1433.32,30.25,NA,NA,NA,1.92
1427.11,30.75,0.07,1.3,6.57,1.94
1420.9,31.25,0.51,1.68,9.11,1.79
1414.69,31.75,0.11,1.41,7.34,1.81
1408.48,32.25,0.2,1.32,6.73,2.04
1402.28,32.75,NA,NA,NA,1.92
1396.07,33.25,0.62,1.82,9.94,1.71
1389.86,33.75,0.61,1.61,8.71,1.98
1383.65,34.25,0.35,1.5,7.99,1.89
1377.44,34.75,0.58,1.59,8.54,1.99
1371.24,35.25,0.56,1.47,7.8,2.14
1365.03,35.75,0.46,1.57,8.46,1.89
1358.82,36.25,0.7,1.66,9.01,2
1352.61,36.75,0.32,1.55,8.3,1.79
1346.4,37.25,0.24,1.32,6.73,2.07
1340.2,37.75,-0.2,1.19,5.69,1.88
1333.99,38.25,0.16,1.35,6.95,1.94
1327.78,38.75,0.04,1.21,5.83,2.09
1321.57,39.25,0.65,1.65,8.92,1.98
1315.36,39.75,0.07,1.3,6.58,1.94
1309.16,40.25,-0.11,1.24,6.08,1.88
1302.95,40.75,0.7,1.55,8.33,2.16
1296.74,41.25,-0.05,1.28,6.38,1.87
1290.53,41.75,0.06,1.32,6.67,1.91
1284.32,42.25,0.1,1.35,6.9,1.9
1278.12,42.75,0.38,1.52,8.13,1.89
1271.91,43.25,0.07,1.25,6.13,2.05
1265.7,43.75,-0.09,1.26,6.21,1.86
1259.49,44.25,0.33,1.46,7.71,1.93
1253.28,44.75,0.12,1.32,6.69,1.97
1247.08,45.25,0.42,1.6,8.64,1.81
1240.87,45.75,0.04,1.37,7.08,1.8
1234.66,46.25,0.25,1.41,7.39,1.93
1228.45,46.75,0.42,1.65,8.95,1.74
1222.24,47.25,0.53,1.58,8.49,1.95
1216.04,47.75,0.13,1.41,7.39,1.81
1209.83,48.25,0.31,1.59,8.54,1.72
1203.62,48.75,0.56,1.54,8.26,2.04
1197.41,49.25,0.18,1.41,7.35,1.87
1191.2,49.75,0.39,1.48,7.87,1.96
1185,50.25,NA,NA,NA,1.82
1178.79,50.75,0.21,1.4,7.31,1.91
1172.58,51.25,0.8,1.68,9.09,2.09
1166.37,51.75,0.24,1.43,7.54,1.88
1160.16,52.25,0.53,1.54,8.25,2.01
1153.96,52.75,NA,1.39,7.21,NA
1147.75,53.25,-0.1,1.21,5.85,1.94
1141.54,53.75,0.09,1.29,6.45,1.99
1135.33,54.25,0.94,1.86,10.15,1.98
1129.12,54.75,-0.04,1.26,6.25,1.9
1122.92,55.25,-0.05,1.34,6.88,1.75
1116.71,55.75,-0.28,1.2,5.77,1.78
1110.5,56.25,1.1,1.97,10.73,2.02
1104.29,56.75,0.28,1.57,8.41,1.73
1098.08,57.25,0.26,1.43,7.53,1.9
1091.88,57.75,NA,NA,NA,1.8
1085.67,58.25,0.27,1.52,8.09,1.79
1079.46,58.75,0.01,1.33,6.79,1.83
1073.25,59.25,0.3,1.44,7.61,1.93
1067.04,59.75,0.56,1.66,9,1.87
1060.84,60.25,0.37,1.59,8.55,1.78
1054.63,60.75,0.66,1.6,8.61,2.06
1048.42,61.25,0.17,1.31,6.65,2.02
1042.21,61.75,0.21,1.41,7.37,1.89
1036,62.25,0.52,1.62,8.76,1.88
1029.8,62.75,0.09,1.33,6.81,1.9
1023.59,63.25,-0.09,1.29,6.47,1.81
1017.38,63.75,0.09,1.34,6.86,1.89
1011.17,64.25,-0.07,1.29,6.46,1.83
1004.96,64.75,0.18,1.45,7.65,1.8
998.76,65.25,0.27,1.53,8.2,1.76
992.55,65.75,0.29,1.51,8.04,1.82
986.34,66.25,0.03,1.28,6.42,1.93
980.13,66.75,0.51,1.63,8.81,1.86
973.92,67.25,0.35,1.49,7.93,1.9
967.72,67.75,NA,1.48,7.87,NA
961.51,68.25,0.34,1.48,7.84,1.92
955.3,68.75,0.78,1.88,10.25,1.8
949.09,69.25,0.44,1.67,9.08,1.73
942.88,69.75,0.27,1.54,8.26,1.75
936.68,70.25,0.04,1.38,7.14,1.78
930.47,70.75,0.24,1.4,7.27,1.95
924.26,71.25,0.4,1.52,8.09,1.92
918.05,71.75,0.09,1.42,7.4,1.77
911.84,72.25,0.29,1.52,8.09,1.8
905.64,72.75,0.66,1.58,8.52,2.08
899.43,73.25,0.32,1.58,8.51,1.74
893.22,73.75,0.2,1.51,8.08,1.72
887.01,74.25,0.47,1.67,9.08,1.75
880.8,74.75,0.45,1.58,8.52,1.87
874.6,75.25,0.48,1.66,9.02,1.79
868.39,75.75,0.29,1.58,8.48,1.71
862.18,76.25,0.49,1.75,9.55,1.67
855.97,76.75,0.52,1.72,9.37,1.74
849.76,77.25,0.67,1.76,9.59,1.84
843.56,77.75,0.41,1.74,9.48,1.61
837.35,78.25,0.43,1.66,9,1.74
831.14,78.75,0.23,1.5,8.01,1.77
824.93,79.25,0.3,1.51,8.07,1.82
818.72,79.75,NA,1.44,7.6,NA
