year (AD),depth (cm),d18O (permil),lithologic unit (),Calcite (fraction),Aragonite (fraction)
1963.3,0.5,-7.95,I,1,0
1948.3,1.5,-9.45,I,1,0
1933.3,2.5,-9.88,I,1,0
1918.3,3.5,-7.97,I,1,0
1903.3,4.5,-6.47,I,1,0
1888.3,5.5,-6.45,I,1,0
1873.3,6.5,-6.44,II,1,0
1858.3,7.5,-6.37,II,1,0
1843.3,8.5,-6.34,II,1,0
1828.3,9.5,-6.42,II,1,0
1813.3,10.5,-6.51,II,1,0
1798.3,11.5,-6.34,II,1,0
1783.3,12.5,-6.07,II,1,0
1768.3,13.5,-5.92,II,1,0
1753.3,14.5,-5.84,II,1,0
1738.3,15.5,-5.76,II,1,0
1723.3,16.5,-5.79,II,1,0
1708.3,17.5,-5.84,II,1,0
1693.3,18.5,-5.88,II,1,0
1678.3,19.5,-5.88,II,1,0
1663.3,20.5,-5.99,II,1,0
1648.3,21.5,-6.11,II,1,0
1633.3,22.5,-6.15,II,1,0
1618.3,23.5,-6.19,II,1,0
1603.3,24.5,-6.24,II,1,0
1588.3,25.5,-6.28,II,1,0
1573.3,26.5,-6.33,II,1,0
1558.3,27.5,-6.38,II,1,0
1543.3,28.5,-6.42,II,1,0
1528.3,29.5,-6.47,II,1,0
1513.3,30.5,-6.52,II,1,0
1498.3,31.5,-6.57,II,1,0
1483.3,32.5,-6.53,II,1,0
1468.2,33.5,-6.44,II,1,0
1453.2,34.5,-6.31,II,1,0
1438.2,35.5,-6.25,II,1,0
1423.2,36.5,-6.14,II,1,0
1408.2,37.5,-5.95,II,1,0
1393.2,38.5,-6.16,II,1,0
1378.2,39.5,-6.45,II,1,0
1363.2,40.5,-6.77,II,1,0
1348.2,41.5,-6.88,II,1,0
1333.2,42.5,-7,II,1,0
1318.2,43.5,-7.11,II,1,0
1303.2,44.5,-7.22,II,1,0
1288.2,45.5,-7.16,II,1,0
1273.2,46.5,-6.98,II,1,0
1258.2,47.5,-6.69,II,1,0
1243.2,48.5,-6.42,II,1,0
1228.2,49.5,-6.47,II,1,0
1213.2,50.5,-6.69,II,1,0
1198.2,51.5,-6.48,II,1,0
1183.2,52.5,-6.42,II,1,0
1168.2,53.5,-6.41,II,1,0
1153.2,54.5,-6.41,II,1,0
1138.2,55.5,-6.4,II,1,0
1123.2,56.5,-6.25,II,1,0
1108.2,57.5,-6.05,II,1,0
1093.2,58.5,-6.03,II,1,0
1078.2,59.5,-6.1,II,1,0
1063.2,60.5,-6.14,II,1,0
1048.2,61.5,-6.12,II,1,0
1033.2,62.5,-6.12,II,1,0
1018.2,63.5,-6.23,II,1,0
1003.2,64.5,-6.19,II,1,0
988.2,65.5,-6,II,1,0
973.2,66.5,-5.93,II,1,0
958.2,67.5,-5.93,II,1,0
943.2,68.5,-5.86,II,1,0
928.2,69.5,-5.81,II,1,0
913.2,70.5,-5.85,II,1,0
898.2,71.5,-6.05,II,1,0
883.2,72.5,-5.92,II,1,0
868.2,73.5,-5.83,II,1,0
853.2,74.5,-5.95,II,1,0
838.2,75.5,-6.23,II,1,0
823.2,76.5,-6.45,II,1,0
808.2,77.5,-6.55,II,1,0
793.2,78.5,-6.39,III,1,0
778.2,79.5,-6.23,III,1,0
763.2,80.5,-6.07,III,1,0
748.2,81.5,-5.97,III,1,0
733.2,82.5,-5.89,III,1,0
718.2,83.5,-5.82,III,1,0
703.2,84.5,-5.86,III,1,0
688.2,85.5,-5.9,III,1,0
673.2,86.5,-6.13,III,1,0
658.2,87.5,-6.44,III,1,0
643.2,88.5,-6.24,III,1,0
628.2,89.5,-6.11,III,1,0
613.2,90.5,-6.16,III,1,0
598.2,91.5,-6.11,III,1,0
583.2,92.5,-6.02,III,1,0
568.2,93.5,-5.92,III,1,0
553.2,94.5,-5.96,III,1,0
538.1,95.5,-6.06,III,0.97,0.03
523.1,96.5,-6.02,III,0.85,0.15
508.1,97.5,-5.99,III,0.75,0.25
493.1,98.5,-5.99,III,0.74,0.26
478.1,99.5,-6.01,III,0.74,0.26
463.1,100.5,-6.03,III,0.74,0.26
448.1,101.5,-6.02,III,0.74,0.26
433.1,102.5,-6.02,III,0.73,0.27
418.1,103.5,-6.11,III,0.72,0.28
403.1,104.5,-6.15,III,0.74,0.26
388.1,105.5,-6.08,III,0.76,0.24
373.1,106.5,-6.26,III,0.75,0.25
358.1,107.5,-6.56,III,0.75,0.25
343.1,108.5,-6.77,III,0.74,0.26
328.1,109.5,-6.66,III,0.73,0.27
313.1,110.5,-5.92,III,0.73,0.27
298.1,111.5,-5.81,III,0.73,0.27
283.1,112.5,-5.92,III,0.73,0.27
268.1,113.5,-5.84,III,0.73,0.27
253.1,114.5,-5.81,III,0.74,0.26
238.1,115.5,-5.76,III,0.75,0.25
223.1,116.5,-5.83,III,0.76,0.24
208.1,117.5,-6.02,III,0.77,0.23
193.1,118.5,-6,III,0.84,0.16
178.1,119.5,-5.9,III,0.95,0.05
163.1,120.5,-6.22,III,1,0
148.1,121.5,-6.1,III,1,0
133.1,122.5,-5.78,III,1,0
118.1,123.5,-5.82,III,1,0
103.1,124.5,-5.91,III,1,0
