year (AD),dD (permil),d18O (permil),deuteriumExcess (permil)
1998,-146.86,-146.86,7.22
1997,-168.13,-168.13,8.99
1996,-153.3,-153.3,9.42
1995,-139.32,-139.32,10.4
1994,-133.41,-133.41,6.83
1993,-154.95,-154.95,10.02
1992,-142.07,-142.07,9.57
1991,-137.2,-137.2,7.91
1990,-139.56,-139.56,9.12
1989,-144.41,-144.41,8.72
1988,-140.81,-140.81,9.65
1987,-157.89,-157.89,11.73
1986,-162.7,-162.7,12.27
1985,-147.88,-147.88,10.48
1984,-149.74,-149.74,9.72
1983,-140.88,-140.88,9.62
1982,-141.13,-141.13,9.73
1981,-153.56,-153.56,10.22
1980,-165.61,-165.61,9.65
1979,-152.31,-152.31,8.76
1978,-144.38,-144.38,11.73
1977,-151.49,-151.49,12.35
1976,-145.95,-145.95,11.4
1975,-147.41,-147.41,10.4
1974,-162.42,-162.42,10.05
1973,-151.5,-151.5,11.87
1972,-151.12,-151.12,14.05
1971,-152.27,-152.27,10.49
1970,-155.29,-155.29,11.66
1969,-146.36,-146.36,10.87
1968,-142,-142,11.11
1967,-144.64,-144.64,11.44
1966,-154.66,-154.66,10.95
1965,-146.58,-146.58,13.14
1964,-153.84,-153.84,11.17
1963,-154.52,-154.52,11.61
1962,-158.56,-158.56,11.62
1961,-159.8,-159.8,10.38
1960,-149.47,-149.47,9.03
1959,-150.66,-150.66,10.11
1958,-144.1,-144.1,9.03
1957,-142.1,-142.1,11.68
1956,-150.13,-150.13,12.62
1955,-150.59,-150.59,9.41
1954,-144.66,-144.66,9.4
1953,-151.64,-151.64,11.04
1952,-150.47,-150.47,9.93
1951,-143.33,-143.33,9.46
1950,-149.05,-149.05,9.58
1949,-146.7,-146.7,10.75
1948,-151.47,-151.47,12.45
1947,-152.63,-152.63,13.01
1946,-162.2,-162.2,12.3
1945,-149.64,-149.64,9.18
1944,-139.01,-139.01,8.31
1943,-147.72,-147.72,9.77
1942,-138.91,-138.91,11.03
1941,-140.62,-140.62,10.03
1940,-136.95,-136.95,10.76
1939,-134.87,-134.87,8.94
1938,-131.37,-131.37,8.69
1937,-135.03,-135.03,9.62
1936,-133.15,-133.15,10.37
1935,-133.16,-133.16,10.49
1934,-149.73,-149.73,11.44
1933,-147.7,-147.7,12.23
1932,-137.21,-137.21,13.57
1931,-138.93,-138.93,11.06
1930,-152.18,-152.18,11.22
1929,-156.84,-156.84,11.55
1928,-137.38,-137.38,10.63
1927,-146.39,-146.39,11.21
1926,-153.81,-153.81,11.13
1925,-145.61,-145.61,11.59
1924,-150.25,-150.25,10.32
1923,-122.15,-122.15,13.21
1922,-131.57,-131.57,13.12
1921,-125.7,-125.7,7.43
1920,-135.43,-135.43,9.93
1919,-149.51,-149.51,12.08
1918,-143.3,-143.3,13.24
1917,-154.1,-154.1,9.87
1916,-160.63,-160.63,10.53
1915,-158.42,-158.42,11.49
1914,-150.84,-150.84,9.79
1913,-147.18,-147.18,10.58
1912,-155.38,-155.38,11.07
1911,-163.52,-163.52,11.15
1910,-158.86,-158.86,11.03
1909,-150.88,-150.88,9.34
1908,-158.75,-158.75,9.94
1907,-154.29,-154.29,11.22
1906,-160.98,-160.98,10
1905,-151.63,-151.63,11.32
1904,-156.9,-156.9,11.9
1903,-161.95,-161.95,12.06
1902,-168.97,-168.97,11.84
1901,-164.62,-164.62,11.26
1900,-163.76,-163.76,13.34
1899,-153.34,-153.34,12.37
1898,-163.31,-163.31,11.49
1897,-183.1,-183.1,13.56
1896,-152.42,-152.42,13.21
1895,-162.77,-162.77,10.4
1894,-172.79,-172.79,10.75
1893,-174.12,-174.12,11.28
1892,-164.11,-164.11,12.91
1891,-152.05,-152.05,9.73
1890,-143.38,-143.38,11.7
1889,-150.74,-150.74,11.88
1888,-158.51,-158.51,10.59
1887,-168.45,-168.45,11.28
1886,-163.13,-163.13,13.48
1885,-176.94,-176.94,12.75
1884,-161.87,-161.87,12.05
1883,-160.88,-160.88,10.85
