year (AD),dD (permil)
2000.9904,-232.352117
2000.97125,-232.673616
2000.9521,-207.342519
2000.93295,-198.432864
2000.9138,-192.896779
2000.8946,-192.484043
2000.87545,-200.67467
2000.8563,-209.795037
2000.83715,-270.496476
2000.818,-251.364015
2000.7988,-243.754477
2000.77965,-241.464881
2000.7605,-250.004161
2000.74135,-233.293804
2000.7222,-253.932751
2000.703,-283.881053
2000.68385,-282.558127
2000.6647,-265.881442
2000.64555,-272.458056
2000.6264,-274.763943
2000.60725,-287.43275
2000.5881,-293.309886
2000.5689,-298.024845
2000.54975,-302.523662
2000.5306,-271.790076
2000.51145,-237.899064
2000.4923,-233.4274
2000.4731,-239.714014
2000.45395,-263.864468
2000.4348,-270.057673
2000.41565,-256.681786
2000.3965,-251.16525
2000.3773,-245.721486
2000.35815,-246.528493
2000.339,-255.375152
2000.31985,-258.227372
2000.3007,-256.184331
2000.2815,-246.57737
2000.26235,-233.288375
2000.2432,-233.30358
2000.22405,-269.97922
2000.2049,-244.825312
2000.1857,-212.585644
2000.16655,-215.147335
2000.1474,-221.155627
2000.12825,-224.912703
2000.1091,-227.274262
2000.0899,-243.786788
2000.07075,-232.668094
2000.0516,-230.019859
2000.03245,-221.863121
2000.0133,-220.173357
1999.9833,-219.433409
1999.95265,-238.465437
1999.9321,-243.844124
1999.91155,-248.676504
1999.891,-243.713226
1999.87045,-241.763831
1999.84995,-223.495551
1999.82945,-226.998405
1999.8089,-231.862157
1999.78835,-234.855485
1999.7678,-233.32799
1999.74725,-239.819845
1999.72675,-222.531671
1999.70625,-229.816482
1999.6857,-231.010784
1999.6651,-243.847369
1999.64455,-251.034818
1999.62405,-252.841416
1999.60355,-246.005551
1999.583,-223.731383
1999.56245,-206.975452
1999.5419,-213.389418
1999.52135,-224.951648
1999.50085,-230.116139
1999.48035,-261.210186
1999.4598,-239.222694
1999.43925,-253.190837
1999.4187,-254.818938
1999.39815,-277.11907
1999.37765,-278.373953
1999.35715,-285.978975
1999.3366,-270.229115
1999.316,-262.547285
1999.29545,-286.370585
1999.27495,-292.118165
1999.2544,-302.145326
1999.23385,-299.771868
1999.2133,-284.916652
1999.19275,-274.977115
1999.17225,-261.729448
1999.15175,-263.567419
1999.1312,-270.209642
1999.11065,-279.49253
1999.0901,-275.486641
1999.06955,-272.895741
1999.04905,-263.213672
1999.0281,-260.605462
1998.91475,-240.419012
1998.87265,-242.590455
1998.83055,-248.508986
1998.7884,-262.777536
1998.74625,-280.064604
1998.70415,-281.526132
1998.66205,-271.061723
1998.61995,-267.621866
1998.57785,-264.015227
1998.53575,-253.356606
1998.49365,-237.167879
1998.45155,-235.546155
1998.40945,-249.541492
1998.36735,-264.176522
1998.32525,-263.641067
1998.2831,-250.210811
1998.24095,-238.533948
1998.19885,-226.594844
1998.15675,-207.616925
1998.11465,-192.795364
1998.0725,-196.198179
1998.0302,-206.458168
1997.9877,-217.504757
1997.9447,-219.899858
1997.90135,-217.307281
1997.8581,-218.952189
1997.81485,-226.045923
1997.77155,-230.719183
1997.72825,-226.530238
1997.685,-220.522077
1997.64175,-219.259989
1997.6061,-229.500119
1997.57815,-244.443298
1997.5426,-270.323278
1997.49935,-280.105202
1997.4561,-279.420521
1997.4129,-261.591417
1997.36965,-247.168155
1997.3264,-243.087507
1997.28315,-243.506653
1997.2399,-252.335073
1997.1967,-259.196135
1997.1535,-258.979978
1997.11025,-256.273079
1997.06705,-254.964068
1997.02415,-255.27349
1996.9819,-253.915103
1996.94055,-251.011798
1996.8996,-248.504597
1996.8586,-243.573586
1996.81765,-243.93019
1996.7767,-252.797012
1996.7357,-266.547665
1996.69475,-282.91195
1996.65385,-292.215475
1996.6129,-296.846938
1996.5719,-294.858734
1996.53095,-290.44233
1996.49,-280.455
1996.449,-270.389113
1996.40805,-262.818134
1996.3671,-251.799618
1996.3261,-236.998905
1996.28515,-224.695516
1996.2442,-214.052257
1996.20365,-211.885202
1996.1635,-222.749007
1996.1233,-235.429847
1996.08315,-248.873271
1996.043,-253.523585
