year (AD),depth (cm),d18O (permil),core ()
1998.2,0.4,1.2,MC
1995.9,1.05,1.27,MC
1993.9,1.55,1.26,MC
1991.8,2.05,1.16,MC
1989.8,2.55,1.23,MC
1987.6,3.05,1.22,MC
1985.5,3.55,0.95,MC
1983.2,4.05,1.05,MC
1980.9,4.55,1.13,MC
1978.5,5.05,1.16,MC
1976,5.55,1.27,MC
1973.5,6.05,1.13,MC
1970.5,6.55,1.1,MC
1967.8,7.05,1.27,MC
1965,7.55,1.21,MC
1962.4,8.05,1.22,MC
1959.1,8.55,1.08,MC
1956,9.05,1.05,MC
1953.1,9.55,1.27,MC
1949.5,10.05,1.08,MC
1946.1,10.55,1.03,MC
1942.7,11.05,1.13,MC
1939.5,11.55,1.21,MC
1935.5,12.05,1.35,MC
1931.8,12.55,1.27,MC
1928,13.05,1.32,MC
1928,13.55,1.18,MC
1920.2,14.05,1.27,MC
1916.1,14.55,1.27,MC
1912,15.05,1.1,MC
1907.8,15.55,1.24,MC
1903.5,16.05,1.2,MC
1899.1,16.55,1.43,MC
1894.6,17.05,1.24,MC
1890,17.55,1.31,MC
1885.4,18.05,1.25,MC
1880.6,18.55,1.16,MC
1875.7,19.05,1.25,MC
1870.8,19.55,1.11,MC
1865.7,20.05,1.21,MC
1860.5,20.55,1.38,MC
1855.1,21.05,1.13,MC
1849.7,21.6,1.23,MC
1844.1,22.05,1.2,MC
1838.3,22.55,1.13,MC
1832.4,23.05,1.28,MC
1826.2,23.55,1.2,MC
1819.9,24.05,1.18,MC
1813.4,24.55,1.31,MC
1806.6,25.05,1.23,MC
1799.6,25.55,1.24,MC
1792.4,26.05,1.26,MC
1784.8,26.55,1.18,MC
1776.9,27.05,1.34,MC
1768.7,27.55,1.06,MC
1760.2,28.05,1.29,MC
1751.2,28.55,1.29,MC
1741.8,29.05,0.98,MC
1732,29.55,1.18,MC
1721.7,30.05,1.32,MC
1710.9,30.55,1.34,MC
1699.5,31.05,1.44,MC
1687.5,31.55,1.35,MC
1674.9,32.05,1.28,MC
1670.9,0.5,1.3,SC
1665.4,1,1.34,SC
1659.9,1.5,1.45,SC
1648.8,2.5,1.25,SC
1643.4,3,1.25,SC
1637.9,3.5,1.29,SC
1632.4,4,1.25,SC
1626.9,4.5,1.2,SC
1616,5.5,1.13,SC
1610.5,6,1.14,SC
1605,6.5,1.31,SC
1599.6,7,1.21,SC
1588.7,8,1.31,SC
1577.8,9,1.28,SC
1567,10,1.25,SC
1556.2,11,1.39,SC
1545.4,12,1.33,SC
1534.6,13,1.25,SC
1523.8,14,1.35,SC
1513.1,15,1.29,SC
1502.4,16,1.25,SC
1491.7,17,1.32,SC
1481,18,1.36,SC
1459.7,20,1.37,SC
1449.1,21,1.24,SC
1438.5,22,1.27,SC
1427.9,23,1.28,SC
1417.3,24,1.22,SC
1406.8,25,1.35,SC
1396.3,26,0.99,SC
1385.8,27,1.26,SC
1375.3,28,1.22,SC
1364.8,29,1.3,SC
1354.4,30,1.34,SC
1344,31,1.2,SC
1333.6,32,1.18,SC
1323.2,33,1.2,SC
1312.8,34,1.15,SC
1302.5,35,1.34,SC
1292.1,36,1.25,SC
1281.8,37,1.23,SC
1271.6,38,1.19,SC
1261.3,39,1.11,SC
1251,40,1.32,SC
1240.8,41,1.1,SC
1230.6,42,1.23,SC
1220.4,43,1.18,SC
1210.2,44,1.15,SC
1200.1,45,1.08,SC
1189.9,46,0.96,SC
1179.8,47,1.17,SC
1169.7,48,1.01,SC
1159.6,49,1.14,SC
1149.5,50,1.19,SC
1139.5,51,1.14,SC
1129.4,52,1.17,SC
1119.4,53,1.14,SC
1109.4,54,1.22,SC
1099.4,55,1.06,SC
1089.5,56,1.06,SC
1079.5,57,1.22,SC
