year (AD),d18O (permil),d18O (permil),d13C (permil)
1497,-3.13,-3.13,-7.98
1487,-3.21,-3.21,-7.21
1477,-3.13,-3.13,-7.29
1472,-3.06,-3.06,-8.01
1467,-2.99,-2.99,-7.14
1461,-3.11,-3.11,-7.05
1456,-3.09,-3.09,-6.7
1451,-2.99,-2.99,-6.86
1446,-2.9,-2.9,-7.46
1436,-3.06,-3.06,-7.09
1436,-3.34,-3.34,-8.03
1426,-2.95,-2.95,-7.61
1421,-3.47,-3.47,-8.52
1416,-3.39,-3.39,-7.24
1406,-3.29,-3.29,-7.35
1401,-3.19,-3.19,-6.49
1396,-3.2,-3.2,-6.95
1385,-3.14,-3.14,-6.66
1380,-3.35,-3.35,-7.91
1375,-3.21,-3.21,-7.27
1370,-3.04,-3.04,-6.03
1365,-3.11,-3.11,-6.89
1360,-3.23,-3.23,-5.99
1350,-3.48,-3.48,-6.9
1345,-3.19,-3.19,-6.45
1330,-3.14,-3.14,-6.71
1320,-3.54,-3.54,-7.42
1309,-3.16,-3.16,-7.27
1304,-3,-3,-6.78
1299,-3.1,-3.1,-7.16
1295,-3.22,-3.22,-7.95
1294,-3.24,-3.24,-8.02
1289,-3.07,-3.07,-7.19
1279,-3.08,-3.08,-6.74
1274,-3.13,-3.13,-7.05
1269,-3.16,-3.16,-7.32
1259,-3.2,-3.2,-7.95
1254,-3.26,-3.26,-6.35
1243,-3.45,-3.45,-8.46
1233,-3.33,-3.33,-7.75
1228,-3.22,-3.22,-7.06
1218,-3.44,-3.44,-7.94
1203,-3.28,-3.28,-6.76
1180,-3.11,-3.11,-5.58
1143,-3.24,-3.24,-7.88
1122,-3.44,-3.44,-8.29
1064,-3.09,-3.09,-7.43
1007,-3.14,-3.14,-7.02
980,-3.28,-3.28,-7.77
949,-3.58,-3.58,-8.25
909,-3.3,-3.3,-7.74
891,-3.34,-3.34,-7.78
834,-3.15,-3.15,-6.32
833,-3.31,-3.31,-7.72
776,-3.51,-3.51,-7.67
718,-3.32,-3.32,-6.71
661,-3.21,-3.21,-7.76
637,-3.31,-3.31,-7.71
603,-3.16,-3.16,-7.04
511,-3.48,-3.48,-7.14
434,-3.37,-3.37,-7.73
418,-3.33,-3.33,-7.36
315,-3.17,-3.17,-6.08
257,-3.46,-3.46,-7.37
223,-3.75,-3.75,-8.65
223,-3.32,-3.32,-7.83
157,-3.5,-3.5,-7.79
90,-3.51,-3.51,-7.14
23,-3.45,-3.45,-7.29
6,-3.35,-3.35,-7.73
-44,-3.39,-3.39,-7.31
-120,-3.39,-3.39,-7.25
-186,-3.09,-3.09,-6.7
-218,-3.13,-3.13,-7.52
-262,-3.01,-3.01,-5.88
-329,-3.36,-3.36,-7.97
-396,-3.24,-3.24,-6.82
-447,-3.41,-3.41,-7.45
-463,-3.18,-3.18,-7.37
-538,-3.43,-3.43,-7.47
-605,-3.28,-3.28,-7.87
-672,-3.34,-3.34,-6.89
-682,-3.35,-3.35,-7.65
-747,-3.16,-3.16,-6.63
-814,-3.09,-3.09,-6.1
-864,-3.19,-3.19,-6.29
-884,-3.01,-3.01,-5.15
-921,-3.53,-3.53,-7.47
-975,-3.22,-3.22,-6.02
-1055,-3.18,-3.18,-6.71
-1145,-3.04,-3.04,-4.32
-1165,-3.06,-3.06,-6.08
-1226,-3.38,-3.38,-7
-1306,-2.93,-2.93,-4.61
-1376,-2.85,-2.85,-4.88
-1413,-3.04,-3.04,-6.06
-1477,-3.1,-3.1,-5.54
-1557,-3.34,-3.34,-7.41
-1563,-3.24,-3.24,-6.41
-1637,-3.35,-3.35,-7.63
-1664,-3.38,-3.38,-6.64
-1728,-3.21,-3.21,-6.74
-1808,-3.05,-3.05,-7
-1889,-3.32,-3.32,-6.88
-1919,-3.22,-3.22,-6.53
-1979,-3.31,-3.31,-7.78
-2059,-3.44,-3.44,-6.17
-2140,-3.31,-3.31,-5.67
-2176,-3.17,-3.17,-7.74
-2190,-3.62,-3.62,-7.94
-2435,-3.4,-3.4,-8.13
-2696,-3.39,-3.39,-8.44
-2958,-3.49,-3.49,-8.69
-2963,-3.19,-3.19,-7.77
-2974,-3.39,-3.39,-7.44
-2985,-3.33,-3.33,-7.11
-2992,-3.22,-3.22,-7.98
-3003,-3.55,-3.55,-7.17
-3010,-3.29,-3.29,-7.18
-3017,-3.23,-3.23,-7.59
-3024,-3.23,-3.23,-7.48
-3031,-3.34,-3.34,-7.24
-3036,-3.32,-3.32,-6.53
-3042,-3.3,-3.3,-6.75
-3060,-3.39,-3.39,-6.84
-3077,-3.58,-3.58,-7.68
-3099,-3.4,-3.4,-8.62
-3106,-3.39,-3.39,-7.82
-3162,-3.38,-3.38,-7.02
-3221,-3.65,-3.65,-9
-3294,-3.21,-3.21,-8.56
-3350,-3.3,-3.3,-7.74
-3462,-3.37,-3.37,-8.25
-3484,-3.17,-3.17,-7.97
-3537,-3.38,-3.38,-7.32
-3613,-3.1,-3.1,-7
-3725,-3.13,-3.13,-7.93
-3748,-3.65,-3.65,-8.77
-3763,-3.15,-3.15,-7.98
-3772,-3.19,-3.19,-8.15
-3776,-3.23,-3.23,-8.31
-3801,-3.31,-3.31,-8.64
-3834,-3.22,-3.22,-7.66
-3866,-3.53,-3.53,-8.4
-3916,-3.3,-3.3,-7.49
-3940,-3.3,-3.3,-6.98
-3973,-3.36,-3.36,-6.96
-3998,-3.43,-3.43,-9.08
-4010,-3.62,-3.62,-8.72
