year (AD),depth (cm),d18O (permil)
1894.5783,6,-9.64
1802.2088,16,-8.58
1709.8394,26,-8.7
1594.3775,38.5,-9.42
1201.8072,81,-9.76
984.73896,104.5,-8.71
855.42169,118.5,-9.02
699.392,132.5,-9.6
523.328,146.5,-8.71
347.264,160.5,-8.01
171.2,174.5,-8.29
14,187,-8.28
-175.6,199,-8.16
-341.5,209.5,-8.24
-495.55,219.25,-7.93
-657.5,229.5,-7.62
-815.5,239.5,-7.58
-973.5,249.5,-7.57
-1131.5,259.5,-7.61
-1273,264.5,-8.52
-1390,269.5,-9.02
-1534,274.5,-8.88
-1722,279.25,-8.22
-1975,284,-8.21
-2093,286.75,-7.47
-2184,289.25,-6.41
-2242,291.4,-6.76
-2282,293.15,-6.96
-2323,295.1,-6.58
-2366,297.4,-7.43
-2418,300,-7.62
-2514,307.1,-3.85
-2525,308,-6.01
-2530,309,-5.66
-2557,310.75,-5.93
-2563,312.25,-6.59
-2574,313.4,-6.32
-2606,317.7,-6.55
-2638,323.25,-6.91
-2648,324.5,-6.79
-2729.875,329.15,-6.59
-2801.875,332.35,-6.63
-2906.5,337,-7.09
-3005,340.75,-7.06
-3192.7778,347.25,-6.6
-3258.2278,349.5,-6.56
-3288.7975,350.55,-6.93
-3381.962,353.75,-6.55
-3469.3038,356.75,-6.55
-3556.6456,359.75,-7.1
-3643.9873,362.75,-6.73
-3680.3797,364,-6.6
-3712.4051,365.1,-6.85
-3744.4304,366.2,-6.76
-3777.9114,367.35,-6.93
-3818.6709,368.75,-6.88
-3862.3418,370.25,-7
-3906.0127,371.75,-6.8
-3949.6835,373.25,-7.22
-3993.3544,374.75,-7.17
-4044.3038,376.5,-7.27
-4102.5316,378.5,-7.08
-4153.481,380.25,-7.13
-4192.7848,381.6,-7.55
-4227.7215,382.8,-7.28
-4261.2025,383.95,-6.9
-4287.4051,384.85,-7.13
-4304.8734,385.45,-7.02
-4331.0759,386.35,-7.07
-4372.0588,387.75,-6.73
-4419.1176,389.35,-6.61
-4451.4706,390.45,-6.77
-4477.9412,391.35,-7.21
-4519.1176,392.75,-7.17
-4563.2353,394.25,-7.11
-4602.9412,395.6,-7.19
-4647.0588,397.1,-7.69
-4688.2353,398.5,-6.93
-4725,399.75,-8.2
-4769.1176,401.25,-6.83
-4813.2353,402.75,-7.13
-4852.8571,404.15,-7.02
-4910,407.15,-7.22
-4959.5238,409.75,-7.04
-4988.0952,411.25,-6.66
-5045.2381,414.25,-6.8
-5102.381,417.25,-6.32
-5159.5238,420.25,-6.45
-5245.2381,424.75,-6.85
-5403.125,433.75,-6.73
-5481.875,438.25,-6.54
-5560.625,442.75,-6.49
-5613.5,445.75,-6.51
-5640.5,447.25,-7.09
-5694.5,450.25,-6.5
-5748.5,453.25,-7
-5775.5,454.75,-6.92
-5825,457.5,-6.59
-5868.2,459.9,-6.66
-5903.3,461.85,-6.92
-5928.5,463.25,-6.93
-5982.5,466.25,-7.5
-6028.4,468.8,-6.91
-6069.3333,471.45,-8.52
-6125.3333,475.65,-8.99
-6159.3333,478.2,-8.77
-6190,480.5,-9.02
-6240.6667,484.3,-9.04
-6260,485.7,-9.71
-6300.7143,488.55,-9.16
-6320,489.9,-8.93
-6355.7143,492.4,-8.14
-6396.4286,495.25,-7.8
-6508.3333,502,-8.135
-6785.6383,514,-8.35
-7079.2553,526,-8.53
-7372.8723,538,-9.54
-7678.7234,550.5,-10.38
-7997.3684,564.5,-10.4
-8302.6316,579,-10.34
-8650,595.5,-10.63
-8800,614.25,-11.37
-8925.7653,634,-10.84
-9101.4031,654.25,-10.87
-9222.8316,668.25,-11.67
-9354,690,-10.9
-9506.8966,722.5,-11.69
-9541.3793,732.5,-11.34
