year (AD),d18O (permil),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
1988,-32.8,3.15,1.11,158
1987,-36.7,3.55,1.26,158
1986,-34.7,3.96,1.42,158
1985,-34.7,4.37,1.58,158
1984,-36.8,4.76,1.74,158
1983,-38,5.16,1.9,158
1982,-37.8,5.55,2.05,158
1981,-35,5.93,2.21,158
1980,-34.2,6.31,2.37,158
1979,-32.7,6.68,2.53,158
1978,-35.3,7.05,2.69,158
1977,-36,7.42,2.84,158
1976,-34.5,7.78,3,158
1975,-33.9,8.14,3.16,158
1974,-35.3,8.5,3.32,158
1973,-36.7,8.85,3.48,158
1972,-34.1,9.19,3.63,158
1971,-33.5,9.54,3.79,158
1970,-35.1,9.88,3.95,158
1969,-33.7,10.23,4.11,158
1968,-35.4,10.56,4.27,158
1967,-35.1,10.89,4.43,158
1966,-35.4,11.22,4.58,158
1965,-33.7,11.55,4.74,158
1964,-34.9,11.88,4.9,158
1963,-35.3,12.2,5.06,158
1962,-34,12.52,5.22,158
1961,-34.2,12.84,5.37,158
1960,-33.6,13.15,5.53,158
1959,-36.6,13.47,5.69,158
1958,-35,13.78,5.85,158
1957,-35.8,14.09,6.01,158
1956,-35.7,14.39,6.16,158
1955,-34.7,14.7,6.32,158
1954,-37,15,6.48,158
1953,-36.2,15.31,6.64,158
1952,-34.4,15.61,6.8,158
1951,-35.2,15.9,6.95,158
1950,-38.4,16.2,7.11,158
1949,-36.2,16.5,7.27,158
1948,-35.2,16.79,7.43,158
1947,-35.1,17.08,7.59,158
1946,-36.4,17.37,7.74,158
1945,-36.6,17.66,7.9,158
1944,-37.5,17.95,8.06,158
1943,-37.3,18.23,8.22,158
1942,-35.2,18.52,8.38,158
1941,-35.8,18.8,8.53,158
1940,-34,19.08,8.69,158
1939,-33.4,19.36,8.85,158
1938,-35.3,19.64,9.01,158
1937,-35.2,19.92,9.17,158
1936,-35.4,20.2,9.32,158
1935,-35.7,20.47,9.48,158
