year (AD),depth (mm),d18O (permil),d13C (permil)
2003.9,0.1,-2.95,-7.16
2001.9,0.2,-3.04,-7.12
1999.3,0.3,-3.17,-7.14
1996.8,0.4,-3.17,-7.08
1994.3,0.5,-3.1,-7.04
1992.2,0.6,-3.1,-7.03
1990.3,0.7,-3.09,-6.9
1988.3,0.8,-3.14,-6.88
1986.5,0.9,-3.11,-6.89
1984.8,1,-3.12,-7.36
1983.3,1.1,-3.27,-7.37
1982.1,1.2,-3.25,-7.67
1981,1.3,-3.44,-7.86
1979.9,1.4,-3.2,-8.11
1978.8,1.5,-3.2,-8.11
1977.8,1.6,-3.15,-8.29
1976.8,1.7,-3.09,-8.35
1975.7,1.8,-3.28,-8.35
1974.8,1.9,-3.37,-8.48
1973.8,2,-3.28,-8.44
1972.7,2.1,-3.43,-8.42
1971.7,2.2,-3.33,-8.5
1970.9,2.3,-3.3,-8.52
1969.8,2.4,-3.5,-8.58
1968.8,2.5,-3.4,-8.53
1967.7,2.6,-3.32,-8.56
1966.6,2.7,-3.47,-8.61
1965.5,2.8,-3.39,-8.66
1964.8,2.9,-3.31,-8.55
1963.9,3,-3.42,-8.57
1963.2,3.1,-3.42,-8.58
1962.6,3.2,-3.45,-8.72
1961.7,3.3,-3.38,-8.82
1961.1,3.4,-3.5,-9
1960.7,3.5,-3.44,-9.12
1960.2,3.6,-3.41,-9.26
1959.7,3.7,-3.26,-8.98
1958.7,3.8,-3.25,-8.99
1958,3.9,-3.15,-8.72
1957.7,4,-3.33,-8.72
1957,4.1,-3.19,-8.61
1956.7,4.2,-3.38,-8.55
1956.3,4.3,-3.31,-8.54
1955.9,4.4,-3.44,-8.55
1955.6,4.5,-3.53,-8.5
1955.2,4.6,-3.46,-8.64
1954.9,4.7,-3.48,-8.48
1954.4,4.8,-3.41,-8.36
1954.2,4.9,-3.28,-8.31
1953.9,5,-3.28,-8.55
1953.7,5.1,-3.24,-8.43
1953.5,5.2,-3.28,-8.44
1953.3,5.3,-3.25,-8.48
1953.1,5.4,NA,NA
1952.9,5.5,-3.35,-8.58
1952.7,5.6,-3.39,-8.57
1952.6,5.7,-3.29,-8.48
1952.4,5.8,-3.19,-8.35
1952.3,5.9,-3.35,-8.27
1952.2,6,-3.34,-8.33
1952,6.1,-3.13,-8.17
1951.9,6.2,-3.15,-8.06
1951.8,6.3,-3.36,-7.87
1951.7,6.4,-3.38,-7.84
1951.6,6.5,-3.45,-7.76
1951.5,6.6,-3.4,-7.73
1951.4,6.7,-3.4,-7.62
1951.3,6.8,-3.18,-7.6
1951.2,6.9,-3.12,-7.59
1951.1,7,-3.13,-7.65
1950.9,7.1,-3.22,-7.5
1950.8,7.2,-3.14,-7.43
1950.7,7.3,-3.31,-7.55
1950.7,7.4,-3.21,-7.83
1950.6,7.5,-3.38,-8.21
1950.5,7.6,-3.3,-8.27
1950.4,7.7,-3.45,-8.49
1950.3,7.8,-3.42,-8.46
