year (AD),depth (cm),dD (permil)
1881.184,NA,-19.464
1732.834,NA,-19.605
1589.96,NA,-12.6542
1545.29,NA,-15.0563
1461.886,NA,-13.752
1344.959,NA,-13.0143
1264.119,NA,-16.1091
1143.6,NA,-14.7536
908.2652,NA,-20.1087
727.208,NA,-23.3441
690.142,NA,-12.321
583.7,NA,-21.6326
555.91,NA,-23.3824
506.18,NA,-14.71
474.88,NA,-12.7309
287.172,NA,-17.5986
86.467,NA,-20.5929
-110.414,NA,-27.1536
-158.924,NA,-29.3913
-207.103,NA,-21.8308
-371.706,NA,-26.7689
-640.14,NA,-33.007
-656.908,NA,-28.693
-972.232,NA,-30.5181
-1172.7,NA,-30.421
-1435.05,NA,-34.0452
-1559.5,NA,-38.3202
-1786.5,NA,-35.5108
-2046.8,NA,-37.3824
-2057.85,NA,-36.1692
-2328.45,NA,-40.2247
-2599.75,NA,-40.0476
-2838.58,NA,-40.6549
-2905.78,NA,-38.4437
-2997.8,NA,-38.0614
-3265.3,NA,-38.8223
-3459.61,NA,-33.4007
-3618.4,NA,-29.5988
-3765,NA,-28.2807
-3911.6,NA,-21.2662
-4087.5,NA,-26.2024
-4322,NA,-30.2115
-4544.78,NA,-33.3231
-4883,NA,-26.5993
-4961.39,NA,-28.4569
-5017.68,NA,-26.1265
-5181.9,NA,-36.7929
-5365.4,NA,-31.9188
-5599.6,NA,-38.6423
-5853.15,NA,-26.5338
-6012.3,NA,-33.3656
-6227.56,NA,-30.3124
-6382.1,NA,-31.9858
-6506.5,NA,-39.6086
-6652.25,NA,-23.3412
-6736.85,NA,-39.0991
-6756.4,NA,-36.5318
-6943.9,NA,-32.1955
-7131.4,NA,-43.3474
-7409.29,NA,-38.7362
-7763.98,NA,-44.3898
-7886.6,NA,-41.1351
-8144.45,NA,-38.61
-8402.3,NA,-34.6429
-8601.78,NA,-43.8965
-8797.3,NA,-34.9984
-9024.43,NA,-29.4411
-9054.05,NA,-37.5443
-9172.5,NA,-30.8319
-9368.1,NA,-27.942
-9544,NA,-23.5293
-9622.33,NA,-21.628
-9719.9,NA,-20.3264
-10008.6,NA,-21.0285
-10251.3,NA,-23.4338
-10772.3,NA,-24.4087
-10819.1,NA,-21.0263
-11056.2,NA,-23.6732
-11386.9,NA,-34.4162
-11482,NA,-32.5662
-11632.5,NA,-27.2124
-11741.9,NA,-30.8297
-11878.8,NA,-31.4272
-12064.5,NA,-25.412
-12136.8,NA,-29.377
-12423.7,NA,-28.5732
-12451.3,NA,-29.6078
-12621.2,NA,-32.9009
-12769.8,NA,-25.8177
-12854.8,NA,-23.5879
-12908.4,NA,-21.44
-12912.3,NA,-23.4294
-12975.5,NA,-19.5035
-13054.1,NA,-22.5074
-13081.2,NA,-23.1431
-13090.9,NA,-20.699
-13134.2,NA,-15.860900000000001
-13139,NA,-18.4583
-13143.4,NA,-17.1494
-13209,NA,-14.4055
-13224.7,NA,-16.944
-13312.2,NA,-13.4787
-13321.7,NA,-15.4888
-13435.9,NA,-17.0941
-13465.8,NA,-20.3427
-13488.2,NA,-17.7585
-13585.4,NA,-15.4932
-13662.6,NA,-14.5203
-13752.2,NA,-13.8298
-13813.6,NA,-12.4054
-13826.4,NA,-13.5619
-13841.9,NA,-12.3261
-13854.5,NA,-17.0322
-13916.4,NA,-18.2713
-13958.9,NA,-13.3751
-14106.7,NA,-14.8964
-14123.3,NA,-13.6059
-14272.4,NA,-13.701
-14375.8,NA,-14.1289
-14464.6,NA,-13.9288
-14520.3,NA,-12.8793
-14582.9,NA,-14.1741
-14685.7,NA,-14.1097
-14754.1,NA,-12.9696
-14863.6,NA,-12.7834
-15123.2,NA,-10.7099
-15298.6,NA,-12.8919
-15476.8,NA,-12.2582
-15626.1,NA,-16.5001
-15654.1,NA,-18.7302
-15852.4,NA,-21.8733
-16072.5,NA,-22.1458
-16409.4,NA,-19.7941
-16572.2,NA,-22.7734
-16759.4,NA,-20.2025
-17107.3,NA,-21.1725
-17517.4,NA,-24.5164
-17920.7,NA,-23.1473
-18116.4,NA,-25.7538
-18143.8,NA,-23.4641
-18159.7,NA,-22.1868
-18180.9,NA,-23.0857
-18236.8,NA,-23.1758
-18559.3,NA,-20.8404
-18866.9,NA,-20.6458
-19076,NA,-25.0146
