year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],temperature (degC) [1-1],d18O (permil) [1-1],Mg_Ca (mmol/mol) [1-1],year (AD) [2-1],temperature (degC) [2-1]
1821,2.5,NA,NA,-3.496,NA,1780.82,27.474
1796,4.5,NA,NA,-3.36,NA,1757.76,27.4707
1771,6.5,-0.5265833333,27.47,-3.082,4.5045,1727.6,27.0606
1745,8.5,-0.6105833333,27.47,-3.166,4.5032,1695.07,27.6077
1720,10.5,-0.729,27.06,-3.199,4.34,1662.53,27.5085
1694,12.5,-0.5624166667,27.61,-3.147,4.559,1630,27.192
1669,14.5,-0.36825,27.51,-2.932,4.5185,1597.47,26.2032
1641,16.5,-0.4729166667,27.19,-2.97,4.3916,1564.93,26.9515
1606,18.5,-0.7461666667,26.2,-3.037,4.0177,1532.4,26.3115
1570,20.5,-0.6979166667,26.95,-3.145,4.2976,1499.87,27.573
1535,22.5,-0.60725,26.31,-2.921,4.057,1467.33,26.9845
1500,24.5,-0.50475,27.57,-3.081,4.4512,1434.8,27.7545
1464,26.5,-0.6066666667,26.98,-3.06,4.3104,1402.27,27.7292
1429,28.5,-0.51625,27.75,-3.13,4.6197,1368.45,26.7207
1394,30.5,-0.5394166667,27.73,-3.149,4.6092,1333.34,27.8134
1358,32.5,-0.7648333333,26.72,-3.164,4.2704,1298.23,27.6275
1323,34.5,-0.44675,27.81,-3.073,4.6442,1263.12,27.9114
1288,36.5,-0.50925,27.63,-3.098,4.5672,1228.01,27.3477
1252,38.5,-0.4649166667,27.91,-3.112,4.6853,1192.91,27.7333
1217,40.5,-0.6685833333,27.35,-3.199,4.6148,1157.8,27.5867
1182,42.5,-0.7384166667,27.73,-3.348,4.6109,1122.69,26.3595
1146,44.5,-0.6955833333,27.59,-3.276,4.5504,1087.58,27.2501
1111,46.5,-0.5838333333,26.36,-2.908,4.0746,1052.47,27.9649
1076,48.5,-0.5204166667,27.25,-3.03,4.3151,1017.37,27.471
1040,50.5,-0.3835,27.96,-3.041,4.708,982.26,27.8242
1005,52.5,-0.7515833333,27.47,-3.307,4.5033,947.15,27.5561
970,54.5,-0.6466666667,27.82,-3.275,4.6487,912.04,28.0844
934,56.5,-0.6838333333,27.56,-3.258,4.3637,876.94,27.3852
899,58.5,-0.4005,28.08,-3.083,4.7589,841.83,26.8316
864,60.5,-0.45325,27.39,-2.992,4.4686,806.72,27.2171
828,62.5,-0.7549166667,26.83,-3.177,4.2514,771.61,27.8401
793,64.5,-0.5906666667,27.22,-3.094,4.2963,736.5,27.4669
758,66.5,-0.3425,27.84,-2.975,4.6554,701.4,26.7189
722,68.5,-0.4955833333,27.47,-3.051,4.5016,666.29,27.1446
687,70.5,-0.6918333333,26.72,-3.091,4.2085,631.18,27.0381
652,72.5,-0.5403333333,27.14,-3.027,4.3028,596.07,27.6511
616,74.5,-0.7411666667,27.04,-3.207,4.3312,560.96,27.5334
581,76.5,-0.5980833333,27.65,-3.191,4.5769,525.86,27.7437
546,78.5,-0.6210833333,27.53,-3.189,4.5286,490.75,27.5405
510,80.5,-0.5163333333,27.74,-3.128,4.5396,455.64,26.982
