year (AD),dD (permil)
1998,-373.9964
1997,-384.6878
1996,-393.3274
1995,-389.3174
1994,-409.3756
1993,-407.9347
1992,-406.2214
1991,-400.235
1990,-397.314
1989,-398.9753
1988,-400.2067
1987,-414.4176
1986,-414.1851
1985,-400.244
1984,-400.6461
1983,-409.5097
1982,-406.5811
1981,-402.8389
1980,-400.0178
1979,-408.6065
1978,-398.5117
1977,-403.4234
1976,-415.7223
1975,-418.7539
1974,-417.3415
1973,-410.6328
1972,-417.4578
1971,-397.615
1970,-399.4412
1969,-393.5276
1968,-397.6085
1967,-404.5717
1966,-408.6148
1965,-412.3395
1964,-409.0627
1963,-401.079
1962,-411.5509
1961,-396.507
1960,-394.3432
1959,-399.7667
1958,-404.8381
1957,-399.4604
1956,-379.2027
1955,-383.5999
1954,-392.2254
1953,-406.7781
1952,-406.2672
1951,-410.8526
1950,-409.9014
1949,-408.5802
1948,-400.9192
1947,-399.9415
1946,-381.95
1945,-373.0096
1944,-387.54880000000003
1943,-411.4702
1942,-419.3573
1941,-398.883
1940,-387.9771
1939,-392.771
1938,-389.2531
1937,-397.2517
1936,-412.1376
1935,-413.8445
1934,-400.2561
1933,-406.4134
1932,-412.9881
1931,-403.21
1930,-389.5301
1929,-388.1501
1928,-390.4367
1927,-383.1437
1926,-376.7841
1925,-382.3663
1924,-395.4371
1923,-399.6936
1922,-396.4352
1921,-383.1268
1920,-370.413
1919,-381.8497
1918,-392.5254
1917,-393.2739
1916,-395.73
1915,-409.0554
1914,-412.9744
1913,-402.531
1912,-411.1921
1911,-390.7783
1910,-391.0304
1909,-386.2602
1908,-407.7768
1907,-410.5572
1906,-392.4824
1905,-387.8077
1904,-400.1116
1903,-404.9005
1902,-402.6243
1901,-404.9494
1900,-412.8155
1899,-409.739
1898,-399.219
1897,-395.2271
1896,-391.8054
1895,-399.1107
1894,-403.2559
1893,-392.5694
1892,-395.0129
1891,-389.5882
1890,-387.5796
1889,-399.958
1888,-399.2261
1887,-397.7238
1886,-409.6189
1885,-403.6399
1884,-402.5952
1883,-402.0527
1882,-399.3565
1881,-406.2405
1880,-412.5559
1879,-409.8731
1878,-403.8331
1877,-400.9253
1876,-398.1136
1875,-381.131
1874,-393.8607
1873,-409.2793
1872,-401.3103
1871,-384.7244
1870,-390.2104
1869,-400.6349
1868,-398.1063
1867,-399.8719
1866,-391.6618
1865,-401.2233
1864,-409.139
1863,-409.0855
1862,-396.0859
1861,-382.2604
1860,-391.8894
1859,-398.4929
1858,-406.1871
1857,-400.3566
1856,-404.111
1855,-399.6876
1854,-408.7937
1853,-406.8074
1852,-392.1593
1851,-389.0408
1850,-388.5441
1849,-394.1493
1848,-402.9884
1847,-385.4696
1846,-390.8888
1845,-398.7864
1844,-403.4499
1843,-402.2031
1842,-406.3426
1841,-405.8825
1840,-400.4456
1839,-403.7565
1838,-401.5824
1837,-398.6293
1836,-394.3186
1835,-384.3458
1834,-392.0096
1833,-412.3172
1832,-413.8629
1831,-397.8238
1830,-385.8133
1829,-400.9426
1828,-410.7485
1827,-410.4247
1826,-409.736
1825,-411.4142
1824,-413.1605
1823,-413.43
1822,-410.109
1821,-400.0725
1820,-387.5776
1819,-390.0946
1818,-398.7757
1817,-405.1046
1816,-404.0709
1815,-406.7783
1814,-405.2475
1813,-395.3591
1812,-387.5497
1811,-385.6134
1810,-399.8552
1809,-399.3299
1808,-409.0616
1807,-422.0458
1806,-419.5581
1805,-415.485
1804,-405.893
1803,-399.2824
1802,-406.4437
1801,-406.8588
