year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],year (AD) [1-2],depth (cm) [1-2],d18O (permil) [1-2]
1987,0.06,NA,843,0.1,-13.43
1983,0.08,-12.07,839,0.15,-13.12
1979,0.1,-13.22,836,0.2,-13.39
1974,0.12,-12.76,832,0.25,-13.16
1970,0.14,-13.11,828,0.3,-12.94
1966,0.16,-13.57,824,0.35,-13.19
1961,0.18,-12.62,821,0.4,-13.48
1957,0.2,NA,817,0.45,-13.13
1953,0.22,-13.54,813,0.5,-13.31
1949,0.24,-13.27,809,0.55,-13.07
1944,0.26,-13.58,806,0.6,-13.21
1940,0.28,-13.25,802,0.65,-12.79
1936,0.3,-13.06,798,0.7,-13.02
1932,0.32,-12.76,794,0.75,-12.8
1927,0.34,-13.68,791,0.8,-13.05
1923,0.36,-12.88,787,0.85,-12.97
1919,0.38,-13.59,783,0.9,-13.5
1914,0.4,-13.08,779,0.95,-13.15
1910,0.42,-13.69,776,1,-13.24
1906,0.44,-13.42,775,1.01,-12.95
1902,0.46,-13.08,774,1.02,-12.83
1897,0.48,-12.93,773,1.03,-12.94
1893,0.5,-13.03,773,1.04,-13.01
1889,0.52,-13.57,772,1.05,-12.9
1884,0.54,-13.54,771,1.06,-13.19
1880,0.56,-13.23,770,1.07,-12.94
1876,0.58,-13.41,770,1.08,-13.36
1872,0.6,-13.5,769,1.09,-12.92
1867,0.62,-13.47,768,1.1,-13.1
1863,0.64,-13.44,767,1.11,-13.02
1859,0.66,-13.43,767,1.12,-13.23
1854,0.68,-13.49,766,1.13,-13.06
1850,0.7,-13.64,764,1.15,-13.1
1846,0.72,-13.01,764,1.16,-12.67
1842,0.74,-13.31,763,1.17,-12.44
1837,0.76,-13.69,762,1.18,-12.55
1833,0.78,-13.48,761,1.19,-12.96
1829,0.8,-13.19,761,1.2,-12.59
1825,0.82,-13.55,760,1.21,-12.98
1820,0.84,-13.6,759,1.22,-12.43
1815,0.86,-13.78,758,1.23,-12.93
1810,0.88,-13.71,758,1.24,-12.81
1804,0.9,-13.36,757,1.25,-12.93
1799,0.92,-13.29,756,1.26,-12.61
1793,0.94,-13.29,755,1.27,-12.98
1788,0.96,-13.33,755,1.28,-12.5
1782,0.98,-13.43,754,1.29,-12.94
1777,1,-13.65,753,1.3,-12.82
1771,1.02,-12.94,752,1.31,-12.88
1765,1.04,-13.59,752,1.32,-12.94
1760,1.06,-13.5,751,1.33,-12.94
1754,1.08,-13.81,750,1.34,-12.67
1749,1.1,-13.41,749,1.35,-12.93
1743,1.12,-13.6,748,1.36,-12.92
1738,1.14,-13.76,747,1.37,-12.97
1732,1.16,-13.48,746,1.38,-12.88
1727,1.18,-13.48,745,1.39,-13.21
1721,1.2,NA,744,1.4,-12.94
1716,1.22,-13.85,743,1.41,-13.26
1710,1.24,-13.82,742,1.42,-12.69
1704,1.26,-13.66,741,1.43,-13.01
1699,1.28,-13.63,740,1.44,-12.91
1693,1.3,-13.74,739,1.45,-12.86
1688,1.32,-14.16,738,1.46,-12.75
1682,1.34,-13.39,737,1.47,-13.1
1677,1.36,-13.59,736,1.48,-12.96
1671,1.38,NA,735,1.49,-13.02
1666,1.4,-14.29,734,1.5,-12.91
1660,1.42,-12.78,733,1.51,-13.33
1655,1.44,-13.59,732,1.52,-12.94
1649,1.46,-13.63,731,1.53,-13.06
1644,1.48,-13.85,729,1.54,-12.82
1638,1.5,-13.75,728,1.55,-13.11
1632,1.52,-13.59,727,1.56,-13.09
1627,1.54,-13.55,726,1.57,-13.06
1621,1.56,NA,725,1.58,-13.03
1616,1.58,-13.39,724,1.59,-13.04
1610,1.6,-13.62,723,1.6,-13.12
1605,1.62,-13.87,722,1.61,-13.17
1599,1.64,-13.25,721,1.62,-13.19
1594,1.66,-13.25,720,1.63,-13.08
1588,1.68,-13.42,719,1.64,-13.08
1583,1.7,-13.45,718,1.65,-13
1577,1.72,-13.24,717,1.66,-12.95
1571,1.74,-13.37,716,1.67,-12.84
1566,1.76,-13.74,715,1.68,-12.82
1560,1.78,-13.14,714,1.69,-12.73
1555,1.8,-13.69,713,1.7,-12.73
1549,1.82,-13.4,712,1.71,-12.73
1544,1.84,-13.42,711,1.72,-12.69
1538,1.86,-13.68,710,1.73,-12.68
1533,1.88,-13.52,709,1.74,-12.67
1527,1.9,-13.78,708,1.75,-12.71
1523,1.92,-13.3,707,1.76,-12.49
1519,1.94,-13.51,706,1.77,-12.73
1514,1.96,-13.56,704,1.78,-12.79
1510,1.98,-13.67,703,1.79,-12.82
1506,2,-13.68,702,1.8,-12.85
1502,2.02,-13.86,701,1.81,-12.95
1497,2.04,-13.4,700,1.82,-12.97
1493,2.06,-13.42,699,1.83,-13.03
1489,2.08,-13.91,698,1.84,-13
1485,2.1,-13.56,697,1.85,-13.08
1480,2.12,NA,696,1.86,-13.07
1476,2.14,-13.14,695,1.87,-13.01
1472,2.16,-13.12,694,1.88,-12.79
1468,2.18,-13.06,693,1.89,-12.88
1463,2.2,-13.48,692,1.9,-12.98
1459,2.22,-13.35,691,1.91,-12.91
1455,2.24,-13.56,690,1.92,-12.98
1451,2.26,-13.5,689,1.93,-13.02
1446,2.28,NA,688,1.94,-12.7
1442,2.3,-13.46,687,1.95,-12.95
1438,2.32,-13.26,686,1.96,-12.83
1434,2.34,-13.66,685,1.97,-12.92
1429,2.36,NA,684,1.98,-12.9
1425,2.38,-13.56,683,1.99,-12.85
1421,2.4,-13.72,682,2,-12.65
1417,2.42,-13.73,681,2.01,-12.71
1412,2.44,-13.53,680,2.02,-12.69
1408,2.46,-13.32,678,2.03,-12.76
1404,2.48,-13.7,677,2.04,-12.77
1399,2.5,-13.43,676,2.05,-12.88
1395,2.52,-13.18,675,2.06,-12.85
1391,2.54,-13.14,674,2.07,-12.99
1387,2.56,-12.72,673,2.08,-12.77
1382,2.58,-13.35,672,2.09,-12.93
1378,2.6,-13.21,671,2.1,-12.79
1374,2.62,-12.66,669,2.11,-12.87
1370,2.64,-13.16,668,2.12,-12.75
1365,2.66,-12.74,666,2.13,-12.86
1361,2.68,-13.19,664,2.14,-12.84
1357,2.7,-13.5,663,2.15,-12.74
1353,2.72,-13.29,661,2.16,-12.78
1348,2.74,-13.2,659,2.17,-12.5
1344,2.76,-13.02,656,2.19,-12.61
1340,2.78,-13.25,654,2.2,-12.5
1336,2.8,-13.09,652,2.21,-12.59
1331,2.82,NA,651,2.22,-12.56
1327,2.84,-13.52,649,2.23,-12.76
1323,2.86,-13.56,647,2.24,-12.5
1319,2.88,-12.98,646,2.25,-12.78
1314,2.9,-12.98,644,2.26,-12.83
1310,2.92,-13.39,642,2.27,-12.86
1306,2.94,-13.28,640,2.28,-12.61
1302,2.96,-13.24,639,2.29,-12.79
1297,2.98,-13.43,637,2.3,-12.64
1293,3,-13.06,635,2.31,-12.56
1289,3.02,-12.98,634,2.32,-12.56
1285,3.04,-12.88,632,2.33,-12.6
1280,3.06,-13.45,629,2.35,-12.82
1276,3.08,-13.75,627,2.36,-12.92
1272,3.1,-13.2,625,2.37,-12.96
1268,3.12,-13.29,623,2.38,-12.89
1263,3.14,-13.04,622,2.39,-12.92
1259,3.16,-13.58,620,2.4,-12.91
1255,3.18,-12.8,618,2.41,-13.2
1251,3.2,-13.37,617,2.42,-13.45
1246,3.22,NA,615,2.43,-12.84
1242,3.24,NA,613,2.44,-12.75
1238,3.26,-13.32,611,2.45,-12.68
1234,3.28,-13.17,610,2.46,-12.63
1229,3.3,-13.32,608,2.47,-12.61
1225,3.32,-12.67,606,2.48,-12.67
1221,3.34,-13.43,605,2.49,-12.68
1217,3.36,-13.34,603,2.5,-12.72
1212,3.38,NA,601,2.51,-12.72
1208,3.4,-13.13,600,2.52,-12.98
1204,3.42,-14,598,2.53,-12.7
1199,3.44,-13.66,596,2.54,-12.81
1195,3.46,-13.72,594,2.55,-12.86
1191,3.48,-13.37,593,2.56,-12.51
