year (AD),depth (cm),d18O (permil),Mg_Ca (mmol/mol),temperature (degC)
1504,1,1.553,NA,NA
1432.1,5,1.813,NA,NA
1414.2,6,1.595,NA,NA
1396.2,7,1.579,1.28,9
1360.3,9,1.691,NA,NA
1342.3,10,NA,1.038,6.9
1324.3,11,1.583,1.177,8.2
1288.4,13,1.734,NA,NA
1252.5,15,1.483,NA,NA
1216.5,17,1.502,1.255,8.1
1180.6,19,1.568,1.003,6.6
1144.7,21,1.535,NA,NA
1072.8,25,1.362,NA,NA
1036.9,27,1.802,NA,NA
1000.9,29,1.787,NA,NA
965,31,1.607,1.001,6.6
906.9,33,1.517,1.182,8.2
848.9,35,1.716,NA,NA
819.8,36,1.441,NA,NA
790.8,37,1.517,1.126,7.7
732.7,39,NA,1.176,8.2
674.6,41,1.238,NA,NA
558.5,45,1.537,NA,NA
500.4,47,NA,1.713,10.7
442.4,49,1.483,1.274,9
384.3,51,1.53,1.509,10.7
326.2,53,NA,0.948,6
268.1,55,1.563,NA,NA
210.1,57,1.5,1.098,7.5
152,59,1.656,1.11,7.7
51.7,61,1.537,NA,NA
-98.8,64,1.805,NA,NA
-149,65,1.731,NA,NA
-199.2,66,1.7,NA,NA
-249.3,67,1.552,1.117,7.6
-349.7,69,1.65,1.167,8.1
-450,71,NA,1.185,8.2
-550.3,73,NA,1.179,8.2
-650.7,75,1.541,NA,NA
-751,77,1.506,1.226,8.6
-851.3,79,1.579,1.395,9.9
-951.7,81,1.262,NA,NA
-1152.3,85,1.269,NA,NA
-1252.7,87,1.446,1.313,9.3
-1353,89,1.665,1.057,7.3
-1453.3,91,1.593,1.307,9.2
-1553.7,93,1.698,1.051,7
-1654,95,1.651,NA,NA
-1686.9,96,1.682,NA,NA
-1719.7,97,1.705,1.004,6.6
-1785.4,99,1.522,1.217,8.5
-1851.1,101,1.488,NA,NA
-1916.9,103,1.562,1.259,8.8
-1982.6,105,1.504,NA,NA
-2048.3,107,1.639,1.258,8.8
-2114,109,1.825,1.464,10.7
-2179.7,111,1.545,1.409,10
-2245.4,113,1.64,1.103,8.1
-2311.1,115,1.322,1.603,10.6
-2376.9,117,1.643,NA,NA
-2442.6,119,1.64,1.265,8.9
-2508.3,121,1.565,NA,NA
-2574,123,1.683,1.416,9.3
-2651.5,125,1.43,NA,NA
-2729.1,127,1.59,1.18,8.4
-2806.6,129,1.6,1.259,8.8
-2884.2,131,NA,1.245,8.7
-2961.8,133,1.609,1.361,9.6
-3039.3,135,1.652,NA,NA
-3078.1,136,1.715,NA,NA
-3116.9,137,NA,1.301,9.2
-3194.4,139,1.57,1.239,8.7
-3272,141,1.637,NA,NA
-3427,145,1.305,1.524,9.6
-3504.6,147,1.538,1.079,7.4
-3582.1,149,1.582,1.208,8.4
-3659.7,151,1.628,1.43,9.2
-3737.2,153,NA,1.094,7.4
-3814.8,155,1.639,1.283,9
-3853.6,156,1.601,NA,NA
-3892.4,157,1.577,1.186,8.2
-3969.9,159,1.596,1.176,8.2
-4125,163,1.569,1.288,9.1
-4204.7,165,1.627,1.257,8.8
-4244.5,166,1.482,NA,NA
-4284.4,167,1.541,1.299,9.2
-4364.1,169,NA,1.22,8.5
-4443.8,171,1.527,NA,NA
-4523.4,173,1.522,1.155,8
-4603.1,175,1.404,1.168,8.1
-4682.8,177,1.767,1.217,8.5
-4762.5,179,1.442,1.149,7.9
-4921.9,183,1.504,1.201,8.4
-5001.6,185,1.289,1.247,8.7
-5081.2,187,1.472,1.096,7.5
-5160.9,189,1.572,1.073,7.2
-5240.6,191,1.628,NA,NA
-5320.3,193,1.344,1.161,8
-5400,195,1.607,1.072,7.2
-5425.4,196,1.339,NA,NA
-5450.7,197,1.435,NA,NA
-5501.4,199,1.664,1.009,6.6
-5602.8,203,1.425,1.252,8.8
-5653.5,205,1.677,NA,NA
-5704.2,207,1.506,1.235,8.6
-5754.9,209,1.527,NA,NA
-5805.6,211,1.34,1.172,8.1
-5856.3,213,1.21,1.1,8.1
-5907,215,1.49,1.016,7.5
-5987.6,217,1.525,1.113,7.5
-6068.1,219,1.522,1.013,6.7
-6229.3,223,1.584,1.001,6
-6309.9,225,1.431,0.876,5.6
-6350.1,226,1.471,NA,NA
-6390.4,227,1.557,1.003,6.6
-6471,229,1.5,1.15,7.9
-6551.6,231,1.471,1.122,7.5
-6632.1,233,1.583,1.024,7.4
-6712.7,235,1.718,1.08,7.6
-6793.3,237,1.626,0.996,6.8
-6873.9,239,1.523,1.203,7.7
-7035,243,1.586,1.284,8.2
-7115.6,245,1.606,1.106,7.6
-7196.1,247,1.602,1.031,6.8
-7276.7,249,1.561,0.943,6
-7357.3,251,1.57,0.934,5.9
-7437.9,253,1.572,0.98,6.3
-7458,253.5,1.844,NA,NA
-7517.7,255,1.652,1.079,7.3
-7557.5,256,1.694,NA,NA
-7597.3,257,1.611,0.943,5.9
-7676.9,259,1.626,1.008,6.6
-7836.1,263,1.723,1.281,8
-7915.7,265,1.777,NA,NA
-7995.3,267,1.8,0.961,6.1
-8074.9,269,1.705,0.848,7.3
-8154.5,271,1.704,NA,NA
-8234.1,273,1.953,1.045,7
-8254,273.5,2.008,NA,NA
-8313.7,275,1.676,NA,NA
-8393.3,277,NA,1.05,7
-8472.9,279,1.675,1.087,7.4
-8652,283.5,1.649,NA,NA
-8711.7,285,1.775,NA,NA
-8950.5,291,1.765,NA,NA
-9050,293.5,2.155,NA,NA
-9149.5,296,1.663,NA,NA
