year (AD),depth (cm),thisShouldntBeEmpty (),thisShouldntBeEmpty1 ()
1970,NA,-32,-35.76
1969,NA,-30.22,-36.95
1968,NA,-30.84,-36.25
1967,NA,-31.07,-34.18
1966,NA,-29.15,-38.56
1965,NA,-30,-33.94
1964,NA,-31.12,-32.48
1963,NA,-31.56,-34.37
1962,NA,-30.08,-37.67
1961,NA,-31.1,-36.58
1960,NA,-31.7,-33.93
1959,NA,-30.62,-36.31
1958,NA,-33.59,-37.82
1957,NA,-31.85,-36.56
1956,NA,-32.26,-35.57
1955,NA,-30.35,-35.84
1954,NA,-32.1,-36.72
1953,NA,-30.65,-35.45
1952,NA,-30.32,-37.57
1951,NA,-29.29,-37.49
1950,NA,-27.04,-35.9
1949,NA,-34.35,-38.45
1948,NA,-31.24,-34.92
1947,NA,-30.32,-34.76
1946,NA,-31.06,-34.16
1945,NA,-28.4,-37.49
1944,NA,-30.58,-36.06
1943,NA,-32.68,-36.77
1942,NA,-30.57,-33.56
1941,NA,-28.86,-36.26
1940,NA,-30.67,-35.41
1939,NA,-30.7,-34.68
1938,NA,-32.63,-34.77
1937,NA,-30.4,-35.89
1936,NA,-30.61,-38.01
1935,NA,-28.33,-33.77
1934,NA,-28.77,-32.8
1933,NA,-31.34,-35.38
1932,NA,-31.47,-34.88
1931,NA,-28.52,-35.05
1930,NA,-30.31,-37.03
1929,NA,-28.69,-31.62
1928,NA,-28.36,-36.65
1927,NA,-29.6,-37.17
1926,NA,-31.04,-36.21
1925,NA,-31.73,-38.47
1924,NA,-34.92,-38.29
1923,NA,-31.16,-33.22
1922,NA,-31.54,-37.37
1921,NA,-32.91,-36.88
1920,NA,-31.15,-36.77
1919,NA,-31.62,-36.56
1918,NA,-29.78,-37.74
1917,NA,-31.91,-33.49
1916,NA,-29.14,-33.13
1915,NA,-31.72,-37.59
1914,NA,-32,-35.96
1913,NA,-32.46,-36.36
1912,NA,-30.66,-34.22
1911,NA,-29.25,-34.97
1910,NA,-30.18,-37.03
1909,NA,-31.25,-35.1
1908,NA,-30.12,-36.49
1907,NA,-31.76,-36.82
1906,NA,-32.62,-38.13
1905,NA,-32.34,-37.73
1904,NA,-30.45,-39.4
1903,NA,-34.26,-38.75
1902,NA,-31.05,-38.01
1901,NA,-32.27,-36.47
1900,NA,-32.85,-35.76
1899,NA,-30.45,-37.81
1898,NA,-31.61,-36.91
1897,NA,-31.27,-36.5
1896,NA,-31.51,-35.41
1895,NA,-30.66,-36.38
1894,NA,-30.21,-35.73
1893,NA,-29.84,-39.86
1892,NA,-33.31,-36.44
1891,NA,-30.22,-35.93
1890,NA,-31.97,-36.85
1889,NA,-28.56,-36.34
1888,NA,-31.46,-33.27
1887,NA,-31.97,-37.06
1886,NA,-31.21,-37.45
1885,NA,-30.89,-35.35
1884,NA,-29.61,-35.69
1883,NA,-31.59,-37.37
1882,NA,-31.98,-38.75
1881,NA,-32.27,-36.22
1880,NA,-30.63,-36.82
1879,NA,-32.55,-33.12
1878,NA,-30.6,-35.09
1877,NA,-27.01,-38.05
1876,NA,-28.9,-35.27
1875,NA,-32.09,-34.1
1874,NA,-32.49,-37.23
1873,NA,-32.01,-36.84
1872,NA,-29.33,-33.93
1871,NA,-26.57,-35.5
1870,NA,-31.46,-36.57
1869,NA,-31.02,-36.28
1868,NA,-30.76,-34.32
1867,NA,-31.1,-37.24
1866,NA,-31.81,-34.62
1865,NA,-32.86,-35.71
1864,NA,-30.45,-37.82
1863,NA,-32.16,-39.29
1862,NA,-32.08,-35.38
1861,NA,-32.98,-35.14
1860,NA,-31.3,-38.36
1859,NA,-29.55,-35.33
1858,NA,-29.77,-35.41
1857,NA,-30.01,-37.07
1856,NA,-32.36,-35.63
1855,NA,-31.27,-36.45
1854,NA,-29.97,-35.65
1853,NA,-29.71,-35.34
1852,NA,-30.18,-34.18
1851,NA,-29.8,-38.24
1850,NA,-33.01,-38.08
1849,NA,-33.58,-36.75
1848,NA,-31.28,-37.12
1847,NA,-30.15,-35.05
1846,NA,-32.02,-39.01
1845,NA,-29.41,-36.84
1844,NA,-34.41,-36.6
1843,NA,-32.06,-34.48
1842,NA,-29.78,-37.17
1841,NA,-28.51,-36.33
1840,NA,-32.48,-36.44
1839,NA,-32.25,-37.35
1838,NA,-30.12,-36.88
1837,NA,-26.7,-40.25
1836,NA,-33.47,-37.11
1835,NA,-32.8,-40.94
1834,NA,-33.16,-35.96
1833,NA,-29.77,-37.49
1832,NA,-30.62,-34.84
1831,NA,-29.41,-35.01
1830,NA,-33.89,-37.04
1829,NA,-31.88,-35.9
1828,NA,-27.63,-32.01
1827,NA,-30.06,-35.96
1826,NA,-31.34,-37.15
1825,NA,-29.66,-39.66
1824,NA,-31.35,-34.31
1823,NA,-31.62,-36.36
1822,NA,-30.23,-35.55
1821,NA,-31.06,-33.61
1820,NA,-28.77,-35.36
1819,NA,-31.51,-36.05
1818,NA,-32.56,-39.77
1817,NA,-32.74,-36.6
1816,NA,-30.04,-35.24
1815,NA,-31.32,-39.45
1814,NA,-32.2,-37.37
1813,NA,-29.99,-37.5
1812,NA,-32.44,-35.26
1811,NA,-30.26,-39.89
1810,NA,-27.53,-35.47
1809,NA,-29.14,-32.79
1808,NA,-30.27,-36.52
1807,NA,-31.51,-36.84
1806,NA,-31.37,-36.09
1805,NA,-28.64,-34.18
1804,NA,-31.58,-34.71
1803,NA,-28.88,-38.48
1802,NA,-33.61,-37.26
1801,NA,-28.78,-39.3
1800,NA,-30.68,-35.68
1799,NA,-32.24,-38.62
1798,NA,-30.94,-38.03
1797,NA,-32.45,-35.2
1796,NA,-31.78,-39.42
1795,NA,-32.64,-36.17
1794,NA,-30.55,-38.8
1793,NA,-32.83,-37.98
1792,NA,-32.08,-34.72
1791,NA,-28.96,-41.75
1790,NA,-31.05,-34.54
1789,NA,-30.95,-35.78
1788,NA,-31.81,-36.49
1787,NA,-30.45,-33.49
1786,NA,-28.8,-33.2
1785,NA,-29.62,-34.56
1784,NA,-32.51,-38.14
1783,NA,-28.93,-35.07
1782,NA,-30.95,-36.85
1781,NA,-31.54,-35.88
1780,NA,-32.33,-36.4
1779,NA,-33.62,-36.65
1778,NA,-32.1,-35.87
