year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],depth (cm) [2-1],d18O (permil) [2-1]
661,-27.71,1826,NA,-28.7356
666,-27.28,1825,NA,-30.7721
671,-26.28,1824,NA,-31.0606
676,-26.08,1823,NA,-29.6249
681,-26.88,1822,NA,-28.4889
686,-26.88,1821,NA,-26.97
691,-26.42,1820,NA,-27.5916
696,-26.73,1819,NA,-28.6916
701,-27.63,1818,NA,-28.9891
706,-28.41,1817,NA,-29.278
711,-27.25,1816,NA,-28.9877
716,-26.66,1815,NA,-28.374
721,-27.25,1814,NA,-28.2596
726,-27.44,1813,NA,-28.7238
731,-27.34,1812,NA,-28.6509
736,-27.72,1811,NA,-27.5455
741,-26.85,1810,NA,-26.2
746,-26.79,1809,NA,-27.4496
751,-27,1808,NA,-29.9166
756,-28.28,1807,NA,-30.5792
761,-28.09,1806,NA,-30.1273
766,-26.98,1805,NA,-29.057
771,-27.16,1804,NA,-28.133
776,-27.39,1803,NA,-27.7189
781,-28.56,1802,NA,-27.8126
786,-27.75,1801,NA,-28.0548
791,-26.91,1800,NA,-27.6904
796,-28.24,1799,NA,-27.0691
801,-27.94,1798,NA,-27.3552
806,-27.04,1797,NA,-29.79
811,-26.58,1796,NA,-27.5978
816,-27.57,1795,NA,-27.8096
821,-27.86,1794,NA,-28.2377
826,-27.76,1793,NA,-28.8792
831,-27.68,1792,NA,-29.4303
836,-27.41,1791,NA,-29.5592
841,-27.31,1790,NA,-29.3706
846,-27.78,1789,NA,-28.9627
851,-27.46,1788,NA,-27.5056
856,-27.23,1787,NA,-28.1021
861,-27.54,1786,NA,-28.98
866,-28.05,1785,NA,-29.2867
871,-28.51,1784,NA,-29.0158
876,-28.36,1783,NA,-26.9811
881,-28.34,1782,NA,-27.5799
886,-27.61,1781,NA,-28.7387
891,-27.39,1780,NA,-28.0051
896,-26.92,1779,NA,-27.1254
901,-27.77,1778,NA,-27.0361
906,-27.44,1777,NA,-28.86
911,-27.78,1776,NA,-30.2677
916,-27.85,1775,NA,-27.4132
921,-27.2,1774,NA,-28.7924
926,-26.92,1773,NA,-28.6372
931,-26.86,1772,NA,-27.8321
936,-27.36,1771,NA,-27.4514
941,-27.85,1770,NA,-26.5014
946,-27.31,1769,NA,-27.19
951,-26.55,1768,NA,-26.8023
