year (AD),depth (cm),d18O (permil),temperature (degC),d18O (permil),Mg_Ca (mol_mol)
197.69,2.13,1.153582316,28.2,-1.56,5.47
183.94,2.14,0.9406226492,26.59,-1.44,4.89
170.13,2.15,0.6225490067,26.12,-1.66,4.73
156.24,2.16,0.4450914314,26.18,-1.85,4.75
142.29,2.17,1.142845159,27.42,-1.41,5.18
128.26,2.18,0.9500910594,27.31,-1.58,5.14
114.17,2.19,0.5558502651,27,-1.91,5.03
100,2.2,0.6936169249,25.22,-1.4,4.44
85.77,2.21,0.6564187641,26.33,-1.67,4.8
71.46,2.22,0.5628161674,24.79,-1.44,4.31
57.09,2.23,0.7323133832,25.88,-1.5,4.65
42.64,2.24,0.562556633,25.5,-1.59,4.53
28.13,2.25,1.13557787,27.53,-1.44,5.22
13.54,2.26,1.015195515,26.42,-1.33,4.83
-1.11,2.27,1.127315509,27.2,-1.38,5.1
-15.84,2.28,0.7289382326,26.39,-1.61,4.82
-30.64,2.29,0.6550582126,25.75,-1.55,4.61
-45.5,2.3,1.126418764,26.33,-1.2,4.8
-60.43,2.31,0.7813506329,25.78,-1.43,4.62
-75.44,2.32,0.4137230251,26.03,-1.85,4.7
