year (AD),depth (cm),dD (permil),dD (permil),dD (permil),dD (permil)
1465,0,−148,−142,−148,−136
1224,30,−140,−134,−140,−127
904,70,−147,−141,−147,−134
663,100,NA,NA,NA,NA
503,120,−150,−144,−150,−137
262,150,−157,−150,−157,−144
102,170,−149,−143,−149,−136
-139,200,−163,−157,−163,−150
-275,230,−145,−139,−145,−133
-360,260,−147,−141,−147,−135
-472,300,−148,−142,−148,−135
-529,320,−166,−159,−166,−153
-613,350,−152,−146,−152,−139
-674,380,−161,−155,−161,−135
-757,430,−148,−142,−148,−149
-806,460,−142,−136,−142,−129
-873,500,NA,NA,NA,NA
