year (AD),depth (cm),d18O (permil),d18O (permil)
1970,NA,-37.15,-29.96
1969,NA,-35.73,-29.42
1968,NA,-39.18,-32.7
1967,NA,-40.27,-32.26
1966,NA,-36.67,-32.19
1965,NA,-34.6,-32.47
1964,NA,-34.64,-31.6
1963,NA,-35.74,-32.89
1962,NA,-37.4,-33.53
1961,NA,-35.3,-32.82
1960,NA,-34.99,-31.91
1959,NA,-35.25,-31.44
1958,NA,-42.46,-33.31
1957,NA,-39.64,-34.53
1956,NA,-36.85,-31.39
1955,NA,-42.2,-34.64
1954,NA,-38.41,-34.93
1953,NA,-35.59,-30.52
1952,NA,-41.72,-29.21
1951,NA,-34.97,-32.54
1950,NA,-37.44,-31.56
1949,NA,-35.73,-30.45
1948,NA,-36.23,-32.62
1947,NA,-34.81,-29.6
1946,NA,-35.73,-33.28
1945,NA,-39.02,-32.84
1944,NA,-37.76,-33.05
1943,NA,-39.6,-31.13
1942,NA,-35.23,-33.63
1941,NA,-37.46,-30.08
1940,NA,-35.21,-29.65
1939,NA,-36.66,-29.01
1938,NA,-36.49,-33.67
1937,NA,-39.33,-30.06
1936,NA,-38.19,-31.07
1935,NA,-38.77,-28.93
1934,NA,-35.17,-27.48
1933,NA,-38.5,-33.89
1932,NA,-36.1,-30.65
1931,NA,-38.68,-29.18
1930,NA,-36.54,-30.09
1929,NA,-34.4,-32.2
1928,NA,-37.37,-33.6
1927,NA,-39.54,-29.73
1926,NA,-35.61,-32.94
1925,NA,-38.83,-28.75
1924,NA,-40.08,-34.04
1923,NA,-35.99,-32.96
1922,NA,-40.81,-33.33
1921,NA,-35.89,-32.66
1920,NA,-39.29,-32.35
1919,NA,-41.56,-32.69
1918,NA,-39.38,-30.02
1917,NA,-36.22,-34.63
1916,NA,-37.63,-29.64
1915,NA,-39.73,-33.54
1914,NA,-39.06,-33.52
1913,NA,-37.13,-30.53
1912,NA,-35.39,-31.83
1911,NA,-37.77,-30.97
1910,NA,-40.16,-32.06
1909,NA,-36.83,-34.13
1908,NA,-38.04,-30.49
1907,NA,-41.49,-34.24
1906,NA,-39.46,-32.26
1905,NA,-39.38,-33.67
1904,NA,-40.25,-32.08
1903,NA,-39.7,-33.46
1902,NA,-38.54,-27.8
1901,NA,-34.03,-30.4
1900,NA,-40.16,-32.78
1899,NA,-39.21,-29.29
1898,NA,-39.92,-30.39
1897,NA,-34.56,-33.36
1896,NA,-36.19,-31.76
1895,NA,-40.23,-27.68
1894,NA,-39.49,-29.44
1893,NA,-36.83,-30.42
1892,NA,-38.04,-34.18
1891,NA,-37.67,-32.82
1890,NA,-39.37,-31.89
1889,NA,-37.94,-29.16
1888,NA,-35.33,-31.85
1887,NA,-37.45,-32.83
1886,NA,-33.99,-32.45
1885,NA,-38.64,-30.94
1884,NA,-39.17,-32.79
1883,NA,-36.63,-32.2
1882,NA,-39.92,-30.34
1881,NA,-36.38,-29.48
1880,NA,-37.53,-30.29
1879,NA,-36.37,-34.91
1878,NA,-38.35,-34.38
1877,NA,-37.72,-33.79
1876,NA,-36.69,-30.59
1875,NA,-37.8,-33.53
1874,NA,-39.31,-33.35
1873,NA,-37.41,-31.24
1872,NA,-36.86,-30.79
1871,NA,-36.71,-29.25
1870,NA,-36.48,-32.72
1869,NA,-37.67,-32.26
1868,NA,-36.76,-32.36
1867,NA,-37,-30.86
1866,NA,-38.3,-31.99
1865,NA,-35.72,-33.03
1864,NA,-38.95,-33.85
1863,NA,-36.96,-34.19
1862,NA,-38.64,-32.3
1861,NA,-38.31,-31.05
1860,NA,-37.7,-31.94
1859,NA,-36.32,-33.12
1858,NA,-38.43,-30.56
1857,NA,-40.51,-31.82
1856,NA,-34.58,-33.81
1855,NA,-36.75,-31.88
1854,NA,-40.01,-33.74
1853,NA,-36.56,-32.58
1852,NA,-39.02,-29.42
1851,NA,-35.82,-32.11
1850,NA,-38.76,-31.71
1849,NA,-40.67,-31.53
1848,NA,-39.16,-34.61
1847,NA,-34.98,-31.54
1846,NA,-38.83,-31
1845,NA,-38.54,-32.53
1844,NA,-38.25,-32.68
1843,NA,-36.01,-34.72
1842,NA,-38.71,-31.35
1841,NA,-38.91,-32.09
1840,NA,-37.2,-33.64
1839,NA,-40.14,-34.27
1838,NA,-37.37,-31.24
1837,NA,-39.22,-31.22
1836,NA,-39.88,-36.38
1835,NA,-40.52,-35.46
1834,NA,-37.05,-32.91
1833,NA,-37.52,-32.55
1832,NA,-38.79,-33.74
1831,NA,-36.37,-30.72
1830,NA,-36.21,-31.16
1829,NA,-36.15,-31.36
1828,NA,-36.11,-32.91
1827,NA,-36.99,-28.53
1826,NA,-39.01,-32.76
1825,NA,-40.44,-31.93
1824,NA,-37.5,-33.21
1823,NA,-38.28,-31.81
1822,NA,-37.16,-27.94
1821,NA,-37.79,-34.22
1820,NA,-37.15,-31.41
1819,NA,-38.79,-31.7
1818,NA,-39.48,-33.36
1817,NA,-40.26,-31.94
1816,NA,-34.43,-30.79
1815,NA,-40.2,-30.99
1814,NA,-37.05,-31.77
1813,NA,-37.09,-33.88
1812,NA,-36.35,-32.78
1811,NA,-38.85,-29.73
1810,NA,-36.04,-31.03
1809,NA,-36.66,-29.34
1808,NA,-36.98,-31.14
1807,NA,-39.4,-31.83
1806,NA,-39.09,-32.93
1805,NA,-36.8,-29.96
1804,NA,-36.55,-33.24
1803,NA,-38.45,-32.64
1802,NA,-40.36,-37.39
1801,NA,-35.87,-34.21
1800,NA,-37.71,-31.81
1799,NA,-39.27,-33.11
1798,NA,-39.11,-33.01
1797,NA,-38.56,-31.6
1796,NA,-35.72,-32.66
1795,NA,-32.43,-31.08
1794,NA,-38.69,-33.04
1793,NA,-36.88,-35.04
1792,NA,-35.23,-31.2
1791,NA,-41.61,-29.35
1790,NA,-38.99,-32.11
1789,NA,-35.39,-31.08
1788,NA,-37.28,-32.34
1787,NA,-34.46,-35.34
1786,NA,-37.89,-30.32
1785,NA,-36.13,-29.69
1784,NA,-34.67,-33.02
1783,NA,-41.88,-30.97
1782,NA,-41.31,-25.63
1781,NA,-38.99,-28.31
1780,NA,-35.33,-34.13
1779,NA,-38.1,-30.92
1778,NA,-40.08,-33.1
