depth (cm),age (),depth (cm),age (),TemperatureReconstruction1 (degC),TemperatureReconstruction1 (degC),SampleAgeBP (degC),AgeYoung (),Uncertaintyplus1 (),Uncertaintyminus1 (),N (),SampleAgeBP (degC),AgeYoung (),Uncertaintyplus1 (),Uncertaintyminus1 (),N ()
54.5,2375.2,54.5,2375.2,13.388,13.388,2048.2,1757.8,13.948,12.828,Y,2048.2,1757.8,13.948,12.828,Y
55.5,2530.4,55.5,2530.4,12.163,12.163,2125.8,1772.7,12.723,11.603,Y,2125.8,1772.7,12.723,11.603,Y
56.5,2555.1,56.5,2555.1,13.252,13.252,2201.9,1912.2,13.812,12.692,Y,2201.9,1912.2,13.812,12.692,Y
57.5,2587.7,57.5,2587.7,12.061,12.061,2278.8,2033.4,12.621,11.501,Y,2278.8,2033.4,12.621,11.501,Y
58.5,2621.7,58.5,2621.7,12.133,12.133,2356.1,2135.2,12.693,11.573,Y,2356.1,2135.2,12.693,11.573,Y
59.5,2665.9,59.5,2665.9,11.402,11.402,2433.3,2208.3,11.963,10.842,Y,2433.3,2208.3,11.963,10.842,Y
60.5,2743.9,60.5,2743.9,12.449,12.449,2510.4,2267.4,13.009,11.889,Y,2510.4,2267.4,13.009,11.889,Y
61.5,2771.5,61.5,2771.5,12.649,12.649,2566.5,2388.2,13.209,12.089,Y,2566.5,2388.2,13.209,12.089,Y
62.5,2811.2,62.5,2811.2,12.31,12.31,2622.7,2467.3,12.87,11.75,Y,2622.7,2467.3,12.87,11.75,Y
63.5,2872,63.5,2872,13.277,13.277,2678.6,2500.9,13.836,12.716,Y,2678.6,2500.9,13.836,12.716,Y
64.5,2956.8,64.5,2956.8,12.486,12.486,2735,2524.2,13.046,11.926,Y,2735,2524.2,13.046,11.926,Y
65.5,3056.4,65.5,3056.4,12.783,12.783,2791.7,2544.7,13.343,12.223,Y,2791.7,2544.7,13.343,12.223,Y
66.5,3071.6,66.5,3071.6,12.907,12.907,2831.9,2605.3,13.467,12.347,Y,2831.9,2605.3,13.467,12.347,Y
67.5,3091.4,67.5,3091.4,12.96,12.96,2872.5,2649,13.52,12.4,Y,2872.5,2649,13.52,12.4,Y
68.5,3116.5,68.5,3116.5,11.501,11.501,2913.3,2675.9,12.061,10.941,Y,2913.3,2675.9,12.061,10.941,Y
69.5,3150.6,69.5,3150.6,12.628,12.628,2953.8,2703.1,13.188,12.068,Y,2953.8,2703.1,13.188,12.068,Y
70.5,3199.1,70.5,3199.1,11.732,11.732,2994,2730.3,12.292,11.172,Y,2994,2730.3,12.292,11.172,Y
71.5,3223.1,71.5,3223.1,12.071,12.071,3046.9,2849.8,12.631,11.511,Y,3046.9,2849.8,12.631,11.511,Y
72.5,3247.8,72.5,3247.8,12.175,12.175,3099.7,2952.9,12.735,11.615,Y,3099.7,2952.9,12.735,11.615,Y
73.5,3290,73.5,3290,12.708,12.708,3152.8,3011.6,13.268,12.148,Y,3152.8,3011.6,13.268,12.148,Y
74.5,3372.5,74.5,3372.5,13.468,13.468,3206,3050.8,14.028,12.908,Y,3206,3050.8,14.028,12.908,Y
75.5,3479.4,75.5,3479.4,12.351,12.351,3259.2,3079.6,12.911,11.791,Y,3259.2,3079.6,12.911,11.791,Y
76.5,3567.5,76.5,3567.5,11.511,11.511,3336.6,3136.4,12.071,10.951,Y,3336.6,3136.4,12.071,10.951,Y
77.5,3711.8,77.5,3711.8,11.967,11.967,3413.5,3165.5,12.527,11.407,Y,3413.5,3165.5,12.527,11.407,Y
78.5,3885.6,78.5,3885.6,12.976,12.976,3488.8,3190.9,13.536,12.416,Y,3488.8,3190.9,13.536,12.416,Y
79.5,4078.9,79.5,4078.9,12.051,12.051,3563.7,3210.1,12.611,11.491,Y,3563.7,3210.1,12.611,11.491,Y
80.5,4266.1,80.5,4266.1,12.466,12.466,3639.6,3226.6,13.025,11.905,Y,3639.6,3226.6,13.025,11.905,Y
81.5,4340.1,81.5,4340.1,12.902,12.902,3726.9,3295.1,13.462,12.342,Y,3726.9,3295.1,13.462,12.342,Y
82.5,4446.8,82.5,4446.8,13.536,13.536,3813.5,3335.6,14.096,12.976,Y,3813.5,3335.6,14.096,12.976,Y
83.5,4572.5,83.5,4572.5,13.649,13.649,3900.6,3375,14.209,13.088,Y,3900.6,3375,14.209,13.088,Y
84.5,4710.8,84.5,4710.8,13.312,13.312,3986.2,3408.8,13.872,12.752,Y,3986.2,3408.8,13.872,12.752,Y
85.5,4847.5,85.5,4847.5,12.225,12.225,4070.7,3433,12.785,11.665,Y,4070.7,3433,12.785,11.665,Y
86.5,4889,86.5,4889,13.195,13.195,4148.4,3504.9,13.755,12.635,Y,4148.4,3504.9,13.755,12.635,Y
87.5,4930,87.5,4930,12.941,12.941,4226,3562.1,13.501,12.381,Y,4226,3562.1,13.501,12.381,Y
88.5,4990.4,88.5,4990.4,12.571,12.571,4305.3,3609.9,13.131,12.011,Y,4305.3,3609.9,13.131,12.011,Y
89.5,5078.3,89.5,5078.3,12.514,12.514,4383.2,3652.2,13.074,11.954,Y,4383.2,3652.2,13.074,11.954,Y
90.5,5171.8,90.5,5171.8,12.171,12.171,4461.6,3686.6,12.731,11.611,Y,4461.6,3686.6,12.731,11.611,Y
91.5,5209.3,91.5,5209.3,12.948,12.948,4543.3,3824.5,13.508,12.388,Y,4543.3,3824.5,13.508,12.388,Y
92.5,5248.6,92.5,5248.6,12.255,12.255,4624.7,3920.3,12.815,11.695,Y,4624.7,3920.3,12.815,11.695,Y
93.5,5297.7,93.5,5297.7,11.746,11.746,4707.9,4000,12.306,11.186,Y,4707.9,4000,12.306,11.186,Y
94.5,5357.2,94.5,5357.2,11.789,11.789,4791.2,4057.5,12.348,11.229,Y,4791.2,4057.5,12.348,11.229,Y
95.5,5462.8,95.5,5462.8,12.427,12.427,4873.7,4111,12.987,11.867,Y,4873.7,4111,12.987,11.867,Y
96.5,5475.6,96.5,5475.6,13.4,13.4,4951.8,4293.7,13.96,12.84,Y,4951.8,4293.7,13.96,12.84,Y
97.5,5497.1,97.5,5497.1,12.524,12.524,5029.9,4459.5,13.084,11.964,Y,5029.9,4459.5,13.084,11.964,Y
98.5,5514.4,98.5,5514.4,12.389,12.389,5107.5,4587.8,12.948,11.829,Y,5107.5,4587.8,12.948,11.829,Y
99.5,5550.6,99.5,5550.6,12.073,12.073,5185,4682.7,12.633,11.513,Y,5185,4682.7,12.633,11.513,Y
100.5,5614.5,100.5,5614.5,12.649,12.649,5263.4,4759.2,13.209,12.089,Y,5263.4,4759.2,13.209,12.089,Y
101.5,5632.8,101.5,5632.8,12.893,12.893,5339,4927.2,13.453,12.333,Y,5339,4927.2,13.453,12.333,Y
102.5,5657.2,102.5,5657.2,12.047,12.047,5414.9,5087.6,12.607,11.487,Y,5414.9,5087.6,12.607,11.487,Y
103.5,5699.8,103.5,5699.8,11.582,11.582,5491.9,5196.3,12.143,11.023,Y,5491.9,5196.3,12.143,11.023,Y
104.5,5755.9,104.5,5755.9,12.868,12.868,5568.7,5277,13.428,12.308,Y,5568.7,5277,13.428,12.308,Y
105.5,5845.7,105.5,5845.7,12.569,12.569,5645.8,5341.5,13.129,12.009,Y,5645.8,5341.5,13.129,12.009,Y
106.5,5919,106.5,5919,12.253,12.253,5725.2,5438.1,12.813,11.693,Y,5725.2,5438.1,12.813,11.693,Y
107.5,6016.2,107.5,6016.2,12.009,12.009,5805.8,5530.7,12.569,11.449,Y,5805.8,5530.7,12.569,11.449,Y
108.5,6126.5,108.5,6126.5,11.294,11.294,5885.5,5598.5,11.854,10.734,Y,5885.5,5598.5,11.854,10.734,Y
109.5,6260.2,109.5,6260.2,11.946,11.946,5965,5626.9,12.506,11.386,Y,5965,5626.9,12.506,11.386,Y
110.5,6400.7,110.5,6400.7,11.794,11.794,6044.3,5648.7,12.354,11.234,Y,6044.3,5648.7,12.354,11.234,Y
111.5,6421.1,111.5,6421.1,12.336,12.336,6120.1,5797.5,12.896,11.776,Y,6120.1,5797.5,12.896,11.776,Y
112.5,6443.4,112.5,6443.4,12.135,12.135,6195.5,5940.1,12.695,11.575,Y,6195.5,5940.1,12.695,11.575,Y
113.5,6465.5,113.5,6465.5,12.007,12.007,6270.8,6063.3,12.567,11.447,Y,6270.8,6063.3,12.567,11.447,Y
114.5,6502,114.5,6502,11.072,11.072,6346.9,6170,11.633,10.512,Y,6346.9,6170,11.633,10.512,Y
115.5,6569.3,115.5,6569.3,12.424,12.424,6423.3,6259.4,12.984,11.864,Y,6423.3,6259.4,12.984,11.864,Y
116.5,6679.9,116.5,6679.9,12.344,12.344,6548.7,6401,12.904,11.784,Y,6548.7,6401,12.904,11.784,Y
117.5,6886,117.5,6886,12.089,12.089,6674,6480.7,12.649,11.529,Y,6674,6480.7,12.649,11.529,Y
118.5,7130.9,118.5,7130.9,12.58,12.58,6798.6,6510.7,13.14,12.02,Y,6798.6,6510.7,13.14,12.02,Y
119.5,7385.7,119.5,7385.7,12.514,12.514,6922.6,6535.1,13.074,11.954,Y,6922.6,6535.1,13.074,11.954,Y
120.5,7645.8,120.5,7645.8,12.398,12.398,7047.4,6564.8,12.958,11.838,Y,7047.4,6564.8,12.958,11.838,Y
