year (AD),age (BP),Mg (percent),detrendMg (percent)
1950,0,16.612,-1.777
1930,20,17.127,-1.315
1910,40,17.641,-0.854
1890,60,18.156,-0.391
1870,80,18.059,-0.54
1850,100,17.257,-1.393
1830,120,16.454,-2.245
1810,140,16.418,-2.331
1790,160,16.43,-2.367
1770,180,17.102,-1.744
1750,200,18.706,-0.186
1730,220,20.311,1.372
1710,240,20.203,1.218
1690,260,19.88,0.849
1670,280,19.908,0.833
1650,300,20.555,1.437
1630,320,21.202,2.04
1610,340,20.798,1.594
1590,360,20.19,0.944
1570,380,19.743,0.456
1550,400,19.653,0.325
1530,420,19.562,0.195
1510,440,19.227,-0.179
1490,460,18.826,-0.618
1470,480,18.68,-0.802
1450,500,19.256,-0.262
1430,520,19.833,0.278
1410,540,19.687,0.097
1390,560,18.768,-0.857
1370,580,17.849,-1.81
1350,600,19.161,-0.531
1330,620,20.572,0.846
1310,640,19.025,-0.733
1290,660,19.566,-0.223
1270,680,20.101,0.281
1250,700,20.834,0.984
1230,720,21.859,1.98
1210,740,22.848,2.94
1190,760,23.273,3.337
1170,780,23.525,3.562
1150,800,23.645,3.656
1130,820,23.49,3.475
1110,840,23.322,3.282
1090,860,23.08,3.015
1070,880,22.795,2.706
1050,900,22.326,2.215
1030,920,22.362,2.227
1010,940,18.667,-1.489
990,960,18.104,-2.074
970,980,19.005,-1.193
950,1000,19.118,-1.099
930,1020,19.478,-0.758
910,1040,19.968,-0.286
890,1060,20.034,-0.238
870,1080,20.341,0.052
850,1100,20.647,0.342
830,1120,21.481,1.161
810,1140,22.044,1.709
790,1160,21.545,1.196
770,1180,21.509,1.146
750,1200,21.333,0.958
730,1220,21.155,0.767
710,1240,21.4,1.001
690,1260,20.715,0.305
670,1280,20.3,-0.12
650,1300,21.391,0.962
630,1320,21.46,1.023
610,1340,21.443,0.998
590,1360,20.697,0.244
570,1380,20.819,0.36
550,1400,21.466,1
530,1420,21.662,1.191
510,1440,21.811,1.336
490,1460,22.093,1.614
470,1480,21.867,1.385
450,1500,20.468,-0.016
430,1520,19.356,-1.13
410,1540,18.714,-1.773
390,1560,18.063,-2.424
370,1580,18.288,-2.199
350,1600,18.407,-2.079
330,1620,18.478,-2.006
310,1640,18.664,-1.817
290,1660,19.169,-1.31
270,1680,19.133,-1.341
250,1700,18.998,-1.472
230,1720,18.467,-1.998
210,1740,19.915,-0.544
190,1760,20.601,0.149
170,1780,20.655,0.21
150,1800,21.373,0.936
130,1820,22.189,1.76
110,1840,23.028,2.609
90,1860,23.593,3.184
70,1880,22.959,2.561
50,1900,21.395,1.008
30,1920,19.934,-0.441
10,1940,19.804,-0.558
-10,1960,19.648,-0.7
-30,1980,19.471,-0.864
-50,2000,19.288,-1.032
-70,2020,18.927,-1.377
-90,2040,17.047,-3.241
-110,2060,17.133,-3.138
