depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (years),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),material_dated ()
10.5,100,110,1450,40,1300,1400,10,1,10,2
24.5,240,250,3460,40,3630,3840,10,1,4,2
44,430,450,4650,40,5310,5470,20,1,11,2
NA,NA,NA,NA,NA,5560,5570,NA,3,NA,NA
50,495,505,5550,40,6290,6410,10,1,3,2
87,850,890,4650,40,5310,5470,40,1,12,2
NA,NA,NA,NA,NA,5560,5570,NA,3,NA,NA
97,950,990,14000,60,16290,17050,40,2,5,1
98,960,1000,10260,50,11770,12170,40,2,6,1
NA,NA,NA,NA,NA,12210,12240,NA,3,NA,NA
NA,NA,NA,NA,NA,12320,12340,NA,3,NA,NA
108.5,1080,1090,3360,40,3480,3540,10,1,2,2
NA,NA,NA,NA,NA,3550,3690,NA,3,NA,NA
118,1160,1200,12640,50,14650,15160,40,2,7,1
148,1460,1500,10550,60,12250,12260,40,2,8,1
NA,NA,NA,NA,NA,12380,12790,NA,3,NA,NA
173,1710,1750,10580,50,12400,12530,40,2,9,1
NA,NA,NA,NA,NA,12550,12790,NA,3,NA,NA
195,1940,1960,10970,50,12840,13000,20,1,1,2
