year (AD) [1-1],age (BP) [1-1],sampleID (missing) [1-1],year (AD) [2-1],age (BP) [2-1],d18O (permil) [2-1],d13C (permil) [2-1]
2001,-51,hs-4d-123,2001,-51,-7.95,-12.76
2000,-50,hs-4d-122,2000,-50,-7.86,-12.21
1999,-49,hs-4d-121,1999,-49,-7.92,-12.42
1998,-48,hs-4d-120,1998,-48,-8.11,-12.57
1997,-47,hs-4d-119,1997,-47,-7.95,-12.55
1996,-46,hs-4d-118,1996,-46,-7.87,-12.62
1995,-45,hs-4d-117,1995,-45,-8.08,-12.4
1994,-44,hs-4d-116,1994,-44,-7.92,-12.34
1993,-43,hs-4d-115,1993,-43,-7.84,-12.26
1992,-42,hs-4d-114,1992,-42,-7.91,-12.48
1991,-41,hs-4d-113,1991,-41,-7.9,-12.36
1990,-40,hs-4d-112,1990,-40,-7.89,-12.38
1989,-39,hs-4d-111,1989,-39,-7.48,-10.78
1988,-38,hs-4d-110,1988,-38,-7.37,-10.99
1987,-37,hs-4d-109,1987,-37,-7.43,-10.81
1986,-36,hs-4d-108,1986,-36,-7.45,-10.99
1985,-35,hs-4d-107,1985,-35,-7.44,-11.13
1984,-34,hs-4d-106,1984,-34,-7.39,-11.08
1983,-33,hs-4d-105,1983,-33,-7.46,-11.11
1982,-32,hs-4d-104,1982,-32,-7.76,-11.71
1981,-31,hs-4d-103,1981,-31,-7.85,-11.99
1980,-30,hs-4d-102,1980,-30,-7.95,-12.07
1979,-29,hs-4d-101,1979,-29,-8.07,-12.19
1978,-28,hs-4d-100,1978,-28,-8.11,-12.27
1977,-27,hs-4d-99,1977,-27,-8.3,-12.45
1976,-26,hs-4d-98,1976,-26,-8.36,-12.6
1975,-25,hs-4d-97,1975,-25,-8.52,-12.63
1974,-24,hs-4d-96,1974,-24,-8.42,-12.32
1973,-23,hs-4d-95,1973,-23,-8.23,-12.3
1972,-22,hs-4d-94,1972,-22,-8.25,-12.4
1971,-21,hs-4d-93,1971,-21,-8.47,-12.63
1970,-20,hs-4d-92,1970,-20,-8.48,-12.5
1969,-19,hs-4d-91,1969,-19,-8.46,-12.64
1968,-18,hs-4d-90,1968,-18,-8.39,-12.59
1967,-17,hs-4d-89,1967,-17,-8.35,-12.58
1966,-16,hs-4d-88,1966,-16,-8.23,-12.68
1965,-15,hs-4d-87,1965,-15,-8.23,-12.45
1964,-14,hs-4d-86,1964,-14,-8.26,-12.31
1963,-13,hs-4d-85,1963,-13,-8.31,-12.48
1962,-12,hs-4d-84,1962,-12,-8.15,-12.24
1961,-11,hs-4d-83,1961,-11,-8.11,-12.02
1960,-10,hs-4d-82,1960,-10,-8.19,-11.88
1959,-9,hs-4d-81,1959,-9,-8.44,-12.02
1958,-8,hs-4d-80,1958,-8,-8,-11.55
1957,-7,hs-4d-79,1957,-7,-8.14,-11.8
1956,-6,hs-4d-78,1956,-6,-8.24,-11.88
1955,-5,hs-4d-77,1955,-5,-8.08,-11.79
1954,-4,hs-4d-76,1954,-4,-8.29,-11.93
1953,-3,hs-4d-75,1953,-3,-8.21,-11.09
1952,-2,hs-4d-74,1952,-2,-8.26,-11.82
1951,-1,hs-4d-73,1951,-1,-7.98,-11.8
1950,0,hs-4d-72,1950,0,-7.91,-11.85
1949,1,hs-4d-71,1949,1,-8.24,-12.27
1948,2,hs-4d-70,1948,2,-8.16,-12.18
1947,3,hs-4d-69,1947,3,-8.21,-12.32
1946,4,hs-4d-68,1946,4,-8.05,-12.16
1945,5,hs-4d-67,1945,5,-8.14,-12.13
1944,6,hs-4d-66,1944,6,-8.19,-12.16
1943,7,hs-4d-65,1943,7,-8.14,-12.17
1942,8,hs-4d-64,1942,8,-8.06,-12.05
1941,9,hs-4d-63,1941,9,-8.01,-12.08
1940,10,hs-4d-62,1940,10,-8.2,-12.29
1939,11,hs-4d-61,1939,11,-8.09,-12.18
1938,12,hs-4d-60,1938,12,-8.21,-12.19
1937,13,hs-4d-59,1937,13,-8.39,-12.17
1936,14,hs-4d-58,1936,14,-8.53,-12.23
1935,15,hs-4d-57,1935,15,-8.53,-12.33
1934,16,hs-4d-56,1934,16,-8.59,-11.96
1933,17,hs-4d-55,1933,17,-8.6,-12.18
1932,18,hs-4d-54,1932,18,-8.82,-12.37
1931,19,hs-4d-53,1931,19,-8.78,-12.22
1930,20,hs-4d-52,1930,20,-8.84,-12.22
1929,21,hs-4d-51,1929,21,-8.79,-12.15
1928,22,hs-4d-50,1928,22,-9.02,-12.67
1927,23,hs-4d-49,1927,23,-8.89,-12.54
1926,24,hs-4d-48,1926,24,-9.06,-12.91
1925,25,hs-4d-47,1925,25,-9.01,-12.72
1924,26,hs-4d-46,1924,26,-8.82,-12.68
1923,27,hs-4d-45,1923,27,-9.26,-12.72
1922,28,hs-4d-44,1922,28,-8.8,-12.9
1921,29,hs-4d-43,1921,29,-8.84,-12.69
1920,30,hs-4d-42,1920,30,-8.9,-12.56
1919,31,hs-4d-41,1919,31,-8.96,-12.48
1918,32,hs-4d-40,1918,32,-8.77,-12.19
1917,33,hs-4d-39,1917,33,-8.54,-11.8
1916,34,hs-4d-38,1916,34,-9.05,-12.41
1915,35,hs-4d-37,1915,35,-8.98,-12.1
1914,36,hs-4d-36,1914,36,-8.92,-11.93
1913,37,hs-4d-35,1913,37,-8.75,-11.59
1912,38,hs-4d-34,1912,38,-8.67,-11.39
1911,39,hs-4d-33,1911,39,-8.57,-11.14
1910,40,hs-4d-32,1910,40,-8.64,-11.52
1909,41,hs-4d-31,1909,41,-8.46,-11.61
1908,42,hs-4d-30,1908,42,-8.51,-11.59
1907,43,hs-4d-29,1907,43,-8.66,-11.85
1906,44,hs-4d-28,1906,44,-8.71,-11.87
1905,45,hs-4d-27,1905,45,-8.52,-11.68
1904,46,hs-4d-26,1904,46,-8.55,-11.82
1903,47,hs-4d-25,1903,47,-8.39,-11.43
1902,48,hs-4d-24,1902,48,-8.12,-10.98
1900,50,hs-4d-23,1900,50,-7.89,-10.77
1898,52,hs-4d-22,1898,52,-8.13,-10.89
1896,54,hs-4d-21,1896,54,-8.25,-11.23
1894,56,hs-4d-20,1894,56,-8.26,-11.27
1893,57,hs-4d-19,1893,57,-8.28,-11.43
1891,59,hs-4d-18,1891,59,-8.13,-11.59
1889,61,hs-4d-17,1889,61,-8.31,-11.73
1887,63,hs-4d-16,1887,63,-8.2,-11.22
1885,65,hs-4d-15,1885,65,-8.25,-11.13
1883,67,hs-4d-14,1883,67,-8.28,-11.22
1882,68,hs-4d-13,1882,68,-8.19,-10.88
1880,70,hs-4d-12,1880,70,-8.27,-11.03
1878,72,hs-4d-11,1878,72,-8.67,-10.73
1876,74,hs-4d-10,1876,74,-8.31,-11.13
1874,76,hs-4d-9,1874,76,-8.13,-11.07
1873,77,hs-4d-8,1873,77,-8.26,-10.97
1871,79,hs-4d-7,1871,79,-8.43,-11.03
1869,81,hs-4d-6,1869,81,-8.59,-11.21
1867,83,hs-4d-5,1867,83,-8.67,-11.53
1865,85,hs-4d-4,1865,85,-8.57,-11.36
1863,87,hs-4d-3,1863,87,-8.64,-10.9
1862,88,hs-4d-2,1862,88,-8.22,-10.54
1860,90,hs-4d-1,1860,90,-8.38,-10.6
1858,92,hs-4c-993,1858,92,-8.64,-11.54
1854,96,hs-4c-992,1854,96,-8.45,-11.15
1847,103,hs-4c-991,1847,103,-8.39,-10.99
1839,111,hs-4c-990,1839,111,-8.72,-11.29
1824,126,hs-4c-988,1824,126,-8.7,-10.85
1816,134,hs-4c-987,1816,134,-8.43,-10.4
1809,141,hs-4c-986,1809,141,-8.45,-10.44
1801,149,hs-4c-985,1801,149,-8.6,-11.09
1794,156,hs-4c-984,1794,156,-8.8,-11.1
1786,164,hs-4c-983,1786,164,-8.95,-11.02
1778,172,hs-4c-982,1778,172,-9.08,-11.31
1771,179,hs-4c-981,1771,179,-9.19,-11.25
1763,187,hs-4c-980,1763,187,-8.93,-11.77
1759,191,hs-4c-979,1759,191,-8.84,-11.44
1754,196,hs-4c-978,1754,196,-8.75,-11.77
1749,201,hs-4c-977,1749,201,-8.38,-11.71
1745,205,hs-4c-976,1745,205,-8.3,-11.72
1740,210,hs-4c-975,1740,210,-8.54,-11.59
1735,215,hs-4c-974,1735,215,-8.41,-11.99
1731,219,hs-4c-973,1731,219,-8.32,-12.11
1726,224,hs-4c-972,1726,224,-8.16,-12.1
1721,229,hs-4c-971,1721,229,-8.12,-12.06
1716,234,hs-4c-970,1716,234,-8.31,-11.65
1712,238,hs-4c-969,1712,238,-7.89,-12.07
1707,243,hs-4c-968,1707,243,-8.16,-12.09
1702,248,hs-4c-967,1702,248,-8.15,-11.78
1698,252,hs-4c-966,1698,252,-8.15,-11.8
1693,257,hs-4c-965,1693,257,-8.3,-11.54
1688,262,hs-4c-964,1688,262,-8.03,-11.51
1684,266,hs-4c-963,1684,266,-7.68,-11.22
1679,271,hs-4c-962,1679,271,-7.99,-11.67
1674,276,hs-4c-961,1674,276,-7.91,-11.74
1670,280,hs-4c-960,1670,280,-7.4,-11.19
1665,285,hs-4c-959,1665,285,-7.71,-11.32
1660,290,hs-4c-958,1660,290,-8,-11.5
1656,294,hs-4c-957,1656,294,-7.63,-10.44
1651,299,hs-4c-956,1651,299,-7.84,-10.68
1646,304,hs-4c-955,1646,304,-7.86,-11.54
1642,308,hs-4c-954,1642,308,-8.12,-11.16
1637,313,hs-4c-953,1637,313,-7.78,-10.67
1632,318,hs-4c-952,1632,318,-7.95,-10.87
1628,322,hs-4c-951,1628,322,-8.37,-11.1
1625,325,hs-4c-950,1625,325,-8.17,-11.11
1623,327,hs-4c-949,1623,327,-7.98,-10.73
1621,329,hs-4c-948,1621,329,-8.12,-11.63
1619,331,hs-4c-947,1619,331,-8.3,-11.87
1617,333,hs-4c-946,1617,333,-8.31,-11.72
1615,335,hs-4c-945,1615,335,-8.65,-11.83
1612,338,hs-4c-944,1612,338,-8.21,-12.35
1610,340,hs-4c-943,1610,340,-7.98,-12.21
1608,342,hs-4c-942,1608,342,-8.02,-12.13
1606,344,hs-4c-941,1606,344,-8.23,-12.29
