depth (cm),age (BP),temperature (degC)
1,367.5,12.632
2,425,12.179
3,456.143,12.058
4,487.286,12.755
5,518.429,12.677
6,549.571,12.2
7,580.714,11.395
8,611.857,11.556
9,643,12.714
10,650.6,11.636
11,658.2,12.024
12,665.8,11.767
13,673.4,11.491
14,681,12.221
15,688.6,11.867
16,696.2,11.37
17,703.8,11.995
18,711.4,11.823
19,719,13.474
20,726.6,12.389
21,734.2,12.888
22,741.8,12.099
23,749.4,11.753
24,757,11.953
25,764.6,12.65
26,772.2,11.854
27,779.8,12.37
28,787.4,11.624
29,795,11.883
30,826.7,12.2
31,858.4,12.28
32,890.1,11.643
33,921.8,13.118
34,953.5,13.075
35,985.2,13.034
36,1016.9,13.633
37,1048.6,13.013
38,1080.3,12.912
39,1112,12.736
40,1143.7,12.605
41,1175.4,11.849
42,1207.1,12.442
43,1238.8,12.397
44,1270.5,13.552
46,1321.428,12.4
48,1440.856,12.478
50,1560.284,12.686
51,1620,11.225
54,1640.8,11.806
56,1682.4,9.998
58,1724,11.376
60,1765.6,12.049
62,1807.2,11.872
64,1848.8,10.747
66,1890.4,11.665
68,1932,10.64
70,1973.6,11.309
72,2015.2,10.782
74,2056.8,11.758
76,2098.4,11.418
78,2140,12.005
80,2181.6,11.922
82,2223.2,13.089
86,2237.769,12.403
88,2251.226,12.077
90,2264.683,12.67
92,2278.14,12.368
94,2291.597,11.241
96,2305.054,12.751
98,2318.511,11.827
100,2331.968,12.658
102,2345.425,11.101
104,2358.882,11.805
106,2372.339,12.047
108,2385.796,11.684
110,2399.253,11.533
112,2412.71,11.695
114,2426.167,11.979
116,2453.082,12.142
119,2466.593,12.158
122,2486.926,12.737
125,2507.26,12.644
128,2527.152,12.546
130,2540.609,11.468
132,2574.212,12.068
134,2585.341,12.255
136,2596.47,12.898
138,2607.599,11.867
140,2618.729,10.777
142,2629.858,11.504
144,2640.987,10.889
146,2652.117,10.743
148,2663.246,11.219
150,2730.022,11.49
152,2796.798,10.701
154,2810.438,10.489
156,2824.078,11.616
158,2837.718,11.234
160,2851.358,10.367
162,2864.998,10.31
164,2878.638,12.314
166,2892.278,12.116
168,2980.976,11.59
169,3069.675,11.791
172,3100.105,12.103
173,3130.535,11.599
176,3145.752,11.606
178,3193.284,12.247
180,3224.972,11.276
182,3257.917,11.691
183,3290.862,11.455
184,3307.336,11.296
