year (AD) [1-1],age (BP) [1-1],salinity (g/L) [1-1],year (AD) [2-1],age (BP) [2-1],"sand (grams/dry weight, sediment 130um) [2-1]",year (AD) [3-1],age (BP) [3-1],salinity (g/L) [3-1],year (AD) [4-1],age (BP) [4-1],"sand (grams/dry weight, sediment 130um) [4-1]",year (AD) [5-1],age (BP) [5-1],d18O (permil) [5-1],year (AD) [6-1],age (BP) [6-1],d18O (permil) [6-1],year (AD) [7-1],age (BP) [7-1],d18O (permil) [7-1]
2000,-50,1.716,2000,-50,16.43,1950,0,1.895,1950,0,15.683,1550.65,399.35,-1.39,1550.65,399.35,0.51,1550.65,399.35,0.93
1992,-42,1.732,1992,-42,8.46,1778.85,171.15,1.828,1778.85,171.15,6.168,1436.55,513.45,-0.7,1436.55,513.45,NA,1436.55,513.45,NA
1987,-37,1.734,1987,-37,6.89,1550.65,399.35,1.776,1550.65,399.35,39.393,1322.45,627.55,-1.13,1322.45,627.55,NA,1322.45,627.55,NA
1984,-34,1.727,1984,-34,2.06,1436.55,513.45,NA,1436.55,513.45,75.109,923.1,1026.9,-1.463,923.1,1026.9,NA,923.1,1026.9,NA
1977,-27,1.713,1977,-27,37.84,1322.45,627.55,1.794,1322.45,627.55,NA,637.85,1312.15,-1.35,637.85,1312.15,1.21,637.85,1312.15,NA
1952,-2,1.712,1952,-2,697.23,1265.4,684.6,NA,1265.4,684.6,58.554,352.6,1597.4,-1.262,352.6,1597.4,NA,352.6,1597.4,NA
1840,110,1.447,1840,110,211.89,1094.25,855.75,1.772,1094.25,855.75,45.848,67.35,1882.65,-1.06,67.35,1882.65,NA,67.35,1882.65,NA
1806,144,NA,1806,144,30.66,923.1,1026.9,1.768,923.1,1026.9,16.327,-217.9,2167.9,-0.696,-217.9,2167.9,NA,-217.9,2167.9,NA
1783,167,1.352,1783,167,21,637.85,1312.15,1.748,637.85,1312.15,23.469,-446.1,2396.1,-1.256,-446.1,2396.1,NA,-446.1,2396.1,NA
1761,189,NA,1761,189,28.23,352.6,1597.4,1.799,352.6,1597.4,75.479,-560.2,2510.2,-1.37,-560.2,2510.2,0.87,-560.2,2510.2,2
1727,223,1.302,1727,223,15.92,67.35,1882.65,1.823,67.35,1882.65,252.224,-902.5,2852.5,-1.165,-902.5,2852.5,NA,-902.5,2852.5,NA
1694,256,1.338,1694,256,222.48,-217.9,2167.9,1.756,-217.9,2167.9,35.217,-1187.75,3137.75,-1.68,-1187.75,3137.75,NA,-1187.75,3137.75,NA
