depth (cm),age (kyr),dateType (),sensorSpecies (),labID (),age14C (kyr),age14CUncertainty (kyr),age14CHi (kyr),age14CLow (kyr),reservoirAge (kyr),ageUncertainty1sigLo (kyr),ageUncertainty1sigHi (kyr)
3,0,14C,Mixed planktics,KIA4693,0.38,0.03,NA,NA,0.4,0.5,0.5
98,5.65,14C,G. ruber pink,KIA5085,5.3,0.05,NA,NA,0.4,0.5,0.5
110,6.31,14C,G. ruber white,KIA4223,5.92,0.04,NA,NA,0.4,0.5,0.5
163,9.02,14C,Mixed planktics,KIA5084,8.48,0.06,NA,NA,0.4,0.5,0.5
190,9.84,14C,G. ruber white,KIA4224,9.15,0.05,NA,NA,0.4,0.5,0.5
225,12.3,14C,G. ruber white,KIA4225,10.8,0.09,NA,NA,0.4,0.5,0.5
228,12.24,14C,Mixed planktics,KIA4696,10.76,0.08,NA,NA,0.4,0.5,0.5
257.5,13.78,14C,G. ruber white,KIA4226,12.22,0.07,NA,NA,0.4,0.5,0.5
290,16.56,14C,G. ruber white,KIA4227,14.21,0.09,NA,NA,0.4,0.5,0.5
310,18.6,14C,G. ruber white,KIA4228,16.14,0.1,NA,NA,0.4,0.5,0.5
420,26.87,14C,G. ruber white,KIA4229,23.23,0.21,NA,NA,0.4,1.5,1.5
450,28.91,14C,G. ruber white,KIA4230,25.06,0.26,NA,NA,0.4,1.5,1.5
463,31.06,14C,Mixed planktics,KIA4115,27.03,NA,0.21,0.22,0.4,1.5,1.5
