depth (cm) [1-1],age (BP) [1-1],IP25_flux (Aug/cm2/ka) [1-1],age (BP) [2-1],depth (cm) [2-1],temperature (degC) [2-1],salinity (psu) [2-1],Sea_Ice_months (months/year) [2-1],Sea_Ice_conc (0-10) [2-1],productivity (gcm2) [2-1],age (BP) [2-2],temperature (degC) [2-2]
10.5,390,0.026,457.65,10,3.235,33.972,2.015,1.956,139.49,457.65,2.044
11.5,460,0.079,699.7,14,3.854,33.993,1.497,1.452,151.936,699.7,2.666
12.5,530,0.088,937.59,18,2.754,33.733,3.535,3.085,131.152,937.59,1.387
13.5,600,0.101,1167.3,22,7.488,33.455,1.403,1.094,172.937,1167.3,3.953
14.5,670,0.079,1390.6,26,1.993,32.703,5.615,4.716,127.328,1390.6,0.854
15.5,740,0.073,1555,30,3.409,33.836,1.995,1.932,148.827,1555,2.169
16.5,810,0.075,1772.3,34,3.862,33.737,2.783,2.445,146.497,1772.3,2.536
17.5,880,0.067,1990.4,38,3.858,33.983,2.216,2.118,155.17,1990.4,2.645
18.5,950,0.064,2210.7,42,2.844,33.414,5.037,3.967,134.924,2210.7,1.605
19.5,1020,0.052,2433.1,46,3.192,34.021,2.937,2.61,132.146,2433.1,1.888
20.5,1090,0.059,2654.7,50,4.076,34.167,1.74,1.696,152.998,2654.7,2.893
21,1130,0.079,2873.3,54,4.293,33.898,1.95,1.883,158.431,2873.3,2.698
21.5,1160,NA,3088.9,58,3.316,33.954,3.702,3.13,146.305,3088.9,2.262
22.5,1210,0.053,3301.7,62,4.219,34.16,1.207,1.207,145.231,3301.7,2.626
23.5,1270,0.052,3511.7,66,4.77,34.321,1.1,1.138,148.824,3511.7,3.433
24.5,1320,0.051,3718.8,70,4.167,34.196,1.431,1.386,150.612,3718.8,2.916
25.5,1380,0.054,3922.8,74,3.746,33.783,2.383,2.008,137.195,3922.8,2.247
26.5,1430,0.08,4123.5,78,3.294,33.841,2.283,2.201,143.933,4123.5,2.243
27.5,1490,0.083,4320.4,82,3.096,33.696,3.418,3.02,133.402,4320.4,1.96
28.5,1540,0.093,4513.2,86,4.008,34.006,1.629,1.582,151.727,4513.2,2.503
29.5,1600,0.112,4705.3,90,4.328,34.093,1.348,1.388,160.005,4705.3,2.909
30.5,1650,0.116,4896.8,94,3.347,33.969,2.278,2.188,142.193,4896.8,2.221
31.5,1710,0.089,5083.4,98,4.146,34.232,1.568,1.54,148.003,5083.4,2.896
32.5,1760,0.088,5265.1,102,5.333,34.184,1.61,1.393,161.586,5265.1,3.973
33.5,1810,0.084,5441.7,106,4.36,33.592,3.559,2.848,131.185,5441.7,2.794
34.5,1870,0.061,5613.1,110,4.145,34.178,1.592,1.576,144.14,5613.1,2.814
35.5,1920,0.066,5779.9,114,3.892,33.782,3.235,2.835,139.589,5779.9,2.747
36.5,1970,0.066,5942,118,4.545,34.134,1.542,1.517,156.179,5942,3.388
37.5,2030,0.058,6099.8,122,3.967,34.062,1.648,1.599,146.934,6099.8,2.583
38.5,2080,0.072,6253.2,126,3.416,33.864,1.895,1.842,145.529,6253.2,1.967
39.5,2130,0.071,6402.3,130,3.753,33.873,2.359,2.251,157.729,6402.3,2.677
40.5,2190,0.073,6547.2,134,5.182,34.528,0.499,0.563,151.15,6547.2,3.716
41.5,2240,0.064,6688,138,4.703,34.306,1.536,1.542,160.983,6688,3.62
42.5,2290,0.075,6824.7,142,3.458,34.018,2.218,2.132,143.097,6824.7,2.245
43.5,2350,0.079,6957.7,146,4.369,34.167,1.439,1.463,147.041,6957.7,3.201
44.5,2400,0.077,7087.1,150,4.381,34.268,1.078,1.09,148.059,7087.1,3.156
45.5,2450,0.057,7212.9,154,5.733,33.509,1.819,1.696,169.411,7212.9,3.491
46.5,2500,0.053,7335.1,158,3.278,33.988,2.284,2.19,139.446,7335.1,2.015
47.5,2560,0.057,7454,162,4.497,34.285,1.031,1.016,148.895,7454,3.042
48.5,2610,0.061,7541,165,5.151,34.293,1.257,1.247,166.812,7541,3.846
49.5,2660,0.046,7682,170,3.288,33.769,3.196,2.859,141.234,7682,2.116
50.5,2710,0.067,7791.5,174,3.491,33.58,4.885,3.837,148.222,7791.5,1.885
51.5,2770,0.075,7898.3,178,3.915,33.734,3.719,2.925,144.183,7898.3,2.357
52.5,2820,0.08,8002.8,182,5.139,34.462,0.52,0.617,149.848,8002.8,3.82
53.5,2870,0.061,8105.5,186,4.02,34.204,1.818,1.807,139.818,8105.5,2.568
54.5,2920,0.061,8206.7,190,5.335,34.51,0.465,0.575,151.75,8206.7,4.034
55.5,2980,0.072,8306.6,194,2.976,33.47,5.616,4.234,143.031,8306.6,1.412
56.5,3030,0.045,8405.5,198,5.541,34.501,0.488,0.576,161.602,8405.5,4.439
57.5,3080,0.043,8503,202,3.274,33.394,4.639,3.685,142.667,8503,1.43
58.5,3130,NA,8598.9,206,5.189,34.465,0.557,0.657,154.391,8598.9,3.685
59.5,3190,0.056,8692.8,210,3.208,33.763,3.158,2.8,141.538,8692.8,1.817
