depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
372.5,Carbon-14,108185,120,4770,NA,NA
505,Carbon-14,108186,150,7200,NA,NA
635,Carbon-14,108187,220,8830,NA,NA
