year (AD),age (BP),d18O (m),age14C (BP)
1862,88,-18.931,176
1691,259,-18.976,352
1561,389,-18.359,469.334
1474,476,-17.419,586.667
1340,610,-17.467,704.001
1249,701,-18.728,821.334
1110,840,-17.526,938.667
1014,936,-18.751,1056.001
867,1083,-18.281,1173.334
766,1184,-18.415,1290.668
610,1340,-19.145,1408.001
218,1732,-18.695,1760
-88,2038,-16.615,2031.111
-279,2229,-16.692,2166.667
-410,2360,-19.247,2302.223
-609,2559,-22.853,2437.779
-744,2694,NA,2573.334
-947,2897,-21.046,2708.89
-1082,3032,-19.01,2844.446
-1285,3235,-21.499,2980.002
-1420,3370,-16.714,3115.557
-1619,3569,-14.063,3251.113
-1685,3635,-10.514,3318.891
-1750,3700,-17.316,3386.669
-1815,3765,-16.279,3454.447
-1943,3893,-19.066,3522.224
-2067,4017,-16.03,3657.78
-2249,4199,-16.376,3793.336
-2308,4258,-16.659,3861.114
-2365,4315,-12.391,3928.892
-2422,4372,-15.46,3996.669
-2638,4588,-17.448,4200
-2880,4830,-14.927,4340
-3012,4962,-15.076,4410.001
-3095,5045,NA,4480.001
-3214,5164,-19.941,4550.001
-3290,5240,-20.044,4620.001
-3399,5349,-15.364,4690.001
-3470,5420,-17.25,4760.001
-3573,5523,-17.053,4830.002
-3641,5591,-12.313,4900.002
-3741,5691,-18.08,4970.002
-3808,5758,NA,5040.002
-3910,5860,-18.459,5110.002
-3979,5929,-16.127,5180.002
-4086,6036,-15.076,5250.003
-4159,6109,-13.459,5320.003
-4354,6304,-11.733,5460
-4569,6519,-12.554,5723.334
-4802,6752,-12.127,5986.668
-4949,6899,-15.236,6118.335
-5049,6999,-13.532,6250.002
-5203,7153,-12.554,6381.669
-5308,7258,-15.524,6513.336
-5467,7417,-12.741,6645.003
-5574,7524,-12.421,6776.67
-5844,7794,-11.492,7040
-6277,8227,-9.531,7435.004
-6386,8336,-11.301,7566.671
-6548,8498,-16.561,7698.338
