year (AD),age (BP),age (BP),temperature (degC),MBT (missing),ageUncertainty (yr)
1920,30,-3.116,24.62,24.62,11.093
1860,90,-1.066,24.39,24.39,9.553
1800,150,41.424,24.56,24.56,77.617
1740,210,114.662,24.48,24.48,119.72
1680,270,188.805,24.66,24.66,143.113
1620,330,263.441,24.14,24.14,156.437
1560,390,338.45,24.1,24.1,162.199
1500,450,413.798,24.4,24.4,161.218
1440,510,489.498,24.02,24.02,153.372
1380,570,565.628,24.46,24.46,137.505
1320,630,642.423,24.15,24.15,110.237
1260,690,722.37,24.97,24.97,57.563
900,1050,1065.928,24.82,24.82,219.222
550,1400,1416.214,24.93,24.93,288.191
190,1760,1767.905,24.94,24.94,328.901
-160,2110,2120.491,24.81,24.81,351.276
-520,2470,2473.802,25.03,25.03,358.733
-880,2830,2827.792,24.81,24.81,352.192
-1230,3180,3182.507,24.74,24.74,330.789
-1590,3540,3538.117,24.86,24.86,291.209
-1940,3890,3895.132,25,25,223.869
-2300,4250,4258.874,24.92,24.92,69.756
-2500,4450,4458.425,24.66,24.66,176.522
-2710,4660,4663.204,24.61,24.61,226.303
-2920,4870,4869.075,24.87,24.87,255.732
-3130,5080,5075.642,24.88,24.88,271.593
-3330,5280,5282.772,24.82,24.82,276.269
-3540,5490,5490.431,25.03,25.03,270.363
-3750,5700,5698.652,24.56,24.56,253.155
-3950,5900,5907.569,24.64,24.64,222.045
-4160,6110,6117.578,24.8,24.8,169.552
-4370,6320,6332.816,24.75,24.75,48.475
-4450,6400,6405.871,24.5,24.5,109.844
-4530,6480,6482.187,24.72,24.72,140.02
-4610,6560,6559.182,24.65,24.65,158.269
-4690,6640,6636.611,24.46,24.46,168.556
-4770,6720,6714.392,24.23,24.23,172.339
-4850,6800,6792.501,24.6,24.6,170.073
-4930,6880,6870.962,24.35,24.35,161.532
-5010,6960,6949.856,24.49,24.49,145.653
-5090,7040,7029.431,24.36,24.36,119.637
-5180,7130,7112.265,24.33,24.33,74.427
-5320,7270,7251.931,24.55,24.55,150.762
-5460,7410,7395.952,24.23,24.23,189.737
-5600,7550,7540.895,24.12,24.12,212.484
-5740,7690,7686.435,24.46,24.46,223.952
-5890,7840,7832.468,24.52,24.52,225.845
-6030,7980,7978.976,24.22,24.22,218.399
-6170,8120,8126.015,24.09,24.09,200.572
-6310,8260,8273.765,24.01,24.01,169.114
-6460,8410,8422.903,24.49,24.49,113.237
-6560,8510,8537.408,24.24,24.24,92.561
-6610,8560,8615.493,24.07,24.07,131.759
-6670,8620,8694.571,24.47,24.47,155.287
-6730,8680,8774.151,24.36,24.36,169.746
-6790,8740,8854.099,24.24,24.24,177.352
-6840,8790,8934.369,24.41,24.41,178.972
-6900,8850,9014.961,24.13,24.13,174.762
-6960,8910,9095.922,24.42,24.42,164.264
-7010,8960,9177.385,24.37,24.37,146.115
-7070,9020,9259.84,24.13,24.13,116.758
-7130,9080,9329.792,23.64,23.64,110.586
-7200,9150,9386.008,23.95,23.95,132.976
-7270,9220,9442.954,23.83,23.83,148.451
-7330,9280,9500.27,23.69,23.69,159.077
-7400,9350,9557.856,23.57,23.57,165.766
-7460,9410,9615.679,23.84,23.84,168.948
-7530,9480,9673.74,23.67,23.67,168.768
-7600,9550,9732.071,23.63,23.63,165.126
-7660,9610,9790.772,23.4,23.4,157.617
-7730,9680,9850.202,23.88,23.88,145.116
-7850,9800,9964.827,23.25,23.25,173.82
-8020,9970,10138.532,23.14,23.14,220.296
-8190,10140,10313.795,23.54,23.54,248.924
-8370,10320,10489.846,23.73,23.73,266.127
-8540,10490,10666.475,23.51,23.51,274.256
-8710,10660,10843.61,23.52,23.52,274.216
-8890,10840,11021.251,23.26,23.26,266.067
-9060,11010,11199.469,23.16,23.16,249.052
-9230,11180,11378.476,23.02,23.02,221.142
-9410,11360,11559.04,22.65,22.65,177.098
-9570,11520,11720.367,22.71,22.71,170.192
-9740,11690,11861.515,22.62,22.62,205.426
-9900,11850,12004.019,22.74,22.74,227.539
-10070,12020,12147.211,22.68,22.68,240.394
-10230,12180,12290.906,22.57,22.57,245.505
-10390,12340,12435.042,22.34,22.34,243.378
-10560,12510,12579.619,22.56,22.56,233.811
-10720,12670,12724.699,22.53,22.53,215.792
-10880,12830,12870.466,22.72,22.72,186.806
-11050,13000,13017.59,22.67,22.67,139.81
-11190,13140,13160.009,22.61,22.61,140.173
-11300,13250,13297.087,22.64,22.64,189.38
-11420,13370,13435.387,22.64,22.64,221.76
-11540,13490,13574.305,22.35,22.35,244.169
-11650,13600,13713.677,22.15,22.15,259.152
-11770,13720,13853.445,22.03,22.03,267.869
-11880,13830,13993.61,22.4,22.4,270.808
-12000,13950,14134.228,21.96,21.96,267.974
-12110,14060,14275.465,21.98,21.98,258.826
-12230,14180,14417.923,22.01,22.01,241.559
-12440,14390,14638.356,22.13,22.13,266.662
-12740,14690,14941.233,21.91,21.91,315.156
