depth (cm),depth_top (mm),depth_bot (mm),age14C (bp),age_error (1s),cal_age_range_young (bp),cal_age_range_old (bp),thickness (mm),age_type (),lab_id ()
0.25,0,5,575,30,648,530,5,1,1
22.75,225,230,2725,35,2919,2756,5,1,4
41.75,415,420,3680,35,4144,3903,5,1,7
44.75,445,450,3010,35,3335,3078,5,1,2
59.75,595,600,5990,35,6444,6298,5,1,8
75.75,755,760,9290,50,10648,10285,5,1,5
96.25,960,965,10110,60,11981,11401,5,1,6
118.75,1185,1190,11280,70,13331,12961,5,1,3
