year (AD),age (BP),clay (layers/200yrs)
1900,50,-2.73
1850,100,-0.83
1800,150,-0.92
1750,200,-0.86
1700,250,0.07
1650,300,1.13
1600,350,1.29
1550,400,1.39
1500,450,0.58
1450,500,0.75
1400,550,0.81
1350,600,1.81
1300,650,1.86
1250,700,-0.1
1200,750,1.95
1150,800,0
1100,850,-1.81
1050,900,-0.67
1000,950,-2.48
950,1000,-2.33
900,1050,-0.48
850,1100,-1.9
800,1150,-1.38
750,1200,-2
700,1250,-2.76
650,1300,-2.43
600,1350,-5.19
550,1400,-4.9
500,1450,-6.29
450,1500,-6.38
400,1550,-0.38
350,1600,5.67
300,1650,7.62
250,1700,10.52
200,1750,11.29
150,1800,11.05
100,1850,10.86
50,1900,7.57
0,1950,1.52
-50,2000,-6.62
-100,2050,-8.86
-150,2100,-7.81
-200,2150,-6.67
-250,2200,-4.33
-300,2250,-0.81
-350,2300,-0.19
-400,2350,0.52
-450,2400,1.24
-500,2450,-2.05
-550,2500,-0.71
-600,2550,1.24
-650,2600,1.19
-700,2650,5.05
-750,2700,2.86
-800,2750,1.62
-850,2800,0.43
-900,2850,-1.81
-950,2900,-1.86
-1000,2950,-4.71
-1050,3000,-2.71
-1100,3050,-2.67
-1150,3100,-4.57
-1200,3150,-1.48
-1250,3200,0.71
-1300,3250,3.86
-1350,3300,5.95
-1400,3350,6.95
-1450,3400,2.95
-1500,3450,-1
-1550,3500,-2.05
-1600,3550,-2
-1650,3600,-1.05
-1700,3650,-1.24
-1750,3700,0.57
-1800,3750,-0.52
-1850,3800,-0.43
-1900,3850,0.81
-1950,3900,-0.86
-2000,3950,-1.67
-2050,4000,-2.67
-2100,4050,-2.71
-2150,4100,-0.81
-2200,4150,0.14
-2250,4200,3.1
-2300,4250,3.14
-2350,4300,2.29
-2400,4350,1.38
-2450,4400,0.57
-2500,4450,-0.38
-2550,4500,-0.38
-2600,4550,-0.43
-2650,4600,0.33
-2700,4650,0.33
-2750,4700,0.29
-2800,4750,0.48
-2850,4800,-2.19
-2900,4850,-0.9
-2950,4900,-1.52
-3000,4950,-0.24
-3050,5000,0.1
-3100,5050,0.43
-3150,5100,4.76
-3200,5150,2.14
-3250,5200,4.48
-3300,5250,2.81
-3350,5300,0.1
-3400,5350,0.19
-3450,5400,-2.67
-3500,5450,-1.57
-3550,5500,-3.38
-3600,5550,-3.19
-3650,5600,-3
-3700,5650,-2.67
-3750,5700,-1.48
-3800,5750,-1.14
-3850,5800,0.1
-3900,5850,1.1
-3950,5900,1.1
-4000,5950,1
-4050,6000,-0.05
-4100,6050,-0.1
-4150,6100,-0.19
-4200,6150,0.62
-4250,6200,0.48
-4300,6250,-0.62
-4350,6300,-0.71
-4400,6350,1.33
-4450,6400,1.43
-4500,6450,0.52
-4550,6500,0.67
-4600,6550,-1.29
-4650,6600,-0.24
-4700,6650,1.86
-4750,6700,1
-4800,6750,1.14
-4850,6800,1.24
-4900,6850,-0.67
-4950,6900,-0.48
-5000,6950,-0.29
-5050,7000,-1.14
-5100,7050,0
-5150,7100,0.05
-5200,7150,-0.81
-5250,7200,-0.57
-5300,7250,-0.43
-5350,7300,-0.29
-5400,7350,-0.24
-5450,7400,-0.29
-5500,7450,-0.29
-5550,7500,-0.33
-5600,7550,-0.35
-5650,7600,-0.32
-5700,7650,-1.28
-5750,7700,-1.29
-5800,7750,-0.31
-5850,7800,-0.33
-5900,7850,1.64
-5950,7900,1.62
-6000,7950,0.58
-6050,8000,1.55
