year (AD),age (BP),age (BP),temperature (degC),Uk37 (missing),ageUncertainty (yr)
492.5,1457.5,1491.892,19.985,0.703,298.35
-772,2722,2759.384,20.186,0.709,222.799
-1747,3697,3713.671,19.649,0.691,256.158
-2523.6,4473.6,4458.548,20.136,0.707,158.557
-3002.6,4952.6,4900.906,19.88,0.699,179.527
-3502.2,5452.2,5399.294,20.597,0.723,180.336
-4032.7,5982.7,5984.166,20.476,0.719,199.779
-4422.396,6372.396,6402.693,20.766,0.728,117.737
-4600.887,6550.887,6583.273,20.618,0.723,190.666
-4779.377,6729.377,6762.481,20.316,0.713,232.587
-4957.868,6907.868,6941.049,20.58,0.722,258.594
-5136.358,7086.358,7119.168,20.551,0.721,273.129
-5314.849,7264.849,7296.908,20.722,0.727,277.922
-5493.34,7443.34,7474.285,20.464,0.718,273.427
-5671.83,7621.83,7651.274,20.682,0.726,259.106
-5850.321,7800.321,7827.79,20.172,0.709,233.092
-6028.811,7978.811,8003.595,20.134,0.707,190.548
-6272.98,8222.98,8246.455,20.138,0.708,109.845
-6310.455,8260.455,8289.794,20.53,0.72,130.891
-6347.929,8297.929,8332.784,20.91,0.733,147.048
-6385.404,8335.404,8375.59,20.974,0.735,159.835
-6422.879,8372.879,8418.271,20.51,0.72,170.029
-6460.354,8410.354,8460.856,20.602,0.723,178.086
-6497.828,8447.828,8503.361,20.92,0.733,184.293
-6535.303,8485.303,8545.795,20.58,0.722,188.842
-6572.778,8522.778,8588.164,20.996,0.736,191.855
-6610.253,8560.253,8630.472,20.673,0.725,193.41
-6647.727,8597.727,8672.72,21.048,0.738,193.551
-6685.202,8635.202,8714.907,20.93,0.734,192.286
-6722.677,8672.677,8757.03,20.723,0.727,189.596
-6760.152,8710.152,8799.084,20.206,0.71,185.43
-6797.626,8747.626,8841.06,20.384,0.716,179.697
-6835.101,8785.101,8882.944,20.931,0.734,172.259
-6872.576,8822.576,8924.709,20.916,0.733,162.915
-6910.051,8860.051,8966.307,20.856,0.731,151.368
-6947.525,8897.525,9007.609,20.839,0.731,137.208
-6985,8935,9047.302,20.802,0.729,121.036
-7000.459,8950.459,9067.57,21.126,0.74,124.554
-7015.918,8965.918,9086.503,20.649,0.724,128.837
-7031.378,8981.378,9105.191,20.65,0.724,132.674
-7046.837,8996.837,9123.74,21.24,0.744,135.976
-7062.296,9012.296,9142.19,20.796,0.729,138.724
-7093.214,9043.214,9178.872,20.792,0.729,142.571
-7108.673,9058.673,9197.123,20.814,0.73,143.675
-7124.133,9074.133,9215.321,21.282,0.745,144.234
-7139.592,9089.592,9233.467,21.042,0.737,144.241
-7155.051,9105.051,9251.563,21.251,0.744,143.686
-7170.51,9120.51,9269.606,21.601,0.756,142.553
-7185.969,9135.969,9287.595,21.393,0.749,140.815
-7201.429,9151.429,9305.524,21.115,0.74,138.439
-7216.888,9166.888,9323.383,21.451,0.751,135.376
-7232.347,9182.347,9341.159,21.322,0.747,131.559
-7247.806,9197.806,9358.824,21.523,0.753,126.892
-7263.265,9213.265,9376.32,20.797,0.729,121.227
-7278.724,9228.724,9393.465,20.726,0.727,114.281
-7327.2,9277.2,9445.922,21.171,0.742,132.234
-7425.2,9375.2,9549.539,20.805,0.73,173.503
-7523.2,9473.2,9652.255,20.767,0.728,201.653
-7621.2,9571.2,9754.573,20.761,0.728,221.792
-7719.2,9669.2,9856.628,20.766,0.728,236.007
-7817.2,9767.2,9958.478,20.548,0.721,245.35
-7915.2,9865.2,10060.15,21.197,0.743,250.386
-8013.2,9963.2,10161.657,20.449,0.718,251.392
-8111.2,10061.2,10262.999,19.634,0.691,248.439
-8209.2,10159.2,10364.167,20.821,0.731,241.404
-8307.2,10257.2,10465.137,21.159,0.741,229.949
-8405.2,10355.2,10565.86,21.277,0.745,213.42
-8503.2,10453.2,10666.223,22.033,0.77,190.613
-8601.2,10551.2,10765.87,21.757,0.761,159.224
-8749.6,10699.6,10905.111,21.278,0.745,166.033
-8973.6,10923.6,11102.239,21.311,0.746,219.385
-9197.6,11147.6,11297.915,20.957,0.735,251.44
-9421.6,11371.6,11492.886,21.346,0.747,269.491
-9645.6,11595.6,11687.334,20.438,0.717,276.186
-9869.6,11819.6,11881.306,19.228,0.678,272.315
-10093.6,12043.6,12074.773,19.015,0.671,257.391
-10317.6,12267.6,12267.59,17.213,0.611,229.295
-10541.6,12491.6,12459.231,17.99,0.637,182.25
-10803.891,12753.891,12721.375,15.004,0.538,198.245
-11123.618,13073.618,13088.437,19.179,0.676,290.268
-11443.345,13393.345,13453.667,19.162,0.675,346.755
-11763.073,13713.073,13818.051,18.673,0.659,383.585
-12082.8,14032.8,14181.847,18.791,0.663,406.143
-12402.527,14352.527,14545.152,18.647,0.658,416.782
-12722.255,14672.255,14907.997,18.279,0.646,416.462
