year (AD),age (BP),temperature (degC),d18O (permil),d18Osw-sl-g.rubw (permil)
1540,410,29.91,-2.99,0.41
1510,440,28.74,-2.85,0.31
1490,460,28.61,-2.98,0.14
1460,490,29.51,-3.07,0.24
1440,510,28.92,-3.1,0.09
1410,540,28.46,-3.19,-0.09
1370,580,29.41,-3.03,0.27
1320,630,29.73,-3.12,0.24
1270,680,29.09,-3.21,0.01
1230,720,29.2,-3.1,0.15
1180,770,30.85,-3.22,0.37
1140,810,30.03,-3.1,0.32
1080,870,29.59,-3.29,0.05
1030,920,29.52,-3.18,0.13
980,970,29.25,-3.24,0.02
930,1020,30.12,-3.3,0.14
870,1080,29.63,-3.23,0.11
820,1130,29.72,-3.13,0.23
770,1180,29.27,-3.37,-0.11
710,1240,29.5,-3.14,0.17
660,1290,29.24,-3.09,0.17
610,1340,29.59,-3.27,0.06
560,1390,29.35,-2.95,0.33
500,1450,29.15,-3.08,0.16
450,1500,29.7,-3.16,0.19
390,1560,29.04,-3.16,0.05
340,1610,29.26,-3.14,0.12
290,1660,29.07,-3.13,0.09
230,1720,29.44,-3.06,0.24
180,1770,29.31,-3.23,0.04
120,1830,29.07,-3.08,0.14
70,1880,29.11,-3.25,-0.02
10,1940,29.48,-3.21,0.09
-20,1970,29.31,-2.92,0.36
-60,2010,29.64,-3.23,0.11
-90,2040,29.57,-3.25,0.08
-120,2070,30.15,-3.1,0.34
-160,2110,29.43,-3.11,0.19
-190,2140,29.35,-3.26,0.02
-230,2180,29.58,-3.17,0.16
-260,2210,29.08,-3.16,0.06
-300,2250,30.06,-3.23,0.2
-330,2280,29.5,-3.41,-0.1
-390,2340,29.62,-3.18,0.15
-440,2390,28.98,-3.1,0.1
-500,2450,29.44,-3.08,0.22
-550,2500,29.84,-3.05,0.33
-610,2560,30.44,NA,NA
-670,2620,30.24,-3.14,0.32
-730,2680,28.82,-3.1,0.06
-780,2730,29.15,-3.25,-0.02
-840,2790,28.8,-3.11,0.05
-900,2850,29.45,-3.11,0.18
-950,2900,29.92,-2.96,0.44
-1000,2950,28.92,-3,0.18
-1060,3010,29.5,-3.14,0.17
-1110,3060,29.28,-3.03,0.23
-1170,3120,29.22,-3.13,0.11
-1220,3170,28.79,-3.14,0.01
-1270,3220,28.81,-3.3,-0.14
-1330,3280,29.07,-3.01,0.2
-1390,3340,29.44,-3.1,0.19
-1450,3400,29.15,-3.19,0.04
-1510,3460,28.85,-3.27,-0.1
-1570,3520,28.82,-3.37,-0.21
-1640,3590,29.1,-2.97,0.25
-1700,3650,29.11,-3.31,-0.09
-1760,3710,29.23,-3.18,0.07
