depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (age_error),cal_age_range_old (bp),cal_age_range_young (2_s),thickness (mm),age_type (),lab_id (),material_dated ()
5.5,40,70,605,70,710,480,30,1,1,5
22.5,220,230,775,65,757,613,10,1,6,7
48.5,480,490,1725,65,1826,1490,10,1,2,8
75.5,750,760,2555,105,2748,2724,10,1,7,10
113.5,1130,1140,3495,65,3782,3756,10,1,11,6
137.5,1370,1380,4615,75,5352,5280,10,1,8,8
173.5,1730,1740,5620,85,6590,6220,10,1,3,9
210.5,2100,2110,7225,115,8527,7459,10,1,9,3
226.5,2260,2270,7730,90,8683,8313,10,1,4,4
247.5,2470,2480,8110,120,9469,8581,10,1,10,1
265.5,2650,2660,8765,110,10427,9245,10,1,5,2
