depth (cm),age (BP),dD (permil),JASPrecipPercent (percent),dD (permil),d13C (permil),JASerror (missing)
9,1460,-150.6,78.251,-150.69,-24.532,7.964
12,1653.9,-155.53,69.339,-155.66,-24.527,7.961
18,2060.4,-153.99,68.373,-154.15,-25.992,7.965
21,2252.1,-158.18,64.345,-158.26,-24.422,8.009
26,2561.1,-156.87,65.198,-156.83,-25.099,7.99
30,2775.5,-156.56,65.555,-156.43,-25.225,8.062
36,3218.1,-159.75,59.949,-159.52,-24.855,8.096
40,3582,-164.42,52.341,-164.17,-24.454,8.33
45,4017.8,-160.03,58.845,-159.77,-25.338,8.017
48,4270.2,-165.97,49.703,-165.75,-24.332,8.384
51,4547.2,-158.39,62.966,-158.21,-24.911,8.285
57,5113.7,-160.94,58.583,-160.8,-24.612,8.246
60,5382.2,-163.54,54.232,-163.32,-24.585,8.247
65,5844.2,-158.61,63.349,-158.27,-24.159,8.07
70,6289.8,-158.49,63.478,-158.07,-24.307,8.057
77,6865.5,-156.84,66.468,-156.33,-24.53,7.845
81,7307.9,-153,72.851,-152.41,-25.109,7.96
84,7670.5,-155.09,71.043,-154.43,-23.982,7.984
86,7926.3,-164.01,53.9,-163.31,-24.077,8.275
90,8409.1,-162.18,54.845,-161.53,-25.252,8.27
96,9107.3,-154.51,70.256,-153.88,-24.876,8.062
98,9353.9,-156.63,66.734,-155.88,-24.64,8.036
101,9642.9,-156.92,62.589,-156.01,-26.299,8.114
104,9979.4,-156.26,64.601,-155.18,-25.861,8.164
108,10436,-154.87,70.619,-153.64,-24.279,7.983
111,10786,-161.86,57.174,-160.53,-24.218,8.117
114,11135,-155.52,65.722,-153.95,-25.97,7.898
117,11490,-154.91,69.565,-152.91,-25.022,7.842
120,11854,-157.75,64.767,-155.32,-24.554,7.975
122,12081,-161.14,58.257,-158.5,-24.53,8.197
124,12319,-153.77,72.263,-150.99,-24.648,7.887
127,12661,-159.43,59.373,-156.49,-25.583,8.152
129,12901,-162.15,53.35,-159.09,-26.002,8.246
131,13156,-160.03,61.683,-156.78,-24.219,8.11
134,13509,-157.92,64.328,-154.37,-24.572,8.053
136,13758,-158.85,60.103,-155.1,-25.683,8.121
140,14189,-160.72,52.207,-156.62,-27.156,8.275
143,14473,-156.02,68.505,-151.68,-24.326,7.927
146,14663,-160.83,58.057,-156.35,-24.864,8.203
150,14883,-164.08,52.474,-159.45,-24.948,8.495
153,15036,-158.95,60.519,-154.17,-25.601,8.13
158,15285,-163.33,54.397,-158.33,-24.563,8.45
163,15535,-162.68,55.873,-157.43,-24.642,8.171
168,15779,-163.39,53.36,-157.9,-24.947,8.293
173,16000,-160.85,59.546,-155.14,-24.143,8.098
178,16205,-165.05,52.453,-159.27,-24.02,8.308
184,16453,-162.33,56.468,-156.41,-24.639,8.341
189,16660,-161.1,56.921,-155.06,-25.294,8.104
195,16909,-161.49,55.813,-155.34,-25.622,8.225
201,17160,-162.27,55.756,-155.99,-25.046,8.401
206,17378,-165.1,51.027,-158.73,-24.493,8.354
211,17593,-165.28,50.976,-158.8,-24.423,8.383
217,17869,-170.62,38.921,-164.03,-25.324,9.297
222,18090,-167.36,44.012,-160.7,-25.642,8.898
227,18316,-164.23,52.728,-157.6,-24.381,8.196
232,18543,-164.52,48.86,-157.94,-26.082,8.42
238,18822,-161.02,58.794,-154.48,-24.653,8.104
243,19054,-171.34,40.036,-164.91,-24.283,9.052
249,19330,-165.27,50.806,-158.77,-24.412,8.451
254,19563,-169.71,43.148,-163.21,-24.294,8.88
259,19787,-163.65,53.195,-157.08,-25.032,8.193
265,20065,-168.61,42.914,-162.08,-25.444,8.889
270,20298,-163.7,55.564,-157.2,-23.674,8.327
275,20532,-169.27,42.976,-162.88,-24.631,8.952
280,20768,-171.26,37.078,-164.96,-25.674,9.029
286,21048,-172.69,37.158,-166.47,-24.459,9.104
291,21282,-167.97,45.153,-161.74,-24.883,8.744
296,21519,-167.87,44.848,-161.66,-24.968,8.691
300,21707,-167.49,46.286,-161.31,-24.723,8.383
302,21805,-171.81,39.036,-165.67,-24.166,8.98
307,22032,-175.9,30.696,-169.81,-24.92,9.646
312,22267,-169.8,41.757,-163.68,-24.911,8.94
317,22504,-169.18,40.228,-163.08,-26.116,8.794
323,22775,-173.08,35.429,-167.03,-25.058,9.269
328,23012,-168.87,43.296,-162.81,-25.171,9.033
334,23285,-168.2,43.932,-162.17,-25.107,8.661
339,23521,-172.81,37.641,-166.87,-23.98,9.201
344,23752,-166.82,48.307,-160.88,-24.345,8.601
350,24030,-178.85,24.719,-173.04,-24.782,10.007
355,24266,-172.88,36.499,-167.02,-24.612,9.081
