depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
710,47,7.514,-8.186,-0.957,1069.571
715,141,7.514,-8.186,-0.957,1069.571
721,254,7.771,-6.243,0.23,1184.714
725,329,7.629,-11.129,-2.442,941
730,423,7.871,-10.157,-1.794,996.429
740,610,7.671,-8.071,-0.813,1060.571
750,798,7.329,-10.071,-2.092,846
760,986,7.9,-6.8,-0.015,1193.571
770,1173,7.571,-8.043,-0.888,1169.571
780,1361,8.071,-8.971,-1.024,1096.714
790,1548,7.786,-7.157,-0.268,1192.286
800,1736,8.529,-12.1,-2.674,1010
810,1934,8.043,-8.871,-1.001,1211.429
820,2163,8.671,-15.743,-4.376,761.857
830,2393,8.057,-6.757,0.113,1137.143
840,2622,7.243,-9.614,-1.901,988.857
850,2852,7.929,-5.929,0.483,1340
860,3081,8.429,-15.443,-4.36,758.429
870,3311,7.771,-7.357,-0.355,1141.714
880,3540,8.414,-12.114,-2.573,953.857
885,3655,7.729,-7.057,-0.219,1229
890,3770,7.443,-8.657,-1.283,1115.429
893,3839,7.957,-10.243,-1.807,1021.429
900,3999,9.457,-11.757,-1.623,945.143
905,4114,7.757,-11.429,-2.577,921.143
910,4229,7.886,-10.086,-1.767,1086.714
915,4343,7.957,-10.243,-1.807,1021.429
920,4458,7.686,-6.9,-0.164,1284.571
925,4569,7.686,-6.9,-0.164,1284.571
930,4675,7.686,-6.9,-0.164,1284.571
935,4781,8.114,-8.814,-0.969,1219.714
940,4887,7.757,-11.2,-2.425,894.857
950,5100,10.714,-17.214,-3.999,774.571
960,5313,10.714,-17.214,-3.999,774.571
970,5525,7.8,-5.986,0.381,1416.286
980,5738,7.957,-10.243,-1.807,1021.429
990,5950,10.714,-17.214,-3.999,774.571
1000,6163,9.457,-11.529,-1.47,918.857
1010,6360,7.771,-7.357,-0.355,1141.714
1020,6513,8.114,-8.814,-0.969,1219.714
1030,6666,8.086,-9.043,-1.021,992.857
1041,6835,7.157,-10.143,-2.127,1055
1051,6988,7.914,-9.986,-1.66,1019.571
1061,7141,8.214,-5.543,0.871,1249
1070,7279,7.729,-6.7,-0.023,1183.571
