depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
1,18,18.229,-15.457,2.58,787
10,211,18.229,-15.457,2.58,787
17,360,18.229,-15.457,2.58,787
26,553,18.229,-15.457,2.58,787
34,725,18.229,-15.457,2.58,787
43,919,17.886,-13.3,3.027,894.571
54,1157,18.229,-15.457,2.58,787
60,1287,18.257,-14.643,2.911,784.857
70,1505,17.343,-15.243,2.057,965
80,1725,17.943,-15.186,2.52,853.857
90,1946,17.343,-14.671,2.22,976.429
100,2169,17.871,-12.714,3.249,890.857
110,2394,18.071,-12.686,3.43,894.429
120,2622,18.171,-14.329,2.862,813
130,2852,18.071,-12.814,3.379,894.857
140,3084,18.043,-12.914,3.327,894.143
150,3319,18.1,-13.5,3.196,879.857
160,3558,17.914,-12.6,3.308,893
170,3800,18.1,-13.386,3.246,879.286
180,4045,18.4,-12.6,3.726,882.714
190,4295,18.386,-13.229,3.402,826
200,4550,18.357,-12.529,3.586,841.143
210,4810,18.071,-12.814,3.379,894.857
220,5078,18.886,-13.6,3.646,792.857
230,5352,19.014,-13.129,3.899,809.714
240,5635,19.071,-13.6,3.776,810.714
250,5926,19.2,-12.371,4.344,821.286
260,6227,18.714,-13.257,3.626,827
270,6537,19.3,-12.814,4.235,803.143
280,6859,19.3,-12.814,4.235,803.143
290,7192,19.329,-12.414,4.404,811.571
300,7537,19.071,-13.6,3.776,810.714
310,7895,19.4,-13.471,4.051,785.571
320,8267,18.814,-14.657,3.299,772.714
330,8653,18.286,-14.029,3.1,797.571
340,9053,18.343,-13.957,3.227,769.571
350,9464,18.343,-13.957,3.227,769.571
360,9883,18.257,-14.643,2.911,784.857
370,10307,18.243,-16.157,2.321,763.286
380,10735,18.171,-15.157,2.656,784.857
