depth (cm) [1-1],age (BP) [1-1],temperature (degC) [1-1],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1]
0,-49.974,13.32,0,0,NA
4,470.207,13.789,2,210.871,4.69
8,978.321,14.165,4,470.207,5.035
12,1462.306,14.425,6,726.526,5.1
16,1910.094,14.059,8,978.321,5.276
20,2309.622,13.833,10,1224.084,6.459
28,2921.116,14.436,12,1462.306,5.354
32,3134.94,12.458,14,1691.479,4.692
38,3370.212,13.352,16,1910.094,5.202
42,3486.186,12.951,18,2116.645,5.737
46,3582.343,13.195,20,2309.622,5.333
50,3669.724,13.36,22,2487.518,6.303
54,3759.369,13.027,24,2648.831,5.25
58,3862.2,13.534,26,2792.972,6.302
62,3983.667,12.262,28,2921.116,5.647
66,4121.629,14.068,30,3034.646,6.302
70,4273.387,13.514,32,3134.94,5.313
74,4436.24,13.311,34,3223.379,5.716
82,4784.438,13.18,38,3296,6.171
86,4964.008,13.188,42,3370.212,5.721
90,5142.098,13.412,46,3486.186,4.761
94,5314.429,12.701,50,3582.343,6.651
98,5476.719,13.204,54,3669.724,5.798
102,5624.69,13.242,56,3759.369,5.275
106,5754.065,12.993,58,3808.492,5.73
110,5863.303,12.984,60,3862.2,5.284
114,5958.419,12.955,62,3920.703,5.436
118,6046.721,13.399,64,3983.667,5.932
122,6135.517,13.354,66,4050.755,4.993
126,6230.585,12.23,70,4121.629,6.238
130,6333.488,13.96,74,4273.387,5.478
134,6445.065,13.004,78,4436.24,6.143
138,6566.156,12.895,80,4607.491,4.692
142,6697.601,13.144,82,4695.421,5.359
146,6840.238,13.152,84,4784.438,6.047
150,6994.908,12.75,86,4874.14,5.937
154,7162.45,11.72,88,4964.008,5.782
158,7343.703,13.14,90,5053.506,6.684
162,7539.507,13.703,92,5142.098,6.623
164,7643.128,12.537,94,5229.251,5.763
170,7978.123,13.043,96,5314.429,5.327
172,8097.793,12.106,98,5397.097,6.036
173,8158.77,13.187,100,5476.719,6.332
174,8220.322,13.389,102,5552.762,5.725
176,8344.604,11.619,104,5624.69,5.651
178,8469.533,12.049,106,5691.968,6.101
180,8594.003,11.443,108,5754.065,6.698
182,8716.909,13.106,110,5810.907,6.335
186,8954.761,11.912,112,5863.303,6.377
190,9182.16,12.624,114,5912.17,6.25
194,9400.623,11.423,116,5958.419,5.94
200,9714.891,11.588,118,6002.965,5.282
202,9816.827,11.87,122,6046.721,6.024
206,10017.61,10.891,126,6135.517,6.445
212,10313.91,12.518,130,6230.585,5.908
216,10510.35,11.4,134,6281,6.105
220,10706.78,9.435,138,6333.488,6.178
NA,NA,NA,142,6445.065,6.576
NA,NA,NA,146,6505,5.756
NA,NA,NA,150,6566.156,6.248
NA,NA,NA,154,6697.601,5.805
NA,NA,NA,158,6840.238,5.805
NA,NA,NA,160,6994.908,6.061
NA,NA,NA,162,7162.45,5.609
NA,NA,NA,164,7343.703,5.833
NA,NA,NA,166,7439.734,5.284
NA,NA,NA,167,7539.507,5.73
NA,NA,NA,168,7643.128,5.135
NA,NA,NA,169,7750.702,5.115
NA,NA,NA,170,7806.004,4.128
NA,NA,NA,171,7862.333,5.224
NA,NA,NA,172,7919.703,4.513
NA,NA,NA,173,7978.123,3.991
NA,NA,NA,174,8037.532,5.266
NA,NA,NA,176,8097.793,5.898
NA,NA,NA,178,8158.77,5.532
NA,NA,NA,180,8220.322,4.936
NA,NA,NA,182,8344.604,5.455
NA,NA,NA,184,8469.533,4.812
NA,NA,NA,186,8594.003,4.402
NA,NA,NA,188,8716.909,5.734
NA,NA,NA,190,8837.236,5.602
NA,NA,NA,192,8954.761,5.124
