depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
2.5,14,4.657,-32.614,-15.76,152.286
7.5,141,5.886,-30.929,-13.904,137.143
12.5,333,5.829,-29.671,-13.235,171
17.5,451,6.114,-28.929,-12.614,170.857
21,519,6.029,-27,-11.425,149.714
25,586,6.286,-26.914,-11.264,154.857
30,668,7.329,-21.786,-8.104,327.429
35,763,7.329,-21.786,-8.104,327.429
40,882,7.571,-21.457,-7.837,360.571
45,1012,7.186,-27.3,-11.061,179.286
50,1155,5.814,-26.729,-11.394,181.143
55,1275,5.814,-26.729,-11.394,181.143
61,1399,6.386,-26.986,-11.243,139.571
65,1497,5.914,-26.971,-11.448,139.714
70,1650,5.314,-31.557,-14.605,136.571
75,1802,5.914,-27.886,-12.333,228
80,1942,7.343,-21.771,-8.085,327
85,2093,7.343,-21.771,-8.085,327
90,2265,6.143,-27,-11.293,143.714
95,2389,6.686,-27.071,-11.096,152.571
100,2619,7.243,-26.657,-10.765,180.286
105,2869,7.643,-26.614,-10.574,189.571
109,3166,7.8,-27.543,-10.881,142.857
115,3520,7.9,-27.6,-10.882,147.571
120,3853,6.8,-26.871,-11.054,179.571
125,4223,6.643,-24.371,-9.768,259.857
130,4580,7.986,-27.086,-10.465,148.286
135,4921,8.2,-27.071,-10.385,150
140,5346,6.314,-23.814,-9.643,264.143
145,5621,7.457,-18.529,-6.346,432.143
150,5901,8.329,-23.657,-8.626,249.714
155,6223,7.557,-20.657,-7.48,355.143
161,6518,7.857,-22.186,-8.169,525.571
165,6769,6.443,-25,-10.357,455
170,7126,6.229,-28.914,-12.549,178
175,7392,7.6,-24.3,-9.312,270.571
180,7595,7.343,-22.486,-8.524,419
185,7833,7.6,-21.471,-7.831,345.857
190,7912,6.386,-26.743,-11.145,182.571
195,7985,7.629,-21.329,-7.75,332.429
200,8060,6.071,-25.986,-10.676,212
205,8147,6.957,-20.871,-7.818,356.857
209.5,8232,5.929,-26.029,-10.755,208.429
215,8323,7.643,-18.286,-6.15,415.857
220,8393,6.386,-26.743,-11.145,182.571
225,8460,7.014,-21.214,-7.956,322.714
230,8528,6.457,-27.043,-11.251,148.571
235,8606,6.257,-27.714,-11.656,132.286
239.5,8701,6.814,-26.357,-10.682,156.571
245,8913,7.629,-21.171,-7.663,325.714
250,9019,6.129,-26.071,-10.856,188.143
255,9108,6.757,-23.143,-9.05,281.286
260,9232,6.229,-25.671,-10.208,212.143
265,9367,6.857,-22.743,-8.402,305.286
270,9440,6.157,-25.343,-10.089,246.714
275,9497,6.629,-23.429,-9.068,267
280,9553,6.029,-25.829,-10.354,234
285,9619,6.629,-23.429,-9.068,267
290,9716,6.386,-26.743,-11.145,182.571
295,9880,6.614,-26.771,-10.99,186.571
300,10097,7.314,-19.514,-6.786,719
305,10183,7.357,-23.986,-9.285,263.143
