depth (cm),age (yr bp),error (yr),type ()
8.5,1690,35,AMS14C
20.5,2380,25,AMS14C
32.5,5085,35,AMS14C
44.5,6790,35,AMS14C
56.5,7315,30,AMS14C
84.5,7735,30,AMS14C
96.5,8780,60,AMS14C
116.5,9290,30,AMS14C
216.5,10990,45,AMS14C
244.5,11400,120,AMS14C
388.5,12700,60,AMS14C
