depth (cm),ageType (unitless),labID (unitless),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (unitless),notes (unitless)
22.5,Carbon-14,110624,115,520,gyttja,NA
50,Carbon-14,110625,90,890,gyttja,NA
182.5,Carbon-14,110626,125,2140,gyttja,NA
332.5,Carbon-14,110627,105,4035,gyttja,NA
452.5,Carbon-14,110628,105,4860,gyttja,NA
702.5,Carbon-14,110629,340,7645,gyttja,NA
863.5,Carbon-14,110630,190,12350,gyttja,NA
