depth (cm),depth_bot (mm),depth_top (mm),age14C (bp),age_error (1s),thickness (mm),age_type (),material_dated ()
898.5,8980,8990,825,60,10,1,1
946.5,9460,9470,1385,60,10,1,1
970.5,9700,9710,2070,60,10,1,1
994,9890,9990,2690,60,100,1,1
1053.5,10530,10540,3540,60,10,1,1
1099.75,10995,11000,6365,55,5,1,1
1153.75,11535,11540,7805,70,5,1,1
1169.75,11695,11700,9415,65,5,1,1
