year (AD),age (BP),seaIceDiatoms (missing)
887.18,1062.82,35.818
846.49,1103.51,37.674
796.71,1153.29,31.97
755.93,1194.07,19.049
692.64,1257.36,21.662
651.98,1298.02,26.954
566.1,1383.9,32.66
489.29,1460.71,43.107
416.89,1533.11,35.41
267.73,1682.27,44.278
204.49,1745.51,54.588
86.79,1863.21,35.139
-17.18,1967.18,40.225
-125.92,2075.92,8.062
-184.59,2134.59,25.382
-229.67,2179.67,47.925
-279.41,2229.41,47.926
-446.87,2396.87,25.866
-537.36,2487.36,17.206
-695.55,2645.55,29.854
-908.16,2858.16,17.348
-1084.44,3034.44,29.514
-1287.96,3237.96,24.293
-1414.52,3364.52,33.16
-1595.46,3545.46,23.265
-1622.61,3572.61,20.585
-1654.28,3604.28,17.699
-1717.59,3667.59,17.356
-1749.21,3699.21,23.541
-1780.95,3730.95,10.002
-1794.47,3744.47,16.188
-1853.24,3803.24,18.732
-1884.9,3834.9,17.976
-1916.49,3866.49,28.354
-1957.18,3907.18,28.423
-1984.35,3934.35,23.75
-2034.01,3984.01,36.259
-2088.39,4038.39,18.047
-2160.72,4110.72,21.071
-2228.58,4178.58,16.123
-2273.8,4223.8,16.124
-2386.87,4336.87,14.063
-2581.29,4531.29,16.745
-2653.7,4603.7,8.911
-2843.56,4793.56,17.435
-2929.39,4879.39,31.044
-3055.92,5005.92,44.654
-3160.01,5110.01,30.978
-3282.1,5232.1,30.979
-3386.12,5336.12,29.812
-3458.48,5408.48,27.682
-3539.89,5489.89,25.071
-3603.15,5553.15,32.494
-3729.79,5679.79,29.815
-3874.58,5824.58,15.521
-3942.37,5892.37,22.395
-4005.68,5955.68,22.189
-4118.68,6068.68,28.651
-4272.46,6222.46,23.704
-4344.79,6294.79,27.416
-4426.22,6376.22,21.712
-4475.95,6425.95,23.568
-4598.06,6548.06,21.714
-4697.53,6647.53,23.227
-4774.43,6724.43,18.829
-4878.47,6828.47,14.431
-4932.62,6882.62,31.339
