age (bp),depth (cm),depth_top (mm),depth_bot (mm),lab_id (),age14C (bp),age_error (1s),cal_age_error (2s),thickness (mm),age_type (),material_dated ()
10,NA,0,NA,NA,NA,NA,NA,NA,2,1
170,18,160,200,11769,170,35,140,40,1,2
570,89,880,900,11770,550,40,50,20,1,3
2800,194,1930,1950,11771,2700,35,40,20,1,3
3330,281,2800,2820,11772,3140,35,60,20,1,3
5080,479,4780,4800,11773,4450,60,200,20,1,3
9120,577.5,5760,5790,11774,8120,70,120,30,1,2
1100,650.5,6500,6510,11058,9710,90,200,10,1,2
