depth (cm) [1-1],age (BP) [1-1],BSi (percent) [1-1],OM (percent) [1-1],carbonate (percent) [1-1],MS (si) [1-1],depth (cm) [2-1],age (BP) [2-1],temperature (degC) [2-1],precipitation (missing) [2-1]
0,-51,NA,57.031,-5.469,999.99,1,-48.984,5.874,143.129
0.5,-49.992,NA,51.435,1.196,999.99,7,-30.004,5.903,138.94
1,-48.984,NA,51.863,1.863,999.99,8.5,-23.661,5.742,129.32
1.5,-47.976,NA,51.274,0,999.99,13.5,15.903,5.536,128.322
2,-46.969,NA,51.559,1.918,999.99,18.5,62.921,4.885,143.244
2.5,-45.961,NA,55.987,0.971,999.99,26,255.522,5.717,141.86
3,-44.953,NA,53.887,1.072,999.99,32.5,519.923,5.956,144.402
3.5,-43.964,NA,52.381,0.595,999.99,38.75,820.966,5.83,135.819
4,-42.975,NA,53.035,0.958,999.99,42.5,910.737,5.864,132.431
4.5,-41.41,NA,52.754,0,999.99,48.75,1060.36,5.87,139.034
5,-39.844,NA,51.36,1.813,999.99,57.5,1269.82,5.621,136.138
5.5,-35.511,NA,52.116,2.381,999.99,68.5,1533.15,5.798,140.933
6,-32.75,NA,52.665,0.94,999.99,75.5,1668.22,4.955,150.82
6.5,-32.321,NA,57,1.333,999.99,84.5,1810.44,4.554,149.992
7,-30.003,NA,49.53,4.075,999.99,95.5,1984.28,5.557,127.859
7.5,-27.924,NA,51.884,2.319,999.99,104.5,2126.5,5.401,135.676
8,-25.845,NA,49.749,2.261,999.99,115.5,2300.34,5.783,131.385
8.5,-23.661,NA,49.311,2.863,999.99,125.5,2458.37,5.689,140.322
9,-21.478,NA,49.884,2.552,999.99,135.5,2616.4,5.391,139.91
9.5,-14.088,NA,50.839,2.158,999.99,145.5,2774.43,5.521,130.162
10,-6.7,NA,48.913,2.174,999.99,150.75,2857.39,5.594,139.189
10.5,-2.935,NA,50.141,1.69,999.99,160.75,3015.42,5.475,132.405
11,0.833,NA,48.795,2.41,999.99,175.5,3252.47,5.708,142.407
11.5,4.6,NA,49.465,2.406,999.99,188.75,3457.91,5.83,142.348
12,8.367,NA,49.351,3.117,999.99,193.4,3532.97,5.45,133.368
12.5,12.135,NA,48.762,2.723,999.99,203.5,3691,5.637,141.505
13,15.902,NA,48.449,2.864,999.99,208.5,3770,5.823,141.712
13.5,19.501,NA,47.059,3.641,999.99,213.5,3930.51,5.805,135.573
14,23.098,NA,47.449,2.551,999.99,218.5,4090.97,5.875,142.476
14.5,26.695,NA,46.556,3.581,999.99,223.5,4251.42,5.717,141.221
15,30.291,NA,43.015,3.563,999.99,228.5,4411.86,5.429,135.669
15.5,34.978,NA,46.099,1.891,999.99,233.5,4572.31,5.693,142.019
16,39.662,NA,43.315,2.985,999.99,238.5,4732.77,5.796,139.414
16.5,44.347,NA,45.221,2.797,999.99,243.5,4896.15,5.808,144.826
17,49.031,NA,42.593,2.74,999.99,248.75,5075.18,6.013,146.202
17.5,55.975,NA,44.492,1.944,999.99,253.5,5237.15,6.028,144.072
18,62.918,NA,40.915,2.213,999.99,258.75,5416.18,5.8,142.924
18.5,69.861,NA,42.822,2.676,999.99,263.5,5578.15,5.945,144.196
19,76.804,NA,39.451,2.564,-0.31,268.75,5757.18,5.856,143.614
19.5,85.88,NA,39.895,2.109,999.99,273.5,5919.15,5.887,140.728
20,94.97,7.448,36.546,2.61,-0.12,278.75,6098.18,5.915,142.37
20.5,104.061,NA,999.99,999.99,999.99,284.5,6294.25,5.92,142.549
21,113.151,NA,35.845,2.648,0.01,291.5,6532.95,5.728,141.905
21.5,133.218,NA,999.99,999.99,999.99,296.5,6644.84,5.963,144.158
22,153.27,NA,35.484,2.657,0.455,301.5,6750.16,5.907,143.442
22.5,173.322,NA,999.99,999.99,999.99,311.5,6960.8,5.763,143.926
23,193.375,NA,35.269,2.796,0.853,316.75,7100,5.729,143.928
24,233.48,NA,34.99,2.386,1.495,321.5,7309.26,5.852,142.7
25,273.585,NA,35.234,3.055,2.217,325.5,7485.48,5.993,147.398
26,313.69,NA,35.685,2.218,2.86,327.5,7573.59,6.024,146.484
27,353.795,NA,37.336,2.62,3.23,329.5,7661.69,5.919,142.573
28,393.9,NA,36.864,2.542,3.228,332.5,7793.85,6.015,145.878
29,434.005,NA,37.391,3.261,3.07,333.5,7993.46,5.897,143.492
30,474.11,5.869,38.776,3.628,2.842,335.5,7993.46,5.838,139.658
31,514.215,NA,37.383,3.738,2.585,336.75,8125.49,5.916,142.193
32,554.32,NA,35.699,4.384,2.385,337.5,8204.72,5.736,142.712
33,594.425,NA,38.938,1.549,2.203,339.5,8415.98,5.901,142.914
34,634.53,NA,40.179,2.679,2.25,340.75,8548.01,5.85,143.026
35,674.635,8.202,40.566,2.83,1.968,342.25,8706.46,5.804,142.776
36,714.74,NA,38.732,2.347,1.86,343.75,8864.91,5.974,147.19
37,754.845,NA,37.002,1.639,1.56,346.5,9155.39,5.941,145.972
38,794.95,NA,35.778,1.556,1.427,348.5,9366.65,5.973,143.486
39,826.951,NA,34.416,1.948,1.425,351.5,9571.4,5.913,142.816
40,850.89,6.745,34.716,1.528,1.468,361.5,9713.71,5.844,143.52
41,874.829,NA,34.404,1.606,1.59,366.75,9788.42,5.796,146.899
42,898.768,NA,34.667,1.778,1.585,371.5,9856.02,6.024,145.01
43,922.707,NA,36.117,1.354,1.508,376.75,9930.73,5.812,133.502
44,946.646,NA,35.99,0.966,1.45,382.5,10012.6,5.765,131.476
45,970.585,10.099,36.754,2.148,1.143,388.75,10101.5,4.294,143.424
46,994.524,NA,36.99,0.765,0.89,NA,NA,NA,NA
47,1018.463,NA,37.75,1.75,0.685,NA,NA,NA,NA
