year (AD),age (BP),MTWM (degC)
1950,0,18.96
1900,50,18.865
1850,100,18.772
1800,150,18.673
1750,200,18.566
1700,250,18.577
1650,300,18.621
1600,350,18.595
1550,400,18.556
1500,450,18.516
1450,500,19.117
1400,550,19.865
1350,600,19.912
1300,650,19.025
1250,700,18.509
1200,750,18.605
1150,800,18.925
1100,850,19.238
1050,900,19.483
1000,950,19.729
950,1000,19.613
900,1050,19.497
850,1100,19.278
800,1150,19.029
750,1200,19.042
700,1250,19.411
650,1300,19.781
600,1350,19.601
550,1400,19.375
500,1450,19.198
450,1500,19.169
400,1550,19.504
350,1600,19.839
300,1650,20.051
250,1700,20.071
200,1750,20.091
150,1800,20.162
100,1850,20.275
50,1900,20.387
0,1950,20.39
-50,2000,20.1
-100,2050,20.1
-150,2100,20.1
-200,2150,20.1
-250,2200,20.1
-300,2250,20.194
-350,2300,20.538
-400,2350,20.04
-450,2400,19.939
-500,2450,19.992
-550,2500,20.051
-600,2550,20.207
-650,2600,20.364
-700,2650,20.491
-750,2700,20.553
-800,2750,20.615
-850,2800,20.024
-900,2850,19.27
-950,2900,20.38
-1000,2950,20.577
-1050,3000,20.511
-1100,3050,20.444
-1150,3100,20.572
-1200,3150,20.705
-1250,3200,20.828
-1300,3250,20.909
-1350,3300,20.954
-1400,3350,20.988
-1450,3400,21.022
-1500,3450,21.055
-1550,3500,21.077
-1600,3550,21.087
-1650,3600,21.097
-1700,3650,21.107
-1750,3700,21.117
-1800,3750,21.127
-1850,3800,21.032
-1900,3850,20.943
-1950,3900,20.943
-2000,3950,20.943
-2050,4000,21.033
-2100,4050,21.094
-2150,4100,20.97
-2200,4150,21.022
-2250,4200,21.26
-2300,4250,21.557
-2350,4300,21.253
-2400,4350,21.239
-2450,4400,21.308
-2500,4450,21.359
-2550,4500,21.183
-2600,4550,21.006
-2650,4600,21.04
-2700,4650,21.378
-2750,4700,21.516
-2800,4750,21.52
-2850,4800,21.467
-2900,4850,21.415
-2950,4900,21.437
-3000,4950,21.458
-3050,5000,21.458
-3100,5050,21.423
-3150,5100,21.371
-3200,5150,21.366
-3250,5200,21.361
-3300,5250,21.354
-3350,5300,21.343
-3400,5350,21.332
-3450,5400,21.312
-3500,5450,21.289
-3550,5500,21.304
-3600,5550,21.444
-3650,5600,21.584
-3700,5650,21.595
-3750,5700,21.572
-3800,5750,21.545
-3850,5800,21.515
-3900,5850,21.475
-3950,5900,21.258
-4000,5950,21.042
-4050,6000,21.061
-4100,6050,21.162
-4150,6100,21.285
-4200,6150,21.493
-4250,6200,21.634
-4300,6250,21.376
-4350,6300,21.118
-4400,6350,21.322
-4450,6400,21.142
-4500,6450,21.079
-4550,6500,21.424
-4600,6550,21.705
-4650,6600,21.646
-4700,6650,21.587
-4750,6700,21.528
-4800,6750,21.364
-4850,6800,21.126
-4900,6850,21.408
-4950,6900,21.69
-5000,6950,21.74
-5050,7000,21.717
-5100,7050,21.661
-5150,7100,21.503
-5200,7150,21.084
-5250,7200,21.093
-5300,7250,21.285
-5350,7300,21.456
-5400,7350,21.445
-5450,7400,21.434
-5500,7450,21.521
-5550,7500,21.729
-5600,7550,21.936
-5650,7600,21.518
-5700,7650,20.822
-5750,7700,20.828
-5800,7750,20.857
-5850,7800,20.885
-5900,7850,20.818
-5950,7900,20.751
-6000,7950,20.686
-6050,8000,20.703
-6100,8050,20.719
-6150,8100,20.722
-6200,8150,20.088
-6250,8200,19.454
-6300,8250,19.119
-6350,8300,19.248
-6400,8350,20.088
-6450,8400,18.574
-6500,8450,19.519
-6550,8500,19.852
-6600,8550,20.08
-6650,8600,19.823
-6700,8650,19.24
-6750,8700,18.975
-6800,8750,19.617
-6850,8800,19.681
-6900,8850,19.558
-6950,8900,19.225
-7000,8950,18.901
-7050,9000,18.622
-7100,9050,18.416
-7150,9100,18.549
-7200,9150,18.373
-7250,9200,18.769
-7300,9250,18.459
-7350,9300,18.421
-7400,9350,18.638
-7450,9400,18.363
-7500,9450,18.196
-7550,9500,18.287
-7600,9550,18.629
-7650,9600,18.401
-7700,9650,18.386
-7750,9700,18.507
-7800,9750,18.424
-7850,9800,18.34
-7900,9850,18.31
-7950,9900,18.288
-8000,9950,18.269
-8050,10000,18.258
-8100,10050,18.247
-8150,10100,18.236
-8200,10150,18.254
-8250,10200,18.329
-8300,10250,18.403
-8350,10300,18.4
-8400,10350,18.309
-8450,10400,18.218
-8500,10450,18.181
-8550,10500,18.202
-8600,10550,18.222
-8650,10600,18.242
-8700,10650,18.262
-8750,10700,18.292
-8800,10750,18.331
-8850,10800,18.369
-8900,10850,18.408
-8950,10900,18.446
-9000,10950,18.457
-9050,11000,18.415
