OriginalDateID (),TopDepthofDate (cm),BottomDepthofDate (cm),DateType (),DateBP (),IncludeYN (),AdditionalNotes ()
NA,0,0,Core top,-53,Y,core collected in 2003; for 210Pb chronology see Hausmann and Pienitz (2007)
Beta-189065,43.75,NA,C14 Uncalibrated,1290,Y,wood sample
Beta-189066,121.75,NA,C14 Uncalibrated,2640,Y,wood sample
Beta-189067,183.75,NA,C14 Uncalibrated,3890,Y,wood sample
Beta-193473,240.25,NA,C14 Uncalibrated,6220,Y,wood sample
Beta-202755,278.25,NA,C14 Uncalibrated,7950,Y,wood sample
Beta-197083,281.75,NA,C14 Uncalibrated,7790,Y,wood sample
Beta-180545,300.75,NA,C14 Uncalibrated,8590,Y,wood sample
