depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
2268,Carbon-14,110673,190,8310,charred grass,NA
2273,Carbon-14,110674,220,6920,charred grass,NA
2281,Carbon-14,110675,510,7800,charred grass,NA
2412.5,Carbon-14,110676,90,10690,wood,NA
2427,Carbon-14,110677,110,10610,wood,NA
