depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
105,Carbon-14,158230,100,1340,Gyttja,NA
205,Carbon-14,158231,130,2510,Gyttja,NA
305,Carbon-14,158232,120,3790,Gyttja,NA
405,Carbon-14,158233,160,5780,Gyttja,NA
505,Carbon-14,158234,300,7800,Gyttja,NA
555,Carbon-14,158235,220,9030,Gyttja,NA
597,Carbon-14,158236,250,9830,Gyttja,NA
