depth (cm),ageType (),labID (),age14Cuncertainty (yr 14C),age14C (yr 14C BP),measurementMaterial (),notes ()
136,Carbon-14,108324,150,1720,NA,NA
139,Carbon-14,108325,135,995,NA,NA
226,Carbon-14,108326,170,3000,NA,NA
228,Carbon-14,108327,150,2720,NA,NA
315,Carbon-14,108328,170,3710,NA,NA
318,Carbon-14,108329,115,2665,NA,NA
406,Carbon-14,108330,190,4050,NA,NA
408,Carbon-14,108331,201,4801,NA,NA
495,Carbon-14,108332,190,5070,NA,NA
498,Carbon-14,108333,154,5399,NA,NA
581,Carbon-14,108334,294,7825,NA,NA
584,Carbon-14,108335,310,8320,NA,NA
643,Carbon-14,108336,230,9237,NA,NA
647,Carbon-14,108337,390,9890,NA,NA
674,Carbon-14,108338,480,12679,NA,NA
679,Carbon-14,108339,260,12400,NA,NA
