age (Calibrated),temperature (degC),ReliabIeYN1 (missing)
7686.27,10.211,Y
7806.11,11.033,Y
7955.91,11.148,Y
8105.71,11.648,Y
8255.51,9.902,Y
8345.39,10.578,Y
8405.31,9.95,Y
8495.19,9.589,Y
8555.11,9.195,Y
8615.03,8.732,Y
8644.99,9.48,Y
8674.95,9.404,Y
8794.79,9.967,Y
8854.71,10.624,Y
9019.49,9.136,Y
9154.31,7.824,Y
9244.19,8.078,Y
9364.03,9.19,Y
9423.95,8.136,Y
9498.85,7.751,Y
9558.77,8.99,Y
9618.69,8.807,Y
9693.59,7.938,Y
9783.47,7.645,Y
9903.31,8.186,Y
9978.21,7.48,Y
10336.875,6.233,Y
10482.875,6.142,Y
10610.625,6.58,Y
10738.375,7.262,Y
