depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
2,449,13.657,-9.757,1.185,451.286
4,720,13.1,-10.043,0.715,459.857
6,1106,13.657,-9.757,1.185,451.286
8,1463,13.643,-9.9,1.123,447.714
10,1921,13.643,-9.9,1.123,447.714
12,2381,13.471,-9.957,0.99,444.714
14,2863,13.657,-9.757,1.185,451.286
16,3378,13.657,-9.757,1.185,451.286
18,3836,13.871,-9.743,1.332,435
20,4397,13.657,-9.757,1.185,451.286
22,4904,13.657,-9.757,1.185,451.286
24,5473,13.657,-9.757,1.185,451.286
26,5874,13.343,-10.486,0.729,493.429
27,6105,13.271,-10.271,0.745,461.714
28,6317,13.271,-10.557,0.669,504.714
29,6499,13.271,-10.271,0.745,461.714
30,6734,14.129,-9.771,1.463,459.571
32,6991,13.643,-10.329,0.976,480.571
34,7258,14.271,-9.371,1.729,445.857
36,7439,12.943,-10.3,0.515,472.857
38,7594,14,-9.943,1.375,446
40,7771,14,-9.943,1.375,446
42,7967,13.657,-9.757,1.185,451.286
44,8169,14,-9.671,1.448,451.143
46,8373,13.657,-9.757,1.185,451.286
48,8541,13.1,-10.043,0.715,459.857
50,8850,14.171,-9.371,1.675,434.857
54,9413,13.386,-9.9,0.957,450.143
56,9556,13.3,-9.986,0.867,453.571
58,9793,14.157,-9.143,1.83,458
60,10183,14.057,-9.329,1.713,460.429
62,10520,18.743,-10.557,4.421,381.286
70,10733,17.171,-10.471,3.505,428.429
78,11145,NA,NA,NA,NA
94,11649,NA,NA,NA,NA
110,12411,NA,NA,NA,NA
