year (AD),age (BP),depth (m),age (BP),age (BP),dD (permil),depth_top_m (m)
1957.5,-7.5,1.66,-10,-5,-325.34,1.16
1953,-3,2.17,-5,-1,-315.05,1.66
1941,9,3.67,7,11,-329.28,3.17
1937,13,4.17,11,15,-316.39,3.67
1925,25,5.67,23,27,-302.66,5.17
1920.5,29.5,6.17,27,32,-335.31,5.67
1908,42,7.67,40,44,-315.26,7.17
1904,46,8.17,44,48,-294.54,7.67
1891.5,58.5,9.67,56,61,-312.1,9.17
1886.5,63.5,10.17,61,66,-317.85,9.67
1872.5,77.5,11.67,75,80,-322.26,11.17
1867.5,82.5,12.17,80,85,-310.09,11.67
1853.5,96.5,13.67,94,99,-318.09,13.17
1848.5,101.5,14.17,99,104,-317.28,13.67
1833.5,116.5,15.67,114,119,-321.42,15.17
1828.5,121.5,16.17,119,124,-305.5,15.67
1812,138,17.67,135,141,-327.04,17.17
1806.5,143.5,18.17,141,146,-317.22,17.67
1790.5,159.5,19.67,157,162,-328.39,19.17
1785.5,164.5,20.17,162,167,-323.96,19.67
1768,182,21.67,179,185,-324.61,21.17
1762,188,22.17,185,191,-316.1,21.67
1744,206,23.67,203,209,-294.08,23.17
1738,212,24.17,209,215,-309.24,23.67
1720,230,25.67,227,233,-310.69,25.17
1714,236,26.17,233,239,-318.22,25.67
1695,255,27.67,252,258,-314.66,27.17
1688.5,261.5,28.17,258,265,-308.68,27.67
1669,281,29.67,278,284,-305.14,29.17
1662.5,287.5,30.17,284,291,-301.39,29.67
1629.5,320.5,32.67,317,324,-325.35,32.17
1622.5,327.5,33.17,324,331,-303.97,32.67
1601.5,348.5,34.67,345,352,-309.13,34.17
1594.5,355.5,35.17,352,359,-332.94,34.67
1574,376,36.67,373,379,-323.93,36.17
1567,383,37.17,379,387,-323.19,36.67
1545,405,38.67,401,409,-318.96,38.17
1537.5,412.5,39.17,409,416,-315.49,38.67
1515.5,434.5,40.67,431,438,-311.73,40.17
1508,442,41.17,438,446,-310.55,40.67
1485.5,464.5,42.67,461,468,-307.27,42.17
1478,472,43.17,468,476,-308.2,42.67
1455,495,44.67,491,499,-315.35,44.17
1447,503,45.17,499,507,-325.51,44.67
1424,526,46.67,522,530,-312.2,46.17
1416,534,47.17,530,538,-301.63,46.67
1392,558,48.71,554,562,-300.7,48.21
1383.5,566.5,49.21,562,571,-304.71,48.71
1343,607,51.71,603,611,-324.68,51.21
1335,615,52.21,611,619,-316.64,51.71
1326.5,623.5,52.71,619,628,-333.27,52.21
1318,632,53.21,628,636,-301.9,52.71
1276.5,673.5,55.71,669,678,-303.17,55.21
1268,682,56.21,678,686,-310.78,55.71
1242.5,707.5,57.71,703,712,-327.98,57.21
1234,716,58.21,712,720,-314.34,57.71
1208.5,741.5,59.71,737,746,-315.19,59.21
1199.5,750.5,60.21,746,755,-318.43,59.71
1173.5,776.5,61.71,772,781,-314.04,61.21
1165,785,62.19,781,789,-328.01,61.71
1138.5,811.5,63.69,807,816,-315.12,63.19
1130,820,64.19,816,824,-318.92,63.69
1102.5,847.5,65.69,843,852,-321.36,65.19
1093.5,856.5,66.19,852,861,-318.43,65.69
1066.5,883.5,67.69,879,888,-326.45,67.19
1057,893,68.21,888,898,-325.61,67.69
1029.5,920.5,69.71,916,925,-308.52,69.21
1020.5,929.5,70.21,925,934,-311.59,69.71
992.5,957.5,71.71,953,962,-312.45,71.21
983.5,966.5,72.21,962,971,-336.86,71.71
955,995,73.71,990,1000,-309.65,73.21
945.5,1004.5,74.21,1000,1009,-295.66,73.71
917.5,1032.5,75.71,1028,1037,-318.03,75.21
908,1042,76.21,1037,1047,-303.68,75.71
879.5,1070.5,77.7,1066,1075,-324.97,77.2
870.5,1079.5,78.14,1075,1084,-306.53,77.7
842,1108,79.64,1103,1113,-320.62,79.14
832.5,1117.5,80.14,1113,1122,-315.74,79.64
803,1147,81.64,1142,1152,-314.53,81.14
793.5,1156.5,82.12,1152,1161,-311.7,81.64
764,1186,83.62,1181,1191,-319.12,83.12
754.5,1195.5,84.12,1191,1200,-301.83,83.62
705,1245,86.62,1240,1250,-300.47,86.12
695,1255,87.12,1250,1260,-310.74,86.62
665,1285,88.62,1280,1290,-319.44,88.12
654.5,1295.5,89.12,1290,1301,-307.53,88.62
624,1326,90.62,1321,1331,-309.88,90.12
614,1336,91.12,1331,1341,-307.5,90.62
583,1367,92.62,1362,1372,-312.13,92.12
573,1377,93.12,1372,1382,-310.02,92.62
542,1408,94.62,1403,1413,-319.62,94.12
531.5,1418.5,95.12,1413,1424,-321.97,94.62
500,1450,96.62,1445,1455,-311.61,96.12
490,1460,97.12,1455,1465,-301.92,96.62
458.5,1491.5,98.62,1486,1497,-305.88,98.12
447.5,1502.5,99.12,1497,1508,-310.27,98.62
416,1534,100.62,1529,1539,-322.53,100.12
405.5,1544.5,101.12,1539,1550,-308.91,100.62
373.5,1576.5,102.62,1571,1582,-306.51,102.12
362.5,1587.5,103.12,1582,1593,-316.49,102.62
330.5,1619.5,104.62,1614,1625,-326.75,104.12
319.5,1630.5,105.12,1625,1636,-312.35,104.62
287.5,1662.5,106.62,1657,1668,-308.71,106.12
276.5,1673.5,107.12,1668,1679,-313.07,106.62
244.5,1705.5,108.62,1700,1711,-329.73,108.12
233.5,1716.5,109.12,1711,1722,-320.75,108.62
199.5,1750.5,110.62,1745,1756,-306.11,110.12
188.5,1761.5,111.12,1756,1767,-314.81,110.62
155.5,1794.5,112.62,1789,1800,-319.05,112.12
144.5,1805.5,113.12,1800,1811,-314.92,112.62
111,1839,114.62,1833,1845,-311.7,114.12
99.5,1850.5,115.12,1845,1856,-314.66,114.62
66,1884,116.62,1878,1890,-325.84,116.12
54.5,1895.5,117.12,1890,1901,-309.99,116.62
21,1929,118.62,1923,1935,-319.77,118.12
9.5,1940.5,119.12,1935,1946,-318.18,118.62
-24,1974,120.62,1968,1980,-312.56,120.12
-35.5,1985.5,121.12,1980,1991,-308.8,120.62
-70,2020,122.62,2014,2026,-301.99,122.12
-81.5,2031.5,123.12,2026,2037,-317.32,122.62
-116,2066,124.62,2060,2072,-304.39,124.12
-127.5,2077.5,125.12,2072,2083,-328.39,124.62
-162.5,2112.5,126.62,2107,2118,-313.38,126.12
-174,2124,127.12,2118,2130,-313.87,126.62
-210,2160,128.62,2154,2166,-310.62,128.12
-222,2172,129.12,2166,2178,-320.96,128.62
-257,2207,130.62,2201,2213,-313.92,130.12
-269,2219,131.12,2213,2225,-317.41,130.62
-305,2255,132.62,2249,2261,-323.35,132.12
-317,2267,133.12,2261,2273,-319.1,132.62
-353,2303,134.62,2297,2309,-315.17,134.12
-365,2315,135.12,2309,2321,-314.2,134.62
-401,2351,136.62,2345,2357,-320.56,136.12
-413,2363,137.12,2357,2369,-321.78,136.62
-449.5,2399.5,138.62,2393,2406,-312.98,138.12
-462,2412,139.12,2406,2418,-310.39,138.62
-498,2448,140.62,2442,2454,-310.62,140.12
-511,2461,141.17,2454,2468,-308.25,140.62
-550,2500,142.72,2494,2506,-324.72,142.22
-562.5,2512.5,143.22,2506,2519,-316.15,142.72
-600,2550,144.72,2544,2556,-316.04,144.22
-611,2561,145.12,2556,2566,-314.07,144.72
-650,2600,146.73,2594,2606,-302.94,146.23
-662.5,2612.5,147.23,2606,2619,-308.7,146.73
-700.5,2650.5,148.73,2644,2657,-319.57,148.23
-713,2663,149.23,2657,2669,-320.91,148.73
-751,2701,150.73,2695,2707,-328.24,150.23
-763.5,2713.5,151.23,2707,2720,-320.57,150.73
-802,2752,152.73,2746,2758,-306.83,152.23
-814.5,2764.5,153.23,2758,2771,-298.15,152.73
-853.5,2803.5,154.73,2797,2810,-304.54,154.23
-866.5,2816.5,155.23,2810,2823,-297.59,154.73
-905.5,2855.5,156.73,2849,2862,-319.09,156.23
-918.5,2868.5,157.23,2862,2875,-305.35,156.73
-957,2907,158.73,2900,2914,-310.3,158.23
-969,2919,159.13,2914,2924,-307.76,158.73
-1007.5,2957.5,160.63,2951,2964,-309.93,160.13
-1020.5,2970.5,161.14,2964,2977,-306.98,160.63
