depth (cm),age (yr 14C BP),temperature (degC),temperature (degC),temperature (degC),precipitation (mm)
1,-10,18.457,-11.729,4.033,846.286
5,22,18.7,-11.786,4.224,829.714
10,61,18.114,-12,3.767,897
15,101,18.171,-12.486,3.637,898.429
20,152,18.114,-12.143,3.785,895.286
25,216,18.143,-12.4,3.668,896.143
35,344,18.486,-12.443,3.796,844.286
45,473,18.086,-11.743,3.883,896.143
55,601,18.457,-11.314,4.195,843
65,729,18.486,-11.529,4.15,842.857
75,857,18.986,-10.229,4.995,932
85,985,18.929,-10.414,4.956,968.429
95,1113,18.571,-11.557,4.237,886.571
100,1177,18.529,-11.443,4.164,842.857
105,1241,18.7,-11.014,4.461,887.429
110,1308,18.486,-11.543,4.107,840.714
125,1507,19,-10.671,4.796,932.286
135,1640,18.486,-11.1,4.38,877.429
145,1773,19.214,-9.743,5.327,927.571
155,1906,18.9,-10.571,4.767,881.857
165,2039,18.286,-11.657,4.03,942.286
175,2172,18.986,-10.229,4.995,932
184,2291,18.629,-10.743,4.521,835.571
186,2318,18.986,-10.6,4.826,932
195,2437,18.671,-10.743,4.579,886.857
205,2570,18.814,-10.429,4.798,882.143
215,2798,18.986,-10.529,4.858,931
224,3003,18.671,-11.257,4.402,836.714
225,3025,18.429,-11.343,4.176,841.286
235,3253,18.557,-11.957,4.015,842.714
245,3480,18.457,-12.214,3.843,844.571
255,3708,19.214,-10.057,5.183,927
265,3935,18.629,-11.814,4.129,837
275,4163,18.871,-11.214,4.531,882.571
285,4391,18.729,-12.5,3.987,827.714
305,4846,18.157,-11.943,3.82,897.143
315,5022,18.9,-10.386,4.8,828.571
325,5198,18.686,-10.7,4.579,838.143
336,5392,19.429,-9.786,5.386,834.143
345,5550,19.371,-10.471,5.13,833
352,5674,19.371,-12.157,4.576,813
365,5903,19.786,-10.614,5.387,822.714
374,6061,19.371,-12.157,4.576,813
384,6237,19.414,-11.2,4.921,829
392,6378,19.714,-11.557,5.036,814.571
406,6628,19.371,-12.157,4.576,813
416,6840,19.371,-12.157,4.576,813
426,7051,19.2,-12.771,4.206,800.429
435,7241,19.371,-12.157,4.576,813
445,7452,19.257,-12.714,4.271,807.857
454,7642,18.943,-12.671,4.01,798.571
465,7874,19.586,-13.157,4.37,791.571
475,8085,19.357,-12.971,4.244,802.286
485,8296,19.6,-12.486,4.554,774.714
495,8507,19.329,-13.329,4.086,802.857
508,8804,19.586,-13.114,4.355,789.714
516,9033,18.929,-12.943,3.921,769.286
525,9291,18.414,-16.257,2.411,736.714
535,9577,18.514,-13.529,3.492,755.143
545,9863,18.286,-16.057,2.39,732.857
555,10149,18.614,-12.914,3.799,754.571
565,10436,18.514,-14.343,3.2,747.429
575,10722,18.114,-15.871,2.305,778.714
585,11008,NA,NA,NA,NA
597,11351,NA,NA,NA,NA
