depth (m),age (BP),temperature (degC),depth (m),age (BP),IRD (g),planktic.d13C (permil),planktic.d18O (permil),d18O (permil),d18O (permil)
NA,NA,NA,18.295,91163,0.77,NA,NA,NA,NA
NA,NA,NA,18.305,91183,0.49,NA,3.46,4.21,NA
NA,NA,NA,18.315,91203,0.23,NA,NA,NA,NA
NA,NA,NA,18.325,91222,0.63,NA,NA,NA,NA
NA,NA,NA,18.335,91242,0.42,NA,NA,NA,NA
NA,NA,NA,18.345,91261,0.2,NA,NA,NA,NA
NA,NA,NA,18.355,91281,0.15,NA,3.64,4.24,NA
NA,NA,NA,18.365,91300,0.19,NA,NA,NA,NA
NA,NA,NA,18.375,91320,0.15,NA,NA,NA,NA
NA,NA,NA,18.385,91340,0.33,NA,NA,NA,NA
NA,NA,NA,18.395,91407,0.39,NA,NA,NA,NA
NA,NA,NA,18.405,91530,0.38,NA,3.56,4.26,NA
NA,NA,NA,18.415,91653,0.6,NA,NA,NA,NA
NA,NA,NA,18.425,91776,0.99,NA,NA,NA,NA
NA,NA,NA,18.435,91899,0.82,NA,NA,NA,NA
NA,NA,NA,18.445,92022,0.52,NA,NA,NA,NA
NA,NA,NA,18.455,92145,0.39,NA,3.57,4.34,NA
NA,NA,NA,18.465,92268,0.49,NA,NA,NA,NA
NA,NA,NA,18.475,92391,0.33,NA,NA,NA,NA
NA,NA,NA,18.485,92514,0.09,NA,NA,NA,NA
NA,NA,NA,18.495,92637,0.13,NA,NA,NA,NA
NA,NA,NA,18.505,92759,0.17,NA,3.64,NA,NA
NA,NA,NA,18.515,92883,0.04,NA,NA,NA,NA
NA,NA,NA,18.525,93006,0.11,NA,NA,NA,NA
NA,NA,NA,18.535,93129,0.19,NA,NA,NA,NA
NA,NA,NA,18.545,93251,0.41,NA,NA,NA,NA
NA,NA,NA,18.555,93374,0.42,NA,NA,NA,NA
NA,NA,NA,18.565,93497,2.5,NA,NA,NA,NA
NA,NA,NA,18.575,93620,4.68,NA,NA,NA,NA
NA,NA,NA,18.585,93743,9.86,NA,NA,NA,NA
NA,NA,NA,18.595,93866,15.32,NA,NA,NA,NA
NA,NA,NA,18.605,93989,11.53,NA,NA,NA,NA
NA,NA,NA,18.615,94112,25.9,NA,NA,NA,NA
NA,NA,NA,18.625,94235,27.14,NA,NA,NA,NA
NA,NA,NA,18.635,94358,44.11,NA,NA,NA,NA
NA,NA,NA,18.645,94481,41.7,NA,NA,NA,NA
NA,NA,NA,18.655,94604,43.96,NA,3.89,4.25,NA
NA,NA,NA,18.665,94727,51.54,NA,NA,NA,NA
NA,NA,NA,18.675,94850,47.27,NA,NA,NA,NA
NA,NA,NA,18.685,94973,52.63,NA,NA,NA,NA
NA,NA,NA,18.695,95096,35.7,NA,NA,NA,NA
NA,NA,NA,18.705,95219,11.67,NA,3.47,NA,NA
NA,NA,NA,18.715,95342,4.08,NA,NA,NA,NA
NA,NA,NA,18.725,95464,6.16,NA,NA,NA,NA
NA,NA,NA,18.735,95536,5.37,NA,NA,NA,NA
NA,NA,NA,18.745,95605,2.6,NA,NA,NA,NA
NA,NA,NA,18.755,95675,3.88,NA,3.47,NA,NA
NA,NA,NA,18.765,95744,4.26,NA,NA,NA,NA
NA,NA,NA,18.775,95813,3.73,NA,NA,NA,NA
NA,NA,NA,18.785,95882,5.74,NA,NA,NA,NA
NA,NA,NA,18.795,95952,4.56,NA,NA,NA,NA
NA,NA,NA,18.805,96021,8.45,NA,3.57,NA,NA
NA,NA,NA,18.815,96090,8.41,NA,NA,NA,NA
NA,NA,NA,18.825,96159,9.72,NA,NA,NA,NA
NA,NA,NA,18.835,96229,3.89,NA,NA,NA,NA
NA,NA,NA,18.845,96298,3.37,NA,NA,NA,NA
NA,NA,NA,18.855,96367,0.82,NA,NA,NA,NA
NA,NA,NA,18.865,96436,6.39,NA,NA,NA,NA
NA,NA,NA,18.875,96505,9.28,NA,NA,NA,NA
NA,NA,NA,18.885,96575,21.7,NA,NA,NA,NA
NA,NA,NA,18.895,96644,23.51,NA,NA,NA,NA
NA,NA,NA,18.905,96713,27.9,NA,NA,NA,NA
NA,NA,NA,18.915,96782,15.87,NA,NA,NA,NA
NA,NA,NA,18.925,96852,2.45,NA,NA,NA,NA
NA,NA,NA,18.935,96921,1.17,NA,NA,NA,NA
NA,NA,NA,18.945,96990,0.27,NA,NA,NA,NA
NA,NA,NA,18.955,97059,0.5,NA,3.63,NA,NA
NA,NA,NA,18.965,97128,0.83,NA,NA,NA,NA
NA,NA,NA,18.975,97198,0.83,NA,NA,NA,NA
NA,NA,NA,18.985,97267,0.4,NA,NA,NA,NA
NA,NA,NA,18.995,97336,1.31,NA,NA,NA,NA
NA,NA,NA,19.005,97405,0.33,NA,3.44,NA,NA
NA,NA,NA,19.015,97475,0.75,NA,NA,NA,NA
NA,NA,NA,19.025,97544,0.43,NA,NA,NA,NA
NA,NA,NA,19.035,97613,1.17,NA,NA,NA,NA
NA,NA,NA,19.045,97682,1.28,NA,NA,NA,NA
NA,NA,NA,19.055,97752,1.87,NA,3.56,NA,NA
NA,NA,NA,19.065,97821,1.24,NA,NA,NA,NA
NA,NA,NA,19.075,97890,1.29,NA,NA,NA,NA
NA,NA,NA,19.085,97959,2.51,NA,NA,NA,NA
NA,NA,NA,19.095,98029,2.73,NA,NA,NA,NA
NA,NA,NA,19.105,98098,2.25,NA,3.65,NA,NA
NA,NA,NA,19.115,98167,0.73,NA,NA,NA,NA
NA,NA,NA,19.125,98236,1.18,NA,NA,NA,NA
NA,NA,NA,19.135,98305,0.95,NA,NA,NA,NA
NA,NA,NA,19.145,98375,1.51,NA,NA,NA,NA
NA,NA,NA,19.155,98444,0.95,NA,3.84,4.16,NA
NA,NA,NA,19.165,98564,0.84,NA,NA,NA,NA
NA,NA,NA,19.175,98734,1.27,NA,NA,NA,NA
NA,NA,NA,19.185,98905,1.05,NA,NA,NA,NA
NA,NA,NA,19.195,99075,1.15,NA,NA,NA,NA
NA,NA,NA,19.205,99246,0.63,NA,3.57,4.38,NA
NA,NA,NA,19.215,99416,1.31,NA,NA,NA,NA
NA,NA,NA,19.225,99587,1.3,NA,NA,NA,NA
NA,NA,NA,19.235,99721,1.82,NA,NA,NA,NA
NA,NA,NA,19.245,99853,2.83,NA,NA,NA,NA
NA,NA,NA,19.255,99986,2.82,NA,3.59,4.22,NA
NA,NA,NA,19.265,100119,1.35,NA,NA,NA,NA
NA,NA,NA,19.275,100252,1.75,NA,NA,NA,NA
NA,NA,NA,19.285,100385,1.17,NA,NA,NA,NA
NA,NA,NA,19.295,100518,1.74,NA,NA,NA,NA
NA,NA,NA,19.305,100650,0.93,NA,3.76,NA,NA
NA,NA,NA,19.315,100783,1.32,NA,NA,NA,NA
NA,NA,NA,19.325,100916,1.18,NA,NA,NA,NA
NA,NA,NA,19.335,101049,1.66,NA,NA,NA,NA
NA,NA,NA,19.345,101182,2.35,NA,NA,NA,NA
NA,NA,NA,19.355,101315,2.33,NA,3.55,4.4,NA
NA,NA,NA,19.365,101448,2.06,NA,NA,NA,NA
NA,NA,NA,19.375,101580,4.47,NA,NA,NA,NA
NA,NA,NA,19.385,101713,5.02,NA,NA,NA,NA
NA,NA,NA,19.395,101846,9.32,NA,NA,NA,NA
NA,NA,NA,19.405,101979,8.18,NA,3.59,NA,NA
NA,NA,NA,19.415,102112,9.52,NA,NA,NA,NA
NA,NA,NA,19.425,102218,2.94,NA,NA,NA,NA
NA,NA,NA,19.435,102297,10.04,NA,NA,NA,NA
NA,NA,NA,19.445,102376,7.19,NA,3.77,NA,NA
NA,NA,NA,19.455,102455,8.76,NA,3.77,4.31,NA
NA,NA,NA,19.465,102501,7.06,NA,3.84,NA,NA
NA,NA,NA,19.475,102539,6.97,NA,3.66,NA,NA
NA,NA,NA,19.485,102577,2.78,NA,3.73,NA,NA
NA,NA,NA,19.495,102616,4.7,NA,3.54,NA,NA
NA,NA,NA,19.505,102654,6.55,NA,3.58,4.6,NA
NA,NA,NA,19.515,102692,5.75,NA,3.45,NA,NA
NA,NA,NA,19.525,102730,4.47,NA,3.62,NA,NA
NA,NA,NA,19.535,102768,4.87,NA,3.53,NA,NA
NA,NA,NA,19.545,102807,4.21,NA,3.56,NA,NA
NA,NA,NA,19.555,102845,11.24,NA,3.38,NA,NA
NA,NA,NA,19.565,102883,8.5,NA,3.41,NA,NA
NA,NA,NA,19.575,102921,11.27,NA,3.41,NA,NA
NA,NA,NA,19.585,102960,7.2,NA,3.61,NA,NA
NA,NA,NA,19.595,102998,6.01,NA,3.47,NA,NA
NA,NA,NA,19.605,103036,6.23,NA,3.54,NA,NA
NA,NA,NA,19.615,103074,6.9,NA,3.44,NA,NA
NA,NA,NA,19.625,103112,4.05,NA,3.49,NA,NA
NA,NA,NA,19.635,103151,3.17,NA,3.3,NA,NA
NA,NA,NA,19.645,103189,8.45,NA,3.4,NA,NA
NA,NA,NA,19.655,103227,17.22,NA,3.4,NA,NA
NA,NA,NA,19.665,103265,7.1,NA,3.57,NA,NA
NA,NA,NA,19.675,103304,11.89,NA,3.7,NA,NA
NA,NA,NA,19.685,103342,23.73,NA,3.5,NA,NA
NA,NA,NA,19.695,103380,21.25,NA,3.58,NA,NA
NA,NA,NA,19.705,103418,17.29,NA,3.52,4.35,NA
NA,NA,NA,19.715,103456,16.77,NA,3.44,NA,NA
NA,NA,NA,19.725,103495,34.8,NA,3.22,NA,NA
NA,NA,NA,19.735,103533,63.74,NA,3.57,NA,NA
NA,NA,NA,19.745,103571,58.91,NA,3.37,NA,NA
NA,NA,NA,19.755,103609,70.54,NA,3.75,4.19,NA
NA,NA,NA,19.765,103648,116.58,NA,NA,NA,NA
NA,NA,NA,19.775,103686,52.53,NA,3.44,NA,NA
NA,NA,NA,19.785,103724,13.39,NA,NA,NA,NA
NA,NA,NA,19.795,103762,25.32,NA,3.66,NA,NA
NA,NA,NA,19.805,103801,33.98,NA,NA,NA,NA
NA,NA,NA,19.815,103839,25.41,NA,NA,NA,NA
NA,NA,NA,19.825,103877,20.53,NA,NA,NA,NA
NA,NA,NA,19.835,103915,32.71,NA,NA,NA,NA
NA,NA,NA,19.845,103953,74.31,NA,NA,NA,NA
NA,NA,NA,19.855,103992,69.06,NA,3.42,NA,NA
NA,NA,NA,19.865,104030,52.8,NA,3.12,NA,NA
NA,NA,NA,19.875,104068,38.2,NA,3.09,NA,NA
NA,NA,NA,19.885,104106,32.83,NA,3.42,NA,NA
NA,NA,NA,19.895,104144,33.24,NA,3.73,NA,NA
NA,NA,NA,19.905,104183,37.64,NA,3.39,NA,NA
NA,NA,NA,19.915,104221,40.51,NA,3.46,NA,NA
NA,NA,NA,19.925,104259,45.99,NA,3.59,NA,NA
NA,NA,NA,19.935,104297,59.15,NA,3.7,NA,NA
NA,NA,NA,19.945,104336,34.66,NA,3.51,NA,NA
NA,NA,NA,19.955,104374,33.68,NA,3.37,NA,NA
NA,NA,NA,19.965,104412,37.86,NA,3.62,NA,NA
NA,NA,NA,19.975,104450,45.15,NA,NA,NA,NA
NA,NA,NA,19.985,104520,25.39,NA,3.49,NA,NA
NA,NA,NA,19.995,104589,1.44,NA,3.87,NA,NA
NA,NA,NA,20.005,104659,27.48,NA,3.46,NA,NA
NA,NA,NA,20.015,104728,16.19,NA,3.52,NA,NA
NA,NA,NA,20.025,104798,11.29,NA,3.53,NA,NA
NA,NA,NA,20.035,104867,21.19,NA,3.41,NA,NA
NA,NA,NA,20.045,104937,16.36,NA,3.5,NA,NA
NA,NA,NA,20.055,105006,21.99,NA,3.4,NA,NA
NA,NA,NA,20.065,105076,34.22,NA,3.57,NA,NA
NA,NA,NA,20.075,105145,48.83,NA,3.56,NA,NA
NA,NA,NA,20.085,105215,44.38,NA,3.36,NA,NA
NA,NA,NA,20.095,105284,45.18,NA,3.61,NA,NA
NA,NA,NA,20.105,105354,29.17,NA,3.55,NA,NA
NA,NA,NA,20.115,105423,36.28,NA,3.51,NA,NA
NA,NA,NA,20.125,105492,32.21,NA,3.43,NA,NA
NA,NA,NA,20.135,105562,30.23,NA,3.51,NA,NA
NA,NA,NA,20.145,105632,55.54,NA,3.63,NA,NA
NA,NA,NA,20.155,105701,104.88,NA,3.31,NA,NA
NA,NA,NA,20.165,105771,73.31,NA,3.43,NA,NA
NA,NA,NA,20.175,105840,13.7,NA,3.55,NA,NA
NA,NA,NA,20.185,105909,5.75,NA,3.51,NA,NA
NA,NA,NA,20.195,105979,2.54,NA,NA,NA,NA
NA,NA,NA,20.205,106049,1.16,NA,NA,NA,NA
NA,NA,NA,20.215,106118,0.73,NA,3.73,NA,NA
NA,NA,NA,20.225,106188,0.27,NA,3.78,NA,NA
NA,NA,NA,20.235,106257,0.81,NA,3.7,NA,NA
NA,NA,NA,20.245,106326,1.02,NA,3.75,NA,NA
NA,NA,NA,20.255,106396,1.38,NA,3.8,NA,NA
NA,NA,NA,20.265,106465,2.04,NA,3.66,NA,NA
NA,NA,NA,20.275,106535,2.26,NA,3.75,NA,NA
NA,NA,NA,20.285,106616,4.03,NA,3.58,NA,NA
NA,NA,NA,20.295,106738,4.04,NA,3.83,NA,NA
NA,NA,NA,20.305,106862,6.51,NA,3.75,NA,NA
NA,NA,NA,20.315,106984,8.79,NA,NA,NA,NA
NA,NA,NA,20.325,107107,9.71,NA,3.65,NA,NA
NA,NA,NA,20.335,107231,25.52,NA,NA,NA,NA
NA,NA,NA,20.345,107353,0.93,NA,NA,NA,NA
NA,NA,NA,20.355,107477,9.06,NA,NA,NA,NA
NA,NA,NA,20.365,107537,33.09,NA,3.66,NA,NA
NA,NA,NA,20.375,107598,40.82,NA,3.77,NA,NA
NA,NA,NA,20.385,107658,32.38,NA,3.79,NA,NA
NA,NA,NA,20.395,107719,23.97,NA,3.75,NA,NA
NA,NA,NA,20.405,107779,15.72,NA,3.94,NA,NA
NA,NA,NA,20.415,107839,27.48,NA,NA,NA,NA
NA,NA,NA,20.425,107900,25.47,NA,NA,NA,NA
NA,NA,NA,20.435,107960,35.72,NA,NA,NA,NA
NA,NA,NA,20.445,108021,18.09,NA,NA,NA,NA
NA,NA,NA,20.455,108081,10.71,NA,3.79,4.4,NA
NA,NA,NA,20.465,108142,4.14,NA,3.68,NA,NA
NA,NA,NA,20.475,108202,1.39,NA,3.69,NA,NA
NA,NA,NA,20.485,108263,0.66,NA,3.5,NA,NA
NA,NA,NA,20.495,108323,0.25,NA,3.61,NA,NA
NA,NA,NA,20.505,108384,0.58,NA,3.65,NA,NA
NA,NA,NA,20.515,108444,0.42,NA,3.69,4.41,NA
NA,NA,NA,20.525,108504,0.39,NA,3.76,4.37,NA
NA,NA,NA,20.535,108564,0.55,NA,3.62,4.41,NA
NA,NA,NA,20.545,108625,1.05,NA,3.7,4.35,NA
NA,NA,NA,20.555,108685,0.5,NA,3.85,NA,NA
NA,NA,NA,20.565,108745,1.01,NA,3.68,NA,NA
NA,NA,NA,20.575,108806,1.19,NA,3.48,NA,NA
NA,NA,NA,20.585,108866,1.38,NA,3.65,NA,NA
NA,NA,NA,20.595,108927,1.24,NA,3.6,NA,NA
NA,NA,NA,20.605,108987,2.09,NA,3.73,4.23,NA
NA,NA,NA,20.615,109048,1.01,NA,3.68,NA,NA
NA,NA,NA,20.625,109108,0.68,NA,3.7,NA,NA
NA,NA,NA,20.635,109169,0.6,NA,3.77,NA,NA
NA,NA,NA,20.645,109229,0.78,NA,3.48,NA,NA
NA,NA,NA,20.655,109290,0.92,NA,3.85,NA,NA
NA,NA,NA,20.665,109350,0.7,NA,3.72,NA,NA
NA,NA,NA,20.675,109382,0.57,NA,3.62,NA,NA
NA,NA,NA,20.685,109414,1.55,NA,3.68,NA,NA
NA,NA,NA,20.695,109447,0.46,NA,3.68,NA,NA
NA,NA,NA,20.705,109479,1.01,NA,3.83,4.46,NA
NA,NA,NA,20.715,109511,1.67,NA,3.8,NA,NA
NA,NA,NA,20.725,109543,1.72,NA,3.87,NA,NA
NA,NA,NA,20.735,109576,2.27,NA,3.83,NA,NA
NA,NA,NA,20.745,109608,3.89,NA,3.81,NA,NA
NA,NA,NA,20.755,109640,7.65,NA,3.92,4.55,NA
NA,NA,NA,20.765,109672,11.8,NA,3.75,NA,NA
NA,NA,NA,20.775,109705,11.06,NA,3.68,NA,NA
NA,NA,NA,20.785,109737,31.48,NA,3.66,NA,NA
NA,NA,NA,20.795,109769,32.44,NA,3.62,NA,NA
NA,NA,NA,20.805,109801,2.99,NA,3.8,NA,NA
NA,NA,NA,20.815,109833,1.34,NA,3.75,4.59,NA
NA,NA,NA,20.825,109866,2.67,NA,3.59,4.34,NA
NA,NA,NA,20.835,109898,1.53,NA,3.74,4.46,NA
NA,NA,NA,20.845,109930,1.34,NA,3.61,NA,NA
NA,NA,NA,20.855,109962,2.84,NA,3.73,4.49,NA
NA,NA,NA,20.865,109995,1.05,NA,3.55,4.5,NA
NA,NA,NA,20.875,110026,1.91,0.2,3.6,4.25,NA
NA,NA,NA,20.885,110059,2.15,0.26,3.52,4.45,NA
NA,NA,NA,20.895,110091,2.63,0.35,3.44,4.43,NA
NA,NA,NA,20.905,110123,5.68,0.3,3.65,4.51,NA
NA,NA,NA,20.915,110155,6.53,0.26,3.48,4.38,NA
NA,NA,NA,20.925,110188,6.49,0.22,3.44,4.3,NA
NA,NA,NA,20.935,110220,8.11,0.41,3.5,4.38,NA
NA,NA,NA,20.945,110252,3.52,0.34,3.51,4.25,NA
NA,NA,NA,20.955,110284,0.9,0.43,3.74,4.02,NA
NA,NA,NA,20.965,110317,1.18,NA,NA,NA,NA
NA,NA,NA,20.975,110349,0.34,0.32,3.45,4.24,NA
NA,NA,NA,20.985,110381,0.33,0.49,3.63,4.29,NA
NA,NA,NA,20.995,110413,0.45,0.6,3.44,4.27,NA
NA,NA,NA,21.005,110446,0.1,0.44,3.73,4.11,NA
NA,NA,NA,21.015,110478,0.37,0.4,3.37,4.11,NA
NA,NA,NA,21.025,110510,0.04,0.28,3.52,NA,NA
NA,NA,NA,21.035,110542,0.12,0.32,3.48,NA,NA
NA,NA,NA,21.045,110574,0.37,0.42,3.42,NA,NA
NA,NA,NA,21.055,110607,0.15,0.48,3.68,NA,NA
NA,NA,NA,21.065,110639,0.28,NA,NA,NA,NA
NA,NA,NA,21.075,110671,0.3,0.46,3.51,NA,NA
NA,NA,NA,21.085,110703,0.17,0.35,3.53,NA,NA
NA,NA,NA,21.095,110736,0.29,NA,NA,NA,NA
NA,NA,NA,21.105,110768,0.05,0.34,3.53,NA,NA
NA,NA,NA,21.115,110800,0.18,0.31,3.47,NA,NA
NA,NA,NA,21.125,110832,0.04,NA,NA,NA,NA
NA,NA,NA,21.135,110865,0.23,0.39,3.44,NA,NA
NA,NA,NA,21.145,110897,0.45,0.16,3.51,NA,NA
NA,NA,NA,21.155,110929,0.7,0.17,3.34,NA,NA
NA,NA,NA,21.165,110961,0.15,NA,NA,NA,NA
NA,NA,NA,21.175,110993,0.3,0.4,3.67,NA,NA
NA,NA,NA,21.185,111026,0.36,0.3,3.56,NA,NA
NA,NA,NA,21.195,111058,0.92,NA,NA,NA,NA
NA,NA,NA,21.205,111090,1.47,0.35,3.76,NA,NA
NA,NA,NA,21.215,111122,0.77,0.2,3.44,NA,NA
NA,NA,NA,21.225,111154,1.07,0.36,3.49,NA,NA
NA,NA,NA,21.235,111186,1.76,0.4,3.5,NA,NA
NA,NA,NA,21.245,111219,2.67,0.21,3.38,NA,NA
NA,NA,NA,21.255,111251,15.24,0.25,3.65,NA,NA
NA,NA,NA,21.265,111283,17.01,NA,NA,NA,NA
NA,NA,NA,21.275,111315,22.41,0.16,3.53,NA,NA
NA,NA,NA,21.285,111348,26.49,0.42,3.55,NA,NA
NA,NA,NA,21.295,111380,17.82,0.33,3.54,NA,NA
NA,NA,NA,21.305,111412,2.91,0.12,3.41,NA,NA
NA,NA,NA,21.315,111444,0.4,0.22,3.63,NA,NA
NA,NA,NA,21.325,111477,0.42,0.11,3.49,NA,NA
NA,NA,NA,21.335,111509,0.54,0.35,3.56,NA,NA
NA,NA,NA,21.345,111541,0.55,0.4,3.57,NA,NA
NA,NA,NA,21.355,111573,0.54,0.37,3.62,NA,NA
NA,NA,NA,21.365,111605,0.36,0.37,3.8,NA,NA
NA,NA,NA,21.375,111638,0.48,0.39,3.71,NA,NA
NA,NA,NA,21.385,111670,0.81,0.29,3.43,NA,NA
NA,NA,NA,21.395,111702,0.3,0.07,3.3,4.2,NA
NA,NA,NA,21.405,111734,0.54,0.26,3.4,NA,NA
NA,NA,NA,21.415,111767,0.14,0.23,3.44,NA,NA
NA,NA,NA,21.425,111799,0,0.47,3.6,NA,NA
NA,NA,NA,21.435,111831,0.4,0.25,3.46,NA,NA
NA,NA,NA,21.445,111863,0.2,0.26,3.49,NA,NA
NA,NA,NA,21.455,111896,0.05,0.09,3.46,NA,NA
NA,NA,NA,21.465,111928,0.18,0.25,3.44,NA,NA
NA,NA,NA,21.475,111960,0.28,0.21,3.42,NA,NA
NA,NA,NA,21.485,111992,0.32,0.14,3.44,NA,NA
NA,NA,NA,21.495,112024,0.45,0.42,3.64,NA,NA
NA,NA,NA,21.505,112057,0.94,0.34,3.49,NA,NA
NA,NA,NA,21.515,112089,0.43,0.38,3.49,NA,NA
NA,NA,NA,21.525,112121,0.76,0.37,3.55,NA,NA
NA,NA,NA,21.535,112153,0.56,0.27,3.51,NA,NA
NA,NA,NA,21.545,112186,0.79,0.28,3.51,NA,NA
NA,NA,NA,21.555,112218,1.4,0.25,3.59,NA,NA
NA,NA,NA,21.565,112250,2.04,0.37,3.53,NA,NA
NA,NA,NA,21.575,112282,1.17,0.23,3.55,NA,NA
NA,NA,NA,21.585,112314,2.94,0.29,3.44,NA,NA
NA,NA,NA,21.595,112346,0.68,0.09,3.58,NA,NA
NA,NA,NA,21.605,112379,0.37,0.26,3.73,NA,NA
NA,NA,NA,21.615,112411,0.55,0.19,3.56,4.17,NA
NA,NA,NA,21.625,112443,0.65,0.3,3.6,4.31,NA
NA,NA,NA,21.635,112475,1.36,0.28,3.62,NA,NA
NA,NA,NA,21.645,112508,2.6,0.39,3.84,NA,NA
NA,NA,NA,21.655,112540,0.61,0.35,3.84,4.14,NA
NA,NA,NA,21.665,112572,0.43,0.46,3.62,4.14,NA
NA,NA,NA,21.675,112604,0.25,0.29,3.43,4.25,NA
NA,NA,NA,21.685,112637,0.39,0.3,3.39,4.14,NA
NA,NA,NA,21.695,112669,1.21,0.31,3.21,4.19,NA
NA,NA,NA,21.705,112701,0.89,0.38,3.58,4.21,NA
NA,NA,NA,21.715,112733,0.88,0.38,3.36,4.18,NA
NA,NA,NA,21.725,112765,0.84,0.38,3.4,4.23,NA
NA,NA,NA,21.735,112798,1.27,0.37,3.46,4.2,NA
NA,NA,NA,21.745,112830,1.89,0.32,3.24,4.15,NA
NA,NA,NA,21.755,112862,1.52,0.2,3.34,4.15,NA
NA,NA,NA,21.765,112894,2.3,0.45,3.5,4.24,NA
NA,NA,NA,21.775,112927,2.79,0.24,3.4,NA,NA
NA,NA,NA,21.785,112959,3.31,NA,NA,NA,NA
NA,NA,NA,21.795,112991,3.35,0.18,3.51,4.25,3.64
NA,NA,NA,21.805,113023,8.09,0.43,3.53,4.32,NA
NA,NA,NA,21.815,113056,10.77,0.2,3.44,4.39,NA
NA,NA,NA,21.825,113088,4.01,0.38,3.44,4.42,NA
NA,NA,NA,21.835,113120,1.52,0.26,3.42,4.24,3.35
NA,NA,NA,21.845,113191,1.21,0.28,3.46,NA,3.73
NA,NA,NA,21.855,113262,2.27,0.21,3.37,NA,3.81
NA,NA,NA,21.865,113334,1.41,0.29,3.29,4.19,3.77
NA,NA,NA,21.875,113405,2.13,0.17,3.32,4.18,3.69
NA,NA,NA,21.885,113476,2.14,0.22,3.28,4.09,3.75
NA,NA,NA,21.895,113547,2.54,0.19,3.25,4.15,3.53
NA,NA,NA,21.905,113618,1.9,0.24,3.29,4.17,NA
NA,NA,NA,21.915,113689,1.79,0.1,3.08,4.19,3.91
NA,NA,NA,21.925,113760,2.85,0.2,3.38,NA,3.57
NA,NA,NA,21.935,113831,5.02,-0.12,3.24,NA,3.65
NA,NA,NA,21.945,113902,12.73,0.18,3.43,NA,NA
NA,NA,NA,21.955,113973,8.52,0.24,3.27,NA,3.45
NA,NA,NA,21.965,114045,2.88,0.25,3.47,NA,NA
NA,NA,NA,21.975,114116,7.84,0.22,3.53,NA,NA
NA,NA,NA,21.985,114187,6.14,0.22,3.45,NA,NA
NA,NA,NA,21.995,114258,5.83,0.13,3.31,NA,NA
NA,NA,NA,22.005,114329,7.44,0.2,3.37,4.02,3.65
NA,NA,NA,22.015,114400,5.86,0.26,3.08,4.21,3.78
NA,NA,NA,22.025,114472,8.83,0.3,3.15,NA,3.62
NA,NA,NA,22.035,114543,13.95,0.25,3.18,NA,NA
NA,NA,NA,22.045,114614,11.37,0.17,3.13,NA,NA
NA,NA,NA,22.055,114685,13.84,NA,NA,NA,NA
NA,NA,NA,22.065,114756,0.79,NA,NA,NA,NA
NA,NA,NA,22.075,114828,11.86,NA,NA,NA,NA
NA,NA,NA,22.085,114899,56.83,-0.21,2.95,NA,NA
NA,NA,NA,22.095,114944,36.14,0,3.17,NA,NA
NA,NA,NA,22.105,114990,18.29,NA,NA,NA,3.55
NA,NA,NA,22.115,115036,31.63,0.12,3.12,4.03,3.7
NA,NA,NA,22.125,115081,20.27,-0.04,2.89,3.97,3.74
NA,NA,NA,22.135,115127,13.08,-0.28,2.72,NA,NA
NA,NA,NA,22.145,115172,7.59,0.02,2.82,NA,NA
NA,NA,NA,22.155,115218,6.97,-0.06,2.87,NA,3.5
NA,NA,NA,22.165,115263,3.78,-0.02,2.78,NA,NA
NA,NA,NA,22.175,115309,6.43,-0.1,2.68,NA,NA
NA,NA,NA,22.185,115354,1.49,-0.23,2.6,NA,NA
NA,NA,NA,22.195,115399,0.19,-0.32,2.46,NA,3
NA,NA,NA,22.205,115612,0.15,-0.16,2.58,NA,NA
NA,NA,NA,22.215,115829,0.04,-0.21,2.47,NA,NA
NA,NA,NA,22.225,116045,0,-0.2,2.46,NA,3.34
NA,NA,NA,22.235,116262,0.06,0.1,2.49,NA,NA
NA,NA,NA,22.245,116478,0.07,-0.11,2.47,NA,NA
NA,NA,NA,22.255,116695,0.05,0.03,2.48,NA,NA
NA,NA,NA,22.265,116911,0,-0.1,2.55,NA,NA
NA,NA,NA,22.275,117128,0,-0.11,2.52,NA,NA
NA,NA,NA,22.285,117344,0.03,-0.05,2.43,NA,NA
NA,NA,NA,22.295,117561,0,-0.11,2.54,NA,NA
NA,NA,NA,22.305,117777,0.05,-0.2,2.76,NA,NA
NA,NA,NA,22.315,117994,0,-0.24,2.36,NA,NA
NA,NA,NA,22.325,118210,0.03,-0.08,2.67,NA,NA
NA,NA,NA,22.335,118427,0,-0.15,2.49,NA,NA
NA,NA,NA,22.345,118643,0.04,-0.29,2.51,NA,3.44
NA,NA,NA,22.355,118860,0.04,-0.29,2.53,NA,NA
NA,NA,NA,22.365,119076,0.04,-0.21,2.45,NA,3.54
NA,NA,NA,22.375,119293,0,-0.15,2.33,NA,NA
NA,NA,NA,22.385,119509,0,-0.23,2.4,NA,NA
NA,NA,NA,22.395,119726,0,-0.15,2.48,NA,NA
NA,NA,NA,22.405,119938,0.04,-0.17,2.52,NA,NA
NA,NA,NA,22.415,120154,0.06,-0.33,2.23,NA,3.63
NA,NA,NA,22.425,120371,0.06,-0.42,2.2,NA,NA
NA,NA,NA,22.435,120587,0,-0.15,2.63,NA,NA
NA,NA,NA,22.445,120804,0,-0.15,2.52,NA,3.55
NA,NA,NA,22.455,121020,0.15,-0.08,2.54,NA,NA
NA,NA,NA,22.465,121237,0,-0.23,2.58,NA,3.39
