depth (m),age (BP),temperature (degC),depth (m),age (BP),IRD (g),planktic.d13C (permil),planktic.d18O (permil),d18O (permil),d18O (permil)
0.485,8819,9.613,14.435,63228,0.66,NA,NA,NA,NA
0.505,8828,9.564,14.445,63344,0.9,NA,NA,NA,NA
0.515,8833,9.564,14.455,63460,0.66,NA,NA,NA,NA
0.525,8837,9.416,14.465,63575,0.56,NA,NA,NA,NA
0.545,8846,9.416,14.475,63691,1.23,NA,NA,NA,NA
0.565,8855,9.416,14.485,63807,2.85,NA,NA,NA,NA
0.585,8956,9.416,14.495,63922,5.19,NA,NA,NA,NA
0.6,9032,8.907,14.505,64038,3.72,NA,4.04,NA,NA
0.615,9108,9.564,14.515,64154,2.14,NA,NA,NA,NA
0.625,9159,9.416,14.525,64270,2.56,NA,NA,NA,NA
0.645,9260,9.564,14.535,64385,2.7,NA,NA,NA,NA
0.665,9361,9.68,14.545,64504,1.94,NA,NA,NA,NA
0.675,9412,10.031,14.555,65005,1.26,NA,NA,NA,NA
0.705,9563,9.613,14.565,65506,1.86,NA,NA,NA,NA
0.725,9665,9.918,14.575,66007,3.02,NA,NA,NA,NA
0.745,9766,9.877,14.585,66503,3.37,NA,NA,NA,NA
0.755,9816,9.416,14.595,66668,6.51,NA,NA,NA,NA
0.765,9867,9.416,14.605,66832,8.95,NA,NA,NA,NA
0.785,9968,9.629,14.615,66997,7.7,NA,NA,NA,NA
0.795,10019,9.416,14.625,67162,13.95,NA,NA,NA,NA
0.825,10076,9.416,14.635,67326,20.88,NA,NA,NA,NA
0.845,10101,9.906,14.645,67491,17.51,NA,NA,NA,NA
0.865,10126,9.683,14.655,67656,22.65,NA,4,4.71,NA
0.885,10152,9.564,14.665,67742,27.79,NA,NA,NA,NA
0.905,10177,9.564,14.675,67829,26.3,NA,NA,NA,NA
0.925,10203,9.926,14.685,67915,27.55,NA,NA,NA,NA
0.945,10228,9.593,14.695,68002,15.83,NA,NA,NA,NA
0.965,10253,9.68,14.705,68088,10.04,NA,4.04,4.91,NA
0.985,10279,9.593,14.715,68175,5.65,NA,NA,NA,NA
0.995,10291,9.416,14.725,68261,2.21,NA,NA,NA,NA
1.015,10317,8.301,14.735,68348,0.98,NA,NA,NA,NA
1.025,10329,8.812,14.745,68434,0.81,NA,NA,NA,NA
1.045,10355,8.812,14.755,68521,0.87,NA,NA,NA,NA
1.065,10380,9.593,14.765,68607,0.62,NA,NA,NA,NA
1.085,10405,8.907,14.775,68694,1.13,NA,NA,NA,NA
1.095,10418,8.907,14.785,68780,0.43,NA,NA,NA,NA
1.115,10443,8.907,14.795,68867,0.83,NA,NA,NA,NA
1.125,10456,9.564,14.805,68953,0.64,NA,3.96,4.75,NA
1.145,10481,9.564,14.815,69040,1.12,NA,NA,NA,NA
1.165,10507,9.573,14.825,69126,0.43,NA,NA,NA,NA
1.175,10520,9.416,14.835,69213,0.56,NA,NA,NA,NA
