depth (m),age (BP),temperature (degC),d18O (permil),d13C (permil),planktic.d18O (permil),planktic.d13C (permil),planktic.MgCa (mmol_mol)
4.32,11039,27.9,1.4,1.02,-1.78,0.93,4.7
4.36,11210,28.1,1.46,1.02,-1.6,0.72,4.74
4.4,11381,27.9,1.49,1,-1.7,0.69,4.68
4.44,11552,28.1,1.55,1.1,-1.63,0.95,4.76
4.48,11922,27.7,1.56,1.12,-1.37,0.97,4.58
4.52,12292,27.5,1.66,1.15,-0.98,0.83,4.51
4.56,12662,27.1,1.71,1.16,-1.21,0.89,4.36
4.61,13032,26.7,1.76,1.21,-1.36,0.89,4.19
4.64,13463,26.9,1.84,1.21,-1.29,0.88,4.29
4.68,13895,26.7,1.86,1.16,-1.24,0.88,4.21
4.72,14442,27.1,1.89,1.15,-1.09,0.79,4.37
4.76,14989,27.3,1.96,1.13,-0.94,0.92,4.45
4.8,15536,27,1.91,1.16,-0.9,0.95,4.32
4.84,16083,27.1,1.99,1.15,-0.88,0.95,4.36
4.88,16626,NA,2.2,1.27,-0.6,0.88,NA
4.92,17149,26.4,2.29,1.29,-0.47,1.02,4.07
4.96,17672,NA,2.44,1.46,-0.35,0.85,NA
5,18195,25.3,2.45,1.4,-0.56,0.82,3.7
5.04,18201,NA,2.49,1.48,-0.24,0.84,NA
5.08,19472,25.7,2.52,1.47,-0.4,1.15,3.82
5.12,20743,25.1,2.32,1.53,-0.67,1.02,3.63
5.16,22014,26.1,2.48,1.47,-0.63,0.7,3.97
5.2,23285,26,2.46,1.52,-0.84,1.11,3.95
5.24,24558,25.3,2.51,1.35,-0.57,1.04,3.69
5.28,25744,25.8,2.64,1.37,-0.63,0.91,3.88
5.32,26930,26.1,2.47,1.5,-0.54,1.21,3.97
5.36,28116,25.5,2.43,1.58,-0.51,0.99,3.78
5.4,29302,26.1,2.54,1.51,-0.66,1.11,4.04
5.44,30488,25.5,2.51,1.55,-0.74,1.08,3.78
5.48,31674,25.6,2.29,1.56,-0.92,1.04,3.81
5.52,32860,NA,2.28,1.49,NA,NA,NA
5.56,34046,25.8,2.2,1.45,-1.06,1.18,3.87
5.6,35232,25.7,2.34,1.53,-0.95,0.91,3.83
5.64,36418,25.6,2.06,1.43,-0.91,1.04,3.82
5.68,37604,NA,2.03,1.33,-1.14,1.01,NA
5.72,38790,25.6,NA,NA,NA,NA,3.82
