year (AD) [1-1],age (BP) [1-1],depth (mm) [1-1],Al (cps) [1-1],Di (cps) [1-1],K (cps) [1-1],Ca (cps) [1-1],Ti (cps) [1-1],Fe (cps) [1-1],Rb (cps) [1-1],Zr (cps) [1-1],year (AD) [2-1],age (BP) [2-1],sampleID (missing) [2-1],water (percent) [2-1],TOC (percent) [2-1],TOCmg (mg) [2-1],d13C (permil) [2-1],year (AD) [3-1],age (BP) [3-1],dustFlux (g/cm2/yr) [3-1],water (percent) [3-1],TOC (percent) [3-1],wetBulkDensity (g/cm3) [3-1],dryBulkDensity (g/cm3) [3-1],SR (mm/yr) [3-1],LORCA (g/m2/yr) [3-1],ash (percent) [3-1],Ti (g/g) [3-1],Tiash (g/g) [3-1],year (AD) [4-1],age (BP) [4-1],dD (permil) [4-1],Id (missing) [4-1],s (missing) [4-1],year (AD) [5-1],age (BP) [5-1],ID (BP) [5-1],Paq (missing) [5-1]
1950,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1947,3,O-1-61,67.28,19.2,1.26,-27.35,1841,109,205.3,51.14,0.05,1.48,0.72,0.4,1.5,74.4,3817.1,7101,1871,79,-206.3,O-1-063,1.6,1871,79,1-063,0.13
1944,6,2,NA,NA,NA,NA,NA,NA,NA,NA,1899,51,O-1-62,63.99,15.68,0.78,-27.53,1700,250,21.3,73.88,0.3,0.74,0.19,0.4,2.3,35.3,3119.6,2753.8,1647,303,-201.5,O-1-066,1.7,1841,109,O-1-1,0.22
1939,11,3.9,312,3292,1748,12903,2296,32715,127,621,1871,79,O-1-63,55.22,9.27,0.98,-27.12,1619,331,165.2,56.56,0.08,1.05,0.46,0.4,1.4,72.7,4983.1,9061.9,1551,399,-207,O-1-069,3.5,1700,250,O-1-2,0.13
1933,17,5.9,323,3816,2176,15431,2521,38032,148,489,1841,109,O-1-1,51.14,5.04,0.76,-27.49,1423,527,44.7,81.9,0.42,0.82,0.15,1.4,8.8,22.6,3795.3,2144.5,1363,587,-204.6,O-1-090,0.7,1647,303,1-066,0.11
1928,22,7.8,383,4703,3022,17295,3442,50115,189,773,1815,135,O-1-64,60.63,9.55,1.02,-27.49,1342,608,319,64.01,0.11,0.91,0.33,1.4,4.9,64.6,4288.8,6928.9,1058,892,-209,O-1-112,1.6,1554,396,O-1-3,0.32
1922,28,9.8,456,6189,4600,19797,4320,64659,186,821,1759,191,O-1-65,65.99,11.56,1.24,-27.5,1211,739,31.5,84.26,0.46,0.88,0.14,1,6.4,21.8,4149.5,2266.5,956,994,-205.7,O-2-116,2.7,1551,399,1-069,0.12
1916,34,11.8,505,5793,4438,17202,4081,65099,239,831,1700,250,O-1-2,73.88,30.15,1.45,-26.75,1047,903,165.3,75.57,0.17,1.1,0.27,1,4.6,50.6,4847.3,6127.6,828,1122,-202.7,O-2-125,1.2,1501,449,O-1-4,0.4
1911,39,13.7,569,6385,4688,19826,4542,73429,217,587,1647,303,O-1-66,72.47,25.86,1.32,-26.23,956,994,16.8,84.97,0.43,0.91,0.14,1,5.9,14.6,3360.8,1224.9,659,1291,-201.2,O-2-131,0.4,1363,587,1-090,0.24
1905,45,15.7,609,8041,5164,19807,4532,72665,212,1038,1619,331,O-1-67,56.56,7.74,1.14,-27.04,844,1106,467.5,65.2,0.11,1.11,0.39,1.8,7.9,63.2,4253.4,6723.4,548,1402,-200.7,O-2-139,3.1,1342,608,O-1-5,0.13
1899,51,17.6,760,9930,6957,22061,5929,84940,265,759,1563,387,O-1-68,71.81,20.9,2.2,-27.13,638,1312,22.4,83.49,0.41,0.84,0.14,0.9,5.1,19.7,3662.5,1800.5,-267,2217,-204.4,O-2-156,1.3,1278,672,O-1-6,0.21
1894,56,19.6,1066,12680,8986,24120,6935,97936,333,1207,1554,396,O-1-3,64.84,10.78,1.07,-27.17,498,1452,NA,70.03,0.16,1.19,0.36,0.3,1.7,NA,NA,NA,-829,2779,-204,O-3-185,1.7,1249,701,O-1-7,0.09
1888,62,21.6,880,11151,7557,23521,5790,84937,316,850,1551,399,O-1-69,62.6,10.48,1.1,-27.36,259,1691,34.3,74.8,0.27,1.1,0.28,0.3,2.2,38.3,4290.7,4107,-1078,3028,-203.5,O-3-200,1.5,1153,797,O-1-8,0.12
1883,67,23.5,1031,11167,7359,20433,5884,78581,239,891,1548,402,O-1-70,67.8,13.63,1.45,-27.01,101,1849,13.4,80.42,0.36,0.9,0.18,0.3,1.9,29.5,3415.9,2519.3,-1777,3727,-200.4,O-3-219,1.6,1058,892,1-112,0.23
1877,73,25.5,700,8920,5689,17014,4611,62408,217,796,1546,404,O-1-71,68.74,13.55,1.37,-26.99,-267,2217,NA,85.66,0.46,0.97,0.14,1.2,7.7,NA,NA,NA,-1958,3908,-202.8,O-3-223,6.5,1047,903,O-1-9,0.12
1871,79,27.4,839,10141,6954,19838,5398,71272,281,730,1543,407,O-1-72,76.76,23.13,1.26,-27.11,-292,2242,37.5,85.94,0.42,1.03,0.15,1.2,7.2,21.6,3977.9,2151.5,-2162,4112,-196.5,O-4-233,3.9,992,958,O-1-10,0.38
1866,84,29.4,1076,13768,9583,22606,6780,91404,316,1049,1541,409,O-1-73,79.15,28.37,1.58,-26.91,-357,2307,NA,73.47,0.21,1.15,0.3,1.2,7.5,NA,NA,NA,-2347,4297,-208.7,O-4-244,1.6,956,994,2-116,0.19
1860,90,31.4,1333,15321,10108,22566,7219,95720,276,1061,1538,412,O-1-74,75.98,17.34,1.63,-27.08,-477,2427,255.1,56.79,0.08,1.44,0.62,0.6,2.8,72.1,3786.8,6823.3,-2547,4497,-202.8,O-4-251,2.8,844,1106,O-1-11,0.32
1855,95,33.3,1495,17185,11388,24469,7549,110824,287,1104,1537,413,O-1-75,73.05,16.8,1.59,-27.58,-565,2515,45.7,77.97,0.33,0.9,0.2,0.6,4,32.3,4739.4,3822.3,-3380,5330,-206.6,O-4-274,1.8,828,1122,2-125,0.09
1849,101,35.3,1812,20074,12590,23786,7796,104890,334,1169,1533,417,O-1-76,79.79,33.63,2.17,-27.17,-820,2770,175.3,61.92,0.1,1.1,0.42,0.6,2.5,67.7,4127.4,6984.3,-3535,5485,-208,O-5-281,1.8,659,1291,2-131,0.37
1843,107,37.2,2031,21563,13834,24011,8249,106941,348,1160,1525,425,O-1-77,80.63,28.54,1.62,-27.04,-958,2908,58.5,74.61,0.31,0.87,0.22,0.6,4,38.7,4560.9,4411.5,-3775,5725,-210.2,O-5-288,3.3,550,1400,O-2-403,0.3
1838,112,39.2,2231,23065,14468,25175,8751,107047,316,1204,1520,430,O-1-78,73.46,20.54,1.95,-27.1,-992,2942,NA,61.99,0.11,1,0.38,0.6,2.5,NA,NA,NA,-4333,6283,-211.8,O-5-294,1.9,548,1402,2-139,0.18
1832,118,41.2,2040,21502,13576,23969,8149,105197,365,1031,1517,433,O-1-79,81.25,28.48,1.46,-26.8,-1018,2968,248.8,57.64,0.09,1.07,0.45,0.6,2.5,71.4,5109.3,9124.2,-4567,6517,-214.4,O-5-298,1.8,498,1452,O-2-13,0.42
1826,124,43.1,2183,22797,13043,22942,8012,114295,355,1244,1506,444,O-1-80,79.39,27.34,1.52,-27.24,-1175,3125,166.6,68.65,0.14,1.18,0.37,0.6,3,65.1,4615.9,7514.2,-4774,6724,-218.1,O-5-305,0.7,478,1472,O-2-404,0.25
1821,129,45.1,1716,18429,10756,20859,7276,105566,371,1170,1501,449,O-1-4,80.37,33.76,1.51,-27.15,-1504,3454,3.3,82.5,0.48,0.83,0.14,0.4,2.8,8,2875.9,578.1,-5020,6970,-212.9,O-6-315,0.5,107,1843,O-2-14,0.43
1815,135,47,1275,15044,8192,18944,6656,87316,310,797,1489,461,O-1-81,76.39,28.05,1.27,-27.37,-1645,3595,38.1,77.11,0.28,0.87,0.2,0.4,2.3,44.3,4294.5,4756.1,-5096,7046,-212.3,O-6-319,2.8,-267,2217,2-156,0.28
1810,140,49,1181,14069,8637,18555,6332,85914,281,1070,1448,502,O-1-82,74.19,24.67,1.69,-26.95,-1890,3840,7.3,81.95,0.5,0.73,0.13,0.4,2.6,14,3984.2,1392.3,-5390,7340,-219.4,O-6-322,1.2,-307,2257,O-2-15,0.35
1804,146,51,1155,13521,8562,19323,6242,89992,294,1016,1423,527,O-1-83,81.9,42.15,2.32,-26.71,-2027,3977,81.2,65.58,0.18,1.07,0.37,0.4,2.6,54.9,4034.2,5534.1,-5824,7774,-222.1,O-6-329,0.3,-477,2427,O-3-16,0.41
1798,152,52.9,1000,12373,7114,17817,5413,78484,294,1068,1412,538,O-1-84,76.15,20.82,1.23,-27.25,-2162,4112,10.2,84.1,0.47,0.68,0.11,1.1,5.5,9.6,3577.3,859.3,-6026,7976,-215.8,O-6-333,1.6,-668,2618,O-3-175,0.46
1793,157,54.9,1174,13520,7981,18049,5795,79917,334,1014,1405,545,O-1-85,76.22,23.19,1.25,-26.89,-2206,4156,NA,74.25,0.22,1.04,0.27,1.1,6.6,NA,NA,NA,-6665,8615,-224.1,O-7-341,0.7,-700,2650,O-3-17,0.28
1787,163,56.8,1149,14151,8627,18822,5999,84143,332,1022,1402,548,O-1-86,72.39,22.06,1.43,-27.05,-2226,4176,169.6,66.06,0.11,1.14,0.39,0.7,2.9,57.3,4385,6282.1,-7676,9626,-225.5,O-7-347,1.3,-829,2779,3-185,0.17
1782,168,58.8,1020,11912,6643,17170,5067,75243,293,979,1391,559,O-1-87,62.06,8.34,0.86,-26.96,-2716,4666,NA,58.02,0.27,1.01,0.43,0.7,8,NA,NA,NA,-8122,10072,-220.5,O-7-354,4,-1050,3000,O-3-18,0.37
1776,174,60.8,837,9828,5215,15677,4567,66108,262,949,1388,562,O-1-88,63.12,10.31,1.11,-26.87,-2888,4838,12,81.81,0.5,0.91,0.17,0.7,5.8,9.5,4357.2,1031.6,-8606,10556,-211,O-7-359,1.2,-1078,3028,3-200,0.12
1770,180,62.7,778,9815,5613,17443,4982,71886,280,902,1384,566,O-1-89,76.43,18.77,1.15,-27.09,-3202,5152,NA,54.93,0.11,1.26,0.57,0.8,4.9,NA,NA,NA,-8671,10621,-210.7,O-7-360,2.3,-1136,3086,O-3-19,0.4
1765,185,64.7,609,8097,4769,15844,4433,60536,245,554,1363,587,O-1-90,80.64,29.35,1.42,-26.43,-3244,5194,546.3,47.03,0.09,1.45,0.77,0.8,5.7,71.3,4987.2,8894.4,-9591,11541,-206.6,O-8-374,4.8,-1175,3125,O-3-20,0.46
1759,191,66.6,691,8005,4387,14367,4074,56029,255,827,1349,601,O-1-91,65.12,10.49,1.27,-26.63,-3570,5520,319,53.32,0.1,1.36,0.63,0.8,5,66.7,3765.2,6282.7,-9929,11879,-195.2,O-8-380,1.9,-1445,3395,O-3-21,0.37
1753,197,68.6,617,8327,4708,16832,4506,62250,296,845,1342,608,O-1-5,64.01,10.7,1.17,-26.74,-3688,5638,343.2,56.56,0.11,1.47,0.64,0.8,5.6,67.3,3996,6719,-10331,12281,-195.6,O-8-385,0.3,-1645,3595,O-3-22,0.28
1748,202,70.6,509,6867,4092,15234,4060,56237,242,863,1338,612,O-1-92,65.29,12.38,1.18,-26.38,-3707,5657,232.3,66.02,0.19,1.4,0.47,0.8,7.4,55.7,4398.9,6122.7,-10653,12603,-188.3,O-8-390,5.4,-1777,3727,3-219,0.2
1742,208,72.5,546,6044,3550,14990,4022,52771,175,708,1327,623,O-1-93,72.81,18.25,1.15,-26.77,-3775,5725,76.5,59.68,0.09,1.39,0.56,0.2,1,68.8,3974.1,6840.1,-10814,12764,-188.4,O-8-391,3.3,-1958,3908,3-223,0.12
1737,213,74.5,457,5539,3037,14112,3577,44560,223,788,1324,626,O-1-94,69.59,15.33,1.5,-26.95,-4014,5964,22,78.7,0.33,1.33,0.28,0.2,1.9,35.1,4427.3,3882.5,-11039,12989,-186.4,O-8-395,1.4,-2056,4006,O-3-23,0.41
1731,219,76.4,349,4433,2384,13735,2901,42229,206,614,1320,630,O-1-95,78.9,30.25,1.4,-26.86,-4179,6129,38.2,73.72,0.16,1.33,0.35,0.2,1.1,52.1,4201.7,5471.8,NA,NA,NA,NA,NA,-2104,4054,O-3-24,0.18
1725,225,78.4,366,4875,2640,16346,3225,48137,168,538,1306,644,O-1-96,78.03,22.61,2.66,-27.02,-4709,6659,19.9,83.08,0.5,0.93,0.16,0.9,7,15,3769.9,1409.7,NA,NA,NA,NA,NA,-2162,4112,4-233,0.17
1720,230,80.4,295,4502,1913,15547,2987,41616,155,89,1303,647,O-1-97,73.83,18.9,1.94,-27.28,-4877,6827,NA,77.95,0.36,1.06,0.23,0.9,7.6,NA,NA,NA,NA,NA,NA,NA,NA,-2226,4176,O-4-25,0.5
1714,236,82.3,256,3978,2183,16575,3081,47642,155,659,1299,651,O-1-98,73.88,22.58,2.32,-27.25,-5338,7288,9.9,83.33,0.43,0.84,0.14,0.7,4.2,11.4,3546.8,1012,NA,NA,NA,NA,NA,-2347,4297,4-244,0.16
1709,241,84.3,279,4362,1991,18296,3096,46109,181,610,1292,658,O-1-99,82.32,34.61,1.71,-26.95,-5522,7472,351.7,48.42,0.07,1.1,0.57,0.8,3.1,69.6,4464.1,7765,NA,NA,NA,NA,NA,-2451,4401,O-4-249,0.37
1703,247,86.2,186,4135,1439,16750,2660,43150,177,744,1278,672,O-1-6,81.97,35.49,1.65,-26.91,-5570,7520,36.4,81.03,0.35,0.88,0.17,0.8,4.6,26,4214.9,2736.2,NA,NA,NA,NA,NA,-2479,4429,O-4-26,0.34
1697,253,88.2,358,5694,1910,22058,3323,57242,154,577,1264,686,O-1-100,82.03,35.06,1.87,-26.6,-5633,7583,278.2,56.85,0.1,1.08,0.46,0.8,3.7,67.6,4430.8,7489.1,NA,NA,NA,NA,NA,-2547,4497,4-251,0.11
1692,258,90.2,323,5235,2099,20912,2918,53416,130,551,1253,697,O-1-101,84.97,35.19,1.62,-26.58,-5900,7850,8.6,84.47,0.49,0.99,0.15,0.8,6,9.6,2951.2,705.6,NA,NA,NA,NA,NA,-2716,4666,O-4-27,0.08
1686,264,92.1,317,3883,1356,13638,2127,37051,110,626,1249,701,O-1-7,83.44,40.26,1.8,-26.61,-6061,8011,287.7,21.64,0.16,1.21,0.95,0.8,12.4,49.6,3058.9,3789.6,NA,NA,NA,NA,NA,-2930,4880,O-4-28,0.18
1681,269,94.1,283,4491,1736,17562,2976,46917,147,571,1230,720,O-1-102,84.01,34.61,1.82,-27.01,-6202,8152,10.3,81.67,0.47,1.1,0.2,0.4,3.8,15.2,3339.7,1271.6,NA,NA,NA,NA,NA,-3075,5025,O-4-29,0.18
1675,275,96,250,4447,1657,15740,2379,39278,95,586,1211,739,O-1-103,84.26,46.09,2.1,-26.51,-6618,8568,NA,68.23,0.37,1.22,0.39,0.4,5.8,NA,NA,NA,NA,NA,NA,NA,NA,-3172,5122,4-268,0.3
1669,281,98,333,5596,1325,16110,2227,43181,145,545,1206,744,O-1-104,81.48,25.28,1.47,-26.78,-6853,8803,42.7,39.91,0.44,0.93,0.56,0.4,9.8,21.8,3504.2,1911.1,NA,NA,NA,NA,NA,-3244,5194,O-4-30,0.4
1664,286,99.9,290,6028,1551,17079,2761,51376,134,652,1196,754,O-1-105,79.07,26.64,2.69,-27.77,-7265,9215,NA,41.31,0.49,0.88,0.52,0.4,10,15.1,3474.1,1307.2,NA,NA,NA,NA,NA,-3359,5309,O-4-31,0.42
1658,292,101.9,290,6213,2219,18876,2798,51786,124,638,1182,768,O-1-106,79.19,21.76,1.41,-27.04,-7605,9555,23.7,32.51,0.56,0.8,0.54,0.4,12.1,12.6,3474.1,1094.7,NA,NA,NA,NA,NA,-3380,5330,4-274,0.27
1652,298,103.9,368,6476,2346,18364,2944,54126,127,655,1153,797,O-1-8,81.76,28.5,1.44,-27.02,-7676,9626,42.3,30.84,0.46,0.89,0.61,0.4,11.2,21,3291.3,1724.2,NA,NA,NA,NA,NA,-3535,5485,5-281,0.36
1647,303,105.8,535,8289,3770,20191,3586,63865,212,710,1129,821,O-1-107,79.05,32.01,3.32,-26.76,-7805,9755,28.3,34.97,0.46,1.03,0.67,0.4,12.2,13.2,3225.1,1062.3,NA,NA,NA,NA,NA,-3570,5520,O-5-32,0.52
1641,309,107.8,485,8130,3837,19036,3757,71889,185,721,1115,835,O-1-108,80.79,27.5,1.37,-27.06,-8369,10319,NA,29,0.16,1.08,0.76,0.4,4.9,NA,NA,NA,NA,NA,NA,NA,NA,-3775,5725,5-288,0.17
1636,314,109.7,509,8153,4384,17085,3768,66309,190,875,1096,854,O-1-109,75.78,21.02,1.38,-27.13,-8391,10341,102.1,55.19,0.12,1.09,0.49,0.3,1.8,64.2,4342.7,6970.4,NA,NA,NA,NA,NA,-3962,5912,O-5-33,0.16
1630,320,111.7,801,9866,5688,16625,4074,67775,234,867,1086,864,O-1-110,77.04,26.64,1.31,-27.1,-8606,10556,175.3,13.33,0.37,1.33,1.16,0.3,12.8,46.7,4324.9,5052.6,NA,NA,NA,NA,NA,-4136,6086,O-5-405,0.29
1624,326,113.7,965,12107,7416,19350,5237,78133,295,982,1062,888,O-1-111,75.46,23.52,2.84,-27.28,-8671,10621,234.8,25.04,0.06,1.35,1.01,0.3,1.9,62,4984.7,7730.8,NA,NA,NA,NA,NA,-4179,6129,O-5-34,0.13
1619,331,115.6,1100,14456,9790,21246,6611,92563,276,1077,1058,892,O-1-112,72.53,17.64,1.06,-28.67,-8703,10653,167.6,34.7,0.19,1.24,0.81,0.3,4.7,53.9,5098.2,6874.8,NA,NA,NA,NA,NA,-4179,6129,O-5-406,0.35
1613,337,117.6,1463,17080,11039,21364,6735,100405,355,1214,1047,903,O-1-9,75.57,17.06,1.06,-28.48,-9269,11219,117.2,48.35,0.12,1.34,0.69,0.3,2.5,67.4,3339.7,5627.5,NA,NA,NA,NA,NA,-4279,6229,O-5-35,0.49
1608,342,119.5,1439,16769,10893,20332,6442,96857,267,1165,1039,911,O-1-113,75.05,21.87,1.54,-27.17,-9591,11541,216.4,50.25,0.13,1.48,0.74,0.3,2.8,69.7,5609.2,9780.5,NA,NA,NA,NA,NA,-4333,6283,5-294,0.47
1602,348,121.5,1123,13213,8680,18074,5478,91767,365,1170,1024,926,O-1-114,72.6,19.55,2.11,-26.61,-9881,11831,174.4,52.09,0.13,1.39,0.67,0.3,2.6,66.6,5233.8,8716,NA,NA,NA,NA,NA,-4567,6517,5-298,0.1
1596,354,123.5,884,11411,7451,16004,4760,71508,284,850,995,955,O-2-115,82.04,35.9,2.11,-26.19,-9929,11879,129.4,42.49,0.09,1.28,0.73,0.3,1.9,74.9,3135.8,5874.4,NA,NA,NA,NA,NA,-4647,6597,O-5-36,0.38
1591,359,125.4,692,9089,5814,15487,4123,64645,218,923,992,958,O-2-10,82.78,31.89,1.68,-26.35,-10106,12056,385.3,28.92,0.04,1.53,1.09,0.3,1.2,87.8,5385.4,11825.4,NA,NA,NA,NA,NA,-4774,6724,5-305,0.39
1585,365,127.4,574,7459,4978,15691,4054,57439,205,814,956,994,O-2-116,84.97,42.66,2.11,-25.74,-10231,12181,318.6,18.41,0.01,1.5,1.22,0.3,0.3,86.2,4031.5,8684.4,NA,NA,NA,NA,NA,-4875,6825,O-5-37,0.45
1579,371,129.3,554,6999,4874,14717,3974,55967,230,561,899,1051,O-2-117,84.34,38.09,2,-25.77,-10276,12226,510.1,25.42,0.02,1.84,1.37,0.3,0.9,76.6,6471.9,12396.7,NA,NA,NA,NA,NA,-5020,6970,6-315,0.49
1574,376,131.3,714,8308,5371,17460,4199,58870,233,387,887,1063,O-2-118,84.31,33.35,1.71,-26.53,-10814,12764,271.9,19.31,0.01,1.33,1.07,0.3,0.5,82.9,4083.9,8464.9,NA,NA,NA,NA,NA,-5023,6973,O-6-38,0.38
1568,382,133.3,580,7610,5152,15476,4146,57169,222,868,886,1064,O-2-119,82.93,31.88,1.76,-26.59,-10878,12828,348.8,21.15,0.01,1.32,1.04,0.3,0.4,77.5,5775.2,11187.7,NA,NA,NA,NA,NA,-5096,7046,6-319,0.51
1563,387,135.2,902,10535,6996,17570,5013,71268,267,664,885,1065,O-2-120,82.1,33,1.91,-26.14,-10975,12925,259.8,19.08,0.02,1.21,0.98,0.3,0.4,82.8,4291.2,8878.3,NA,NA,NA,NA,NA,-5122,7072,O-6-39,0.25
1557,393,137.2,1110,13807,9159,19292,5918,81389,261,1061,873,1077,O-2-121,83.1,30.82,1.47,-27.25,-11039,12989,355.9,18.1,0.02,1.26,1.03,0.3,0.5,79.7,5766.8,11483.2,NA,NA,NA,NA,NA,-5390,7340,6-322,0.16
1556,394,139.1,1421,16806,10663,20056,6482,91811,294,1030,870,1080,O-2-122,82.05,32.52,1.75,-27.31,-11400,13350,331.1,21.21,0.02,1.53,1.2,0.3,0.9,83.5,4393.3,9167.2,NA,NA,NA,NA,NA,-5484,7434,O-6-40,0.34
1556,394,141.1,1597,17345,10629,21307,6588,109076,323,1167,864,1086,O-2-123,80.07,26.3,1.77,-27.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5522,7472,O-6-41,0.38
1555,395,143.1,1579,17817,9913,19462,6351,95910,301,1135,856,1094,O-2-124,77.01,21.73,1.68,-27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5537,7487,O-6-399,0.32
1554,396,145,1736,20235,11011,21204,6663,101352,316,1151,844,1106,O-2-11,65.2,11.29,1.63,-27.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5633,7583,O-6-43,0.12
1554,396,147,1647,17913,10021,19758,6400,99782,268,1100,828,1122,O-2-125,71.42,17.92,1.32,-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5698,7648,O-6-328,0.42
1553,397,148.9,1089,12789,7460,16378,4685,76624,200,873,822,1128,O-2-126,80.69,28.78,2.37,-27.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5713,7663,O-6-44,0.44
1552,398,150.9,951,10738,6361,16877,4853,69854,235,854,785,1165,O-2-127,81.55,26.71,2.34,-27.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5824,7774,6-329,0.2
1552,398,152.9,828,9996,5657,17117,4123,66335,215,817,775,1175,O-2-128,77.2,22.9,1.47,-27.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6026,7976,6-333,0.32
1551,399,154.8,847,10615,6421,16525,4761,67690,268,952,722,1228,O-2-129,82.24,35.46,1.85,-26.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6061,8011,O-6-45,0.47
1551,399,156.8,1284,14466,9348,18710,6059,84912,286,1108,712,1238,O-2-130,81.87,33.11,1.57,-27.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6169,8119,O-6-46,0.49
1550,400,158.7,1358,15681,9793,18909,6324,87592,319,1128,704,1246,O-2-12,84.15,39.46,1.95,-26.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6531,8481,O-7-47,0.43
1549,401,160.7,1380,15599,9713,18909,6197,93533,284,1147,659,1291,O-2-131,82.4,33.48,2.14,-25.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6665,8615,7-341,0.22
1549,401,162.7,1343,15575,9706,17812,6308,99475,287,872,638,1312,O-2-132,83.49,41.3,2.38,-26.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6884,8834,O-7-48,0.36
1548,402,164.6,1412,16014,9587,18018,6643,95741,318,1061,585,1365,O-2-133,78.85,27.33,1.73,-26.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7250,9200,O-7-49,0.42
1547,403,166.6,1182,13527,8615,17920,5755,82918,251,1001,574,1376,O-2-134,80.49,26.78,1.6,-26.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7532,9482,O-7-50,0.21
1547,403,168.5,946,10771,7459,15850,5025,70334,295,904,569,1381,O-2-135,80.41,31.38,1.62,-26.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7676,9626,7-347,0.29
1546,404,170.5,1005,12745,9071,17531,5702,77230,287,1034,564,1386,O-2-136,79.07,28.78,1.61,-26.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8122,10072,7-354,0.15
1545,405,172.5,1238,13555,9088,17541,5781,72514,312,1081,559,1391,O-2-137,77.34,24.02,1.57,-27.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8209,10159,O-7-401,0.16
1545,405,174.4,1173,14005,10420,17097,5959,74862,313,1261,553,1397,O-2-138,77.01,23.89,1.28,-27.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8285,10235,O-7-51,0.41
1544,406,176.4,740,9341,7430,15278,5207,58031,221,976,548,1402,O-2-139,73.62,19.14,1.24,-27.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8391,10341,O-7-52,0.45
1543,407,178.3,553,6730,5065,14272,3890,48759,240,977,532,1418,O-2-140,76.93,23.56,1.34,-27.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8606,10556,7-359,0.45
1543,407,180.3,474,5604,4234,13386,3798,44867,189,718,522,1428,O-2-141,77.57,24.91,1.65,-27.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8671,10621,7-360,0.28
1542,408,182.3,400,5372,3842,13594,3395,42266,170,678,498,1452,O-2-13,70.03,15.76,0.82,-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8725,10675,O-7-53,0.19
1541,409,184.2,363,5151,3191,13630,3114,41838,155,681,447,1503,O-2-142,71.08,22.06,1.59,-26.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9301,11251,O-8-56,0.43
1541,409,186.2,329,4615,3038,13513,3285,42719,183,706,432,1518,O-2-143,76.23,26.07,1.77,-26.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9591,11541,8-374,0.62
1540,410,188.1,333,4656,2621,13918,3053,39615,161,29,418,1532,O-2-144,75.66,26.17,2.05,-26.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9929,11879,8-380,0.51
1539,411,190.1,471,5607,3042,14334,3320,42389,173,681,346,1604,O-2-145,76.81,30.16,2.19,-26.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10202,12152,O-8-57,0.46
1539,411,192.1,507,7135,4863,14908,4033,50958,247,833,331,1619,O-2-146,75.96,29.47,2.16,-26.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10331,12281,8-385,0.41
1538,412,194,620,7509,4856,13968,4318,51459,258,904,259,1691,O-2-147,74.8,26.89,1.99,-26.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10653,12603,8-390,0.54
